ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
951717	DNS	Alfredo I. Clavijo Araújo	M	M40-44								Uruguay	DNS
952062	DNS	Rebelatto Alcântara Paola	F	F45-49								Brazil	DNS
952063	DSQ	Pablo Enrique Perez Hernandez	M	M50-54								Uruguay	DQ
292258	DNS	Galah Dymetman Sanz	F	F45-49								Brazil	DNS
952064	DNS	Felipe Salazar Barriga	M	M45-49								Chile	DNS
952065	DNS	Frederico Araújo	M	M40-44								Brazil	DNS
952066	DNS	Xabier Etcheverry León	M	M45-49								Chile	DNS
930365	DNS	Luciano Gaston Andres Stellardo	M	M40-44								Argentina	DNS
432813	DNS	Francisco Lamattina	M	M55-59								Argentina	DNS
952067	DNS	Pablo Leiva	M	M35-39								Chile	DNS
952068	DNS	Behrens Federico	M	M25-29								Argentina	DNS
628740	DNS	Guillermo Koprivica	M	M50-54								Argentina	DNS
948125	DNS	Carlos Vyhñak	M	M50-54								Argentina	DNS
894710	DNS	Roberto Azevedo Azevedo Jr	M	M70-74								Brazil	DNS
952069	DNS	Pineda Alejandro	M	M45-49								Uruguay	DNS
952070	DNS	Teixeira Da Silva Felipe Augusto	M	M40-44								Brazil	DNS
951960	DNS	Chip 1 Test	M	MUNKNOWN								United States	DNS
952071	DNS	Juliane Almeida Prado Motta	F	F35-39								Uruguay	DNS
949520	DNS	Manuel González Domingo	M	M40-44								Chile	DNS
952072	DNS	Cordero Rochet Maria Jose	F	F40-44								Chile	DNS
952073	DNS	Andrea Poblete	F	F35-39								Chile	DNS
952074	DNS	Silva (Leo Chiari) Leonardo	M	M45-49								Brazil	DNS
920736	DNS	Karl Huts	M	M45-49								Belgium	DNS
952075	DNS	Massimo Frascaroli Wurth	M	M35-39								Chile	DNS
952076	DNS	Douglas Bliss	M	M30-34								Uruguay	DNS
949874	DNS	Daniel Castelo Branco	M	M45-49								Brazil	DNS
952077	DNS	Quintana Gonzalo	M	M35-39								Uruguay	DNS
952078	DNS	Christian Gonzalez	M	M45-49								Chile	DNS
952079	DNS	Breno Lorch	M	M55-59								Brazil	DNS
952080	DNS	Saborio Victor	M	M55-59								Honduras	DNS
894408	DNS	Bernardo Pretti Chieppe	M	M35-39								Brazil	DNS
947689	DNS	Santiago Figueroa	M	M40-44								Chile	DNS
952081	DNS	Arriagada Saieh Sebastian	M	M35-39								Chile	DNS
952082	DNS	Barbosa Marcio	M	M55-59								Brazil	DNS
952083	DNS	Caceres Hunt Carolina	F	F35-39								Uruguay	DNS
952084	DNS	Juan Manuel Burgueño	M	M55-59								Uruguay	DNS
952085	DNS	Ana Paula Ruiz	F	F40-44								Brazil	DNS
952086	DNS	Sebastian Farias	M	M35-39								Chile	DNS
952087	DNS	Ramos Carlos Cesar	M	M45-49								Brazil	DNS
26537	DNS	Erick Meier	M	M60-64								Peru	DNS
915266	DNS	Ivan Zelenin	M	M30-34								Unknown	DNS
952088	DNS	Cristian Orellana Cruz	M	M55-59								Chile	DNS
952089	DNS	Paolo Maldonado Pesce	M	M35-39								Chile	DNS
432657	DNS	Santiago Sagari	M	M40-44								Uruguay	DNS
952090	DNS	Patricio Romeo	M	M45-49								Argentina	DNS
858090	DNS	Pamela Espinoza Dans	F	F45-49								Chile	DNS
952091	DNS	Hernán Franchina	M	M30-34								Argentina	DNS
883264	DNS	Nilton César F. Leite	M	M45-49								Brazil	DNS
952092	DNS	Andres Arrieta	M	M40-44								Uruguay	DNS
952093	DNS	Brignoni Agustina	F	F25-29								Uruguay	DNS
952094	DNS	Erica Ramirez	F	F45-49								Chile	DNS
952095	DNS	Marcela Bazana Moreira De Souza	F	F35-39								Brazil	DNS
952096	DNS	Fernando Antonio Gruppelli Junior	M	M50-54								Brazil	DNS
947924	DNS	Lucas Raimondi	M	M45-49								Argentina	DNS
216741	DNS	Patricia Marcelino	F	F40-44								Brazil	DNS
952097	DNS	Alvaro Otero	M	M40-44								Chile	DNS
952098	DNS	Bittencourt Moraes Fabrício	M	M30-34								Brazil	DNS
324717	DNS	Vanessa De Los Heros	F	F40-44								Bolivia	DNS
952099	DNF	Luis Fernando Borges Pasqualin	M	M40-44			0:32:14	0:04:05	2:35:11	0:01:32		Brazil	DNF
952100	DNS	Esteban Daniel Moran Gonzalez	M	M35-39								Paraguay	DNS
952101	DNS	Pablo Droguett	M	M55-59								Chile	DNS
952102	DNS	Tapia Guillermo	M	M45-49								Chile	DNS
951923	DNS	Eduardo Azocar	M	M40-44								Chile	DNS
894875	DNS	Filace Danilo	M	M40-44								Argentina	DNS
894388	DNS	Luis Mella Benitez	M	M40-44								Chile	DNS
952103	DNS	Pollo Esteban	M	M60-64								Uruguay	DNS
181937	DNS	Esteban Posada	M	M45-49								Chile	DNS
952104	DNS	Costa Rafael Gomes	M	M35-39								Brazil	DNS
949140	DNS	Hosam Salha Karim	M	M50-54								Brazil	DNS
952105	DNS	Yaneri Leal León	F	F45-49								Chile	DNS
951924	DNS	Livi Mariela	F	F45-49								Argentina	DNS
952106	DNS	Amado Javier Sotomayor	M	M55-59								Paraguay	DNS
930178	DNF	Mariagabriela Massa	F	F60-64								Argentina	DNF
952107	DNS	Da Fonseca Pereira Mariana	F	F40-44								Brazil	DNS
951925	DNS	Spinuzza María Natalia	F	F35-39								Argentina	DNS
952108	DNS	Pablo Gonzalez-Castro	M	M45-49								Chile	DNS
951926	DNS	Marcondes Ferraz Alexandre	M	M50-54								Brazil	DNS
26743	DNS	Eugenio Palacios	M	M40-44								Chile	DNS
948290	DNS	Cecilia Eugenia Vicente	F	F55-59								Argentina	DNS
952109	DNF	Crisp Ricardo	M	M65-69								Argentina	DNF
893557	DNS	Simon Patrick	M	M40-44								Brazil	DNS
63456	DNS	Myriam Smith	F	F55-59								Australia	DNS
951927	DNS	Angel Marta	F	F35-39								Colombia	DNS
952110	DNS	Rodney Stuart Milne	M	M35-39								Uruguay	DNS
951928	DNS	Marques De Lima Lincoln	M	M40-44								Uruguay	DNS
952111	DNS	Magistocchi Mauricio	M	M30-34								Argentina	DNS
951929	DNS	Aléssio Alves De Almeida Tais	F	F35-39								Brazil	DNS
952112	DNS	Vallejo Domenica	F	F25-29								Peru	DNS
951930	DNF	Santiago Aldao	M	M35-39			0:26:20	0:02:04	2:28:37	0:00:58		Uruguay	DNF
952113	DNS	Rafael Rojas	M	M25-29								Venezuela	DNS
951931	DNS	Frontini Federico	M	M35-39								Argentina	DNS
948262	DNS	Eduardo Mario Aguirre	M	M60-64								Argentina	DNS
951932	DNS	Maislin Aguilar Larissa	F	F40-44								Mexico	DNS
952114	DNS	Ivana Leticia Quiroga	F	F30-34								Uruguay	DNS
894125	DNS	Taíla Lemos	F	F45-49								Brazil	DNS
952115	DNS	Cristian Andreoli Henriquez	M	M35-39								Chile	DNS
893581	DNF	Moreno Nicolas	M	M40-44			0:40:22	0:05:23				Argentina	DNF
952116	DNS	Bar Martin	M	M35-39								Argentina	DNS
951933	DNS	Adolfo Pretell Rivera	M	M35-39								Peru	DNS
432667	DNF	Gustavo Pintos Martino	M	M55-59			0:42:16	0:03:30	2:40:20	0:02:10		Uruguay	DNF
951648	DNS	SERGIO EDUARDO MURACT	M	M45-49								Argentina	DNS
952117	DNF	Virginia Caballero	F	F45-49			0:47:14	0:05:08				Argentina	DNF
951934	DNS	Guardatti Bruno	M	M40-44								Argentina	DNS
952118	DNS	Walter Romero	M	M40-44								Argentina	DNS
951935	DNS	Acosta Sanchez Manuel	M	M35-39								Mexico	DNS
419403	DNS	Daniel Ibarra	M	M50-54								Argentina	DNS
951936	DNS	Pavon Laura Marisa	F	F50-54								Argentina	DNS
235465	DNS	Christian Javier Suarez	M	M35-39								Uruguay	DNS
628615	DNS	Christian Nino	M	M50-54								Brazil	DNS
952119	DSQ	Cruz Correa Carla Paola	F	F35-39								Bolivia	DQ
948141	DNS	Andres Maceira	M	M30-34								Argentina	DNS
949840	DNS	Frederico Rezende	M	M45-49								Brazil	DNS
951937	DNS	Sergio Daniel Churruarin	M	M50-54								Argentina	DNS
946867	DNS	Marcio Marcelino	M	M45-49								Brazil	DNS
951938	DNS	Terrile Pablo	M	M55-59								Argentina	DNS
952120	DNS	Pages Yali	F	F30-34								Uruguay	DNS
951939	DNS	Patricio García Moritán	M	M45-49								Argentina	DNS
952121	DNS	Rochina Martin Roman	M	M55-59								Argentina	DNS
951940	DNS	Igarzábal Juan	M	M60-64								Argentina	DNS
952122	DNF	Lappin Hammond	M	M45-49			0:53:58	0:07:35	3:56:51	0:03:52	1:38:18	Uruguay	DNF
951941	DNS	Zanoni Nicolas	M	M45-49								Argentina	DNS
952123	DNS	Oviedo Carlos Facundo	M	M30-34								Argentina	DNS
951942	DNS	Cezar Augusto Cordeiro Machado	M	M40-44								Brazil	DNS
952124	DNS	Tomás Verdugo Vásquez	M	M35-39								Chile	DNS
325295	DNS	Barry Cruces Perez	M	M40-44								Chile	DNS
952125	DNS	Samuel Gunderson	M	M30-34								United States	DNS
140563	DNS	Adrian Parada	M	M45-49								Argentina	DNS
894343	DNS	Otto Carneiro	M	M45-49								Brazil	DNS
951943	DNF	Federico Degani	M	M50-54			0:40:11	0:04:28	2:57:57	0:03:56	1:25:16	Argentina	DNF
952126	DNS	Guilherme Antoneli Martins	M	M30-34								Brazil	DNS
951944	DNS	Nelson Ibaurri	M	M45-49								Uruguay	DNS
952127	DNS	Moreira Fabio Bronze	M	M35-39								Brazil	DNS
951945	DNS	Felipe Arbelaez	M	M35-39								Colombia	DNS
952128	DNS	Noelle Neuenschwander	F	F30-34								Chile	DNS
951946	DNF	Alvaro Mancilla	M	M30-34			0:42:39	0:03:44	2:40:40	0:03:19	1:02:36	Chile	DNF
952129	DNS	Claudio Fuentes	M	M70-74								Chile	DNS
951947	DNS	Luis Almeida	M	M45-49								Brazil	DNS
947644	DSQ	Pere Marquina	M	M45-49								Andorra	DQ
951948	DNS	Lucia Sanchez	F	F45-49								Uruguay	DNS
83785	DNS	Mauricio Sapiro	M	M50-54								Uruguay	DNS
948337	DNS	Romero Migue	M	M50-54								Argentina	DNS
952130	DNF	Mauro Hernan Lovotti	M	M40-44			0:46:39	0:03:19				Argentina	DNF
62570	DNS	Carola Varela	F	F45-49								Chile	DNS
