ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
921702	DNS	Rory Coupland	M	M40-44								Australia	DNS
133477	DNS	Helen Clatworthy	F	F60-64								Australia	DNS
921737	DNS	Garry Millhouse	M	M50-54								Australia	DNS
1102879	DNS	David Sheppard	M	M40-44								Australia	DNS
1102880	DNS	Michael Campbell	M	M45-49								Australia	DNS
1102881	DNS	Felicity Cooke	F	F45-49								Australia	DNS
822846	DNF	Paul Giles	M	M55-59			0:39:55	0:08:07				Australia	DNF
1102882	DNS	Addy Vignaraja	M	M25-29								Australia	DNS
1102883	DNS	Belinda Robinson	F	F60-64								Australia	DNS
1102884	DNS	Christopher Smith	M	M45-49								South Africa	DNS
1008930	DNS	Pier Van Der Gaast	M	M45-49								South Africa	DNS
1075462	DNS	Paige Burns	F	F25-29								Australia	DNS
921561	DNS	Ray Blick	M	M40-44								New Zealand	DNS
842750	DNS	Alanna Bullen	F	F35-39								Australia	DNS
1102885	DNS	Nicole Allen	F	F55-59								Australia	DNS
1102886	DNS	Laura Clouston	F	F45-49								New Zealand	DNS
1102887	DNS	Rajamani Kandasamy	M	M35-39								India	DNS
921777	DNS	Sven Buder	M	M30-34								Germany	DNS
990670	DNS	Thomas Mcclenaghan	M	M40-44								Australia	DNS
1102888	DNF	Paul Jackson	M	M60-64			0:39:15	0:05:05	3:08:07	0:05:01		Australia	DNF
926553	DNS	Marek Czajkowski	M	M40-44								Australia	DNS
921899	DNS	Jeanne Gerber	M	M45-49								Australia	DNS
1102889	DNS	Oscar Ley	M	M18-24								Australia	DNS
1102890	DNS	Elliot Wunsch	M	M25-29								Australia	DNS
1102891	DNS	Michael Quensier	M	M50-54								Australia	DNS
921387	DNS	Andrew Erskine	M	M35-39								Australia	DNS
1102321	DNS	Tara Wallis	F	F18-24								Australia	DNS
595681	DNS	Tony Burgin	M	M50-54								Australia	DNS
1102892	DNS	Carolyn Dews	F	F50-54								Australia	DNS
1067145	DNS	Mark Sohaney	M	M50-54								United States	DNS
822681	DNS	Xiaochen Huang	M	M35-39								China	DNS
242182	DNS	Phil Young	M	M55-59								Australia	DNS
1102893	DNS	Dawn Cutler	F	F50-54								Australia	DNS
1102894	DNS	Ulrich Liedvogel	M	M55-59								Australia	DNS
1075401	DNF	Steve Kavanagh	M	M65-69								Australia	DNF
856894	DNS	Ben Behnam	M	M30-34								United States	DNS
838014	DNS	Tracey Zammit	F	F50-54								Australia	DNS
1102895	DNF	Rohan Munjal	M	M25-29								Australia	DNF
939952	DNS	Jack Pringle	M	M18-24								Australia	DNS
1102896	DNS	Jackson Sutton	M	M25-29								Australia	DNS
959001	DNF	Michelle Gemmell	F	F50-54			0:36:49	0:03:20				Australia	DNF
990912	DNS	Andrew Eddy	M	M45-49								Canada	DNS
1102897	DNS	Luisa Cristina Palacios Fermin	F	F35-39								Australia	DNS
842201	DNS	Sam Musgrove	M	M25-29								Australia	DNS
1102898	DNS	Glen Selikowitz	M	M55-59								Australia	DNS
1102899	DNS	Matt Rogers	M	M25-29								Australia	DNS
1102900	DNS	Keith Nicolle	M	M55-59								Hong Kong	DNS
1102901	DNS	Adrian Kerins	M	M40-44								Australia	DNS
1090099	DNS	David Jenkins	M	M45-49								New Zealand	DNS
922113	DNS	Edward Ridgway	M	M30-34								Australia	DNS
842624	DNS	Phil Bell	M	M70-74								Australia	DNS
921576	DNS	Chris Adams	M	M35-39								Australia	DNS
1102902	DNS	Matthew Payne	M	M30-34								Australia	DNS
1092810	DNS	Andrew Crocker	M	M35-39								Australia	DNS
1102903	DNS	Adam Ries	M	M45-49								Australia	DNS
1064718	DNF	Hyewoong Kim	M	M35-39			0:49:16	0:12:25	3:36:22	0:08:27		Korea	DNF
1075403	DNS	David Mew	M	M45-49								Australia	DNS
1090361	DNS	Deanne Ashford	F	F50-54								Australia	DNS
921464	DNS	Paul Quinn	M	M40-44								Australia	DNS
1093032	DNF	Harriet Trubshaw	F	F18-24			0:29:56	0:02:49	2:52:00	0:02:04		South Africa	DNF
921768	DNS	Marcus Plummer	M	M30-34								Australia	DNS
940848	DNS	Stephen Carcano	M	M45-49								Australia	DNS
362347	DNS	John Roberts	M	M35-39								Australia	DNS
922209	DNS	Michael Bradley	M	M45-49								United Kingdom	DNS
307177	DNS	Ben Croughan	M	M35-39								Australia	DNS
1009015	DNS	Tim Baldwin	M	M30-34								United Kingdom	DNS
1090196	DNF	Sophie Ung	F	F30-34			0:43:22	0:02:44				Australia	DNF
921652	DNF	Chris Kirk	M	M35-39			0:38:24	0:03:31	2:46:01	0:02:53		Australia	DNF
307375	DNS	Sarah Candlin	F	F50-54								Australia	DNS
1102904	DNS	Cameron Espley	M	M30-34								Australia	DNS
1102905	DNF	Mark Timm	M	M55-59								United States	DNF
63959	DNS	Greg Glass	M	M55-59								Australia	DNS
1102906	DNS	Andrew Mathers	F	M30-34								Australia	DNS
1102907	DNS	Mahmoud Ghazal	M	M40-44								Australia	DNS
1102908	DNS	Shi Ping (Albert) Qiu	M	M30-34								Australia	DNS
921875	DNS	Darren Quinn	M	M35-39								Ireland	DNS
966760	DNS	Robert Gerber	M	M50-54								United Kingdom	DNS
940467	DNS	Chris Jowsey	M	M45-49								Australia	DNS
1102909	DNS	Mikaela Sparre	F	F30-34								Australia	DNS
1102910	DNS	Rebecca Pilley	F	F30-34								Australia	DNS
1055142	DNS	Nigel O Brien	M	M30-34								Ireland	DNS
1102911	DNS	Sam Abel	M	M18-24								Australia	DNS
842691	DNS	Greg Wright	M	M55-59								Australia	DNS
922053	DNS	Sandra Gallo	F	F45-49								Australia	DNS
1102912	DNS	Jess Metz	F	F30-34								Australia	DNS
922070	DNS	Jeff Law	M	M45-49								Australia	DNS
922153	DNS	Luke Halpin	M	M35-39								Australia	DNS
1102913	DNF	Kelly Yenisey Rodriguez Benitez	F	F30-34			1:01:16	0:05:45	3:56:04	0:03:00	2:53:54	Spain	DNF
