ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
1aa164a4-913f-4c51-b357-6e4a6aeda6e6	1	Timmo Jeret	M	M30-34	1	8:39:12	1:01:19	0:03:17	4:32:19	0:03:17	2:59:00	EE	
449250a8-6964-4974-921f-20a44a7031bc	2	Alexis Krug	M	M35-39	1	8:45:01	0:51:10	0:03:39	4:38:21	0:04:14	3:07:36	BE	
eba191d3-1069-46fe-9c21-5a39817e0cdc	3	Fabian Schubert	M	M25-29	1	8:52:08	1:00:45	0:02:39	4:25:59	0:02:44	3:20:01	DE	
1327ea77-a562-423b-8759-5620dd426a45	4	Joshua Holman	M	M30-34	2	8:58:11	0:59:47	0:04:49	4:40:43	0:03:41	3:09:11	GB	
e12feee0-99cd-4be0-8961-a158be37b07a	5	Neil Eddy	M	M35-39	2	8:58:45	0:52:16	0:03:20	4:40:42	0:03:20	3:19:07	GB	
b9f9fc00-ee99-4c5d-bac7-fd9fdeab6022	6	Fridtjof Røinås	M	M25-29	2	8:59:26	1:09:49	0:04:03	4:33:53	0:03:21	3:08:19	NOR	
ea81fd00-f651-4bcd-a781-2408790ec732	7	Pere Bifet	M	M30-34	3	9:01:13	1:00:48	0:04:18	4:48:25	0:04:40	3:03:03	ES	
89e37348-c416-4d78-a19e-8bcd83612d44	8	Fabian Schaffert	M	M30-34	4	9:01:48	0:59:34	0:03:17	4:36:15	0:02:52	3:19:51	DEU	
a4c3c730-d3db-4e98-bcd4-8bac35629cd1	9	Jonas Fredberg	M	M35-39	3	9:04:53	1:07:08	0:03:58	4:42:39	0:04:22	3:06:45		
436bb180-1cc0-4fde-9609-4179f291c9c5	10	Ivan Grablev	M	M45-49	1	9:05:02	0:52:31	0:03:13	4:44:50	0:02:59	3:21:30	BG	
d215ce8c-be24-4b55-8ae1-f4f1046cf88b	11	Taihei Kamiya	M	M35-39	4	9:06:55	1:05:34	0:03:58	4:41:29	0:03:59	3:11:55	JP	
afbf5485-edf2-437a-9f65-a51e04c60836	12	Dylan Thissen	M	M25-29	3	9:07:09	1:02:29	0:03:32	4:33:26	0:04:22	3:23:19		
11f3f032-0e2a-4d64-b3d3-c5467869b35d	13	Piotr Szczesniak	M	M40-44	1	9:07:18	1:09:15	0:03:23	4:40:53	0:03:51	3:09:57	Poland	
f0215949-0977-4a19-bed6-d6f8d172b70e	14	Ramon Siljade	M	M40-44	2	9:07:24	1:06:16	0:03:43	4:40:59	0:03:33	3:12:52	NL	
ba55ed79-5ce9-4be9-85d4-76dc60fc693b	15	Ruso Yakimovic	M	M35-39	5	9:07:54	0:57:13	0:03:42	4:52:25	0:02:57	3:11:36	TR	
58f6286d-133d-45fc-b387-7df97930bd7f	16	Demeulenaere Dries	M	M30-34	5	9:07:57	0:52:23	0:03:04	4:41:14	0:04:00	3:27:16	BE	
d0d0c6ae-60d4-4b10-9f20-059c7dc2be9d	17	Ryosuke Ohata	M	M40-44	3	9:09:27	0:56:45	0:04:10	4:46:57	0:04:50	3:16:45	JP	
61edeae0-5488-43e5-b770-c33653b68494	18	Isaac Puig López	M	M30-34	6	9:10:07	0:58:52	0:04:32	4:42:34	0:04:30	3:19:39	ES	
f50bd0e0-f601-41cf-86d2-3f701cecd4e8	19	Douglas Baczewski	M	M30-34	7	9:12:36	1:05:52	0:03:33	4:43:27	0:02:36	3:17:08	FR	
4b2d36db-c0a7-415f-86b0-20fb7131215b	20	Tom Vickery	M	M35-39	6	9:12:36	1:03:42	0:04:39	4:46:16	0:04:15	3:13:44	GB	
ac551be0-d748-4890-9069-ff76e1a21126	21	Baptiste Delmas	M	M18-24	1	9:13:55	1:00:14	0:03:33	4:51:58	0:04:29	3:13:43	FR	
f1f8492e-f579-422d-96a4-57242ca0880b	22	Florian Enric Portalés Palamós	M	M25-29	4	9:15:10	1:01:24	0:03:16	4:45:55	0:02:58	3:21:37	ES	
f52ce267-5ec0-4abd-9d4f-84667aeeacae	23	Kim Skotte	M	M50-54	1	9:15:39	1:00:10	0:03:57	4:49:31	0:03:33	3:18:29	NO	
ab8956fe-b4eb-476f-9793-58a5fe203011	24	Janik Ortanderl	M	M25-29	5	9:15:46	1:01:05	0:03:20	4:47:53	0:03:15	3:20:14	DE	
d12048b8-cd33-eb11-a813-000d3a3809d1	25	Marcin Chojnacki	M	M45-49	2	9:16:23	1:07:23	0:03:50	4:40:36	0:03:09	3:21:25		
c9040b9a-0325-ea11-a810-000d3a5a1bfb	26	Adrien Leroux	M	M30-34	8	9:17:50	0:52:27	0:04:01	4:44:09	0:03:37	3:33:36	FR	
93cc6d41-a129-4f72-896d-2e15538d08de	27	Marc Wenzel	M	M35-39	7	9:18:32	1:00:52	0:03:27	4:43:18	0:02:52	3:28:03		
972dfd69-4a64-4c18-800f-85d5450ae318	28	Felix Swiczinsky	M	M40-44	4	9:18:43	1:01:23	0:03:49	4:49:37	0:02:38	3:21:16	DE	
f67ac185-a7ab-4464-8456-0f475940da67	29	Felipe De La Torre	M	M25-29	6	9:19:38	1:00:39	0:04:01	4:55:52	0:04:28	3:14:38	GT	
a17c3ce1-f10a-ea11-a811-000d3a5a1cf8	30	Bjarni Jakob Gunnarsson	M	M35-39	8	9:19:55	1:00:37	0:03:30	4:47:04	0:04:04	3:24:41	IS	
