ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
65b45135-f1bb-4355-a748-e53f26d5e1d0	1	Dan Plews	M	M40-44	1	7:56:56	0:36:27	0:05:06	4:23:27	0:03:08	2:48:48	NZ	
8f44cfdb-767a-4745-8c62-1ddcff20de9d	2	Raynard Picard	M	M40-44	2	8:19:28	0:42:28	0:06:32	4:30:20	0:04:08	2:56:00	MX	
d72cd59b-497d-4a96-940c-9687a2ba54ec	3	Jamie Woodbury	M	M30-34	1	8:21:01	0:37:19	0:05:42	4:33:58	0:04:01	3:00:02	usa	
aff40d7c-c934-4c64-9f3a-d9574c431eab	4	John Matson	M	M30-34	2	8:23:57	0:37:23	0:05:22	4:39:49	0:04:33	2:56:50	USA	
8970eb89-cd03-4769-830b-5e1c1d356e1f	5	Chris Cartwright	M	M30-34	3	8:26:39	0:39:54	0:05:31	4:37:30	0:04:06	2:59:37	CA	
6bbfce12-fe75-4d37-8f15-8afbf88ee1bb	6	Guglielmo Schiavoni	M	M30-34	4	8:28:47	0:38:12	0:05:31	4:40:02	0:02:36	3:02:26		
18aeedd0-cd30-4282-916e-03d500e1c2f1	7	Martin Caron	M	M45-49	1	8:29:38	0:41:18	0:06:09	4:31:16	0:03:09	3:07:45	CA	
ea2fad7a-9d22-4403-b373-236929563fa2	8	Lee Mount	M	M25-29	1	8:31:07	0:38:54	0:05:39	4:22:37	0:02:47	3:21:10	US	
034018d0-df20-4c4b-af9d-fd40908d5750	9	Matthew Tatum	M	M40-44	3	8:32:22	0:39:37	0:06:34	4:29:55	0:02:41	3:13:35	US	
36901c22-22d2-4d73-9fef-28d9d7309c63	10	Sean Mahoney	M	M35-39	1	8:34:35	0:34:31	0:06:21	4:25:36	0:03:45	3:24:22	US	
de8ddd25-5a91-4adf-95a7-8dd3a600f385	11	Marc Morgan	M	M35-39	2	8:35:51	0:43:41	0:07:10	4:35:38	0:03:24	3:05:58	US	
537c7198-8eef-40a5-9d75-35a523d59e70	12	Eric Perry	M	M35-39	3	8:38:33	0:39:16	0:05:38	4:43:08	0:03:02	3:07:29	US	
9162e740-d8dc-ee11-904d-000d3a31406e	13	Craig Taylor	M	M35-39	4	8:38:51	0:37:26	0:05:21	4:34:31	0:03:05	3:18:27	US	
ccbb8bef-d6c1-4234-a8fd-c6382c9cbd77	14	Luis Benitez	M	M25-29	2	8:40:14	0:45:58	0:06:30	4:39:23	0:04:18	3:04:04	MX	
0ed8860a-5027-ed11-9db1-0022480a3bb0	15	Eric Harr	M	M50-54	1	8:42:45	0:38:58	0:06:30	4:37:20	0:03:23	3:16:33	US	
7e7f24c0-93cb-4ec4-9cf2-026fe0b3d5ea	16	Zach Aldrich	M	M30-34	5	8:43:38	0:38:49	0:05:17	4:42:19	0:03:47	3:13:25	US	
713a65bd-3f51-4ad1-91c5-dcf7c58e91bd	17	Murat Guney	M	M40-44	4	8:45:55	0:43:03	0:06:01	4:38:10	0:03:17	3:15:24	TR	
8a6e5e60-7fa0-4c9c-870e-baf9c9acb951	18	Danny Dvinov	M	M40-44	5	8:47:56	0:40:16	0:06:33	4:38:59	0:05:22	3:16:47		
4c15aedf-8dfc-422a-a756-9a9da6fff497	19	Florian Baetke	M	M40-44	6	8:48:26	0:39:07	0:07:25	4:37:11	0:04:14	3:20:28		
84377078-6525-40d4-8333-7614fd96e704	20	Thomas Nelson	M	M40-44	7	8:48:42	0:44:42	0:07:04	4:37:09	0:02:45	3:17:02	usa	
60fabfa5-1638-4af7-b0b2-1e42152e6de9	21	Emmanuel Lopez	M	M35-39	5	8:49:00	0:45:18	0:07:07	4:50:28	0:03:11	3:02:56	USA	
cc2547d5-bcfc-42ce-bd33-466edb6829df	22	Andrew Williams	M	M35-39	6	8:49:22	0:36:35	0:05:59	4:47:55	0:03:25	3:15:28	US	
b2a97a46-9e2e-4aa6-8962-bfebd94fd69c	23	Greg Davidheiser	M	M30-34	6	8:50:47	0:40:04	0:05:42	4:27:24	0:02:47	3:34:50	US	
bdf5b440-cbc3-42a3-b00c-f57002d8a5fe	24	Matthieu Juillerat	M	M30-34	7	8:51:31	0:39:39	0:05:10	4:51:47	0:02:57	3:11:57	CH	
acbd8026-ad64-471c-b503-68fb6c03b733	25	Mihai Vigariu	M	M35-39	7	8:52:19	0:40:36	0:06:29	4:33:59	0:02:54	3:28:21	ROU	
cfb1a744-0a1a-44ad-a173-5688d3276ac4	26	Xavi Padrosa	M	M35-39	8	8:52:21	0:39:46	0:07:24	4:51:21	0:05:00	3:08:50	USA	
efbd8064-3d7d-4930-9d16-5848cc8ea8d0	27	Juan Felipe Delgado Valbuena	M	M45-49	2	8:53:48	0:40:44	0:06:11	4:45:15	0:03:40	3:17:57	CO	
ba0b2d65-7fc4-4e22-a493-2220765dc573	28	Ryan Seguine	M	M40-44	8	8:53:49	0:41:45	0:07:02	4:43:19	0:04:10	3:17:33	USA	
a5f5eb6f-5664-4dea-92a8-9c7e5a8efecd	29	Ricardo Garcia	M	M45-49	3	8:54:30	0:39:24	0:05:50	4:42:00	0:04:15	3:23:01	US	
f531b1f9-0f4d-e311-8a40-005056956277	30	Christian Weyland	M	M45-49	4	8:56:36	0:43:14	0:05:36	4:25:47	0:03:45	3:38:13	LU	
06e3fa47-44a3-45c1-9538-58fa4ea239ae	31	Rob Pouw	M	M35-39	9	8:58:24	0:44:37	0:06:11	4:35:49	0:03:07	3:28:39	US	
ffdf00db-2d3b-4602-8cce-2864f972c5fd	32	Kevin Le	M	M25-29	3	9:00:18	0:40:17	0:06:04	4:42:18	0:04:13	3:27:26	US	
a5e76ca9-1358-4ddf-92ca-d5054a7fc32a	33	Justin Clark	M	M30-34	8	9:01:45	0:39:36	0:07:27	4:36:56	0:03:41	3:34:06	US	
eeb96171-1447-4cef-bae7-e5e9aa039f19	34	Ricardo Mazzini	M	M35-39	10	9:03:21	0:43:12	0:05:54	4:50:57	0:03:12	3:20:07	usa	
48bb29c7-ff85-4670-9ec7-ef649b239466	35	Anton Komarov	M	M35-39	11	9:03:24	0:42:12	0:06:07	4:53:35	0:03:11	3:18:19	US	
0c0c4dfd-8e2d-449f-a3e5-6e0571e3385b	36	Fabian Wanner	M	M35-39	12	9:03:27	0:42:40	0:06:43	4:36:22	0:03:03	3:34:39	DE	
5be1d84d-646a-4a27-af0f-1c0e38950e19	37	Blaine Egan	M	M40-44	9	9:03:38	0:40:35	0:06:26	4:50:03	0:04:58	3:21:35	US	
a53985d7-0213-4a61-a892-e3a4d893480d	38	Harry Boscawen	M	M30-34	9	9:04:01	0:40:45	0:04:08	4:43:43	0:02:41	3:32:43	GB	
34253f95-0c34-46fd-8b6d-1c37f98e75c2	39	Cortney Weintz	M	M18-24	1	9:04:44	0:45:46	0:06:13	4:41:54	0:02:29	3:28:22	US	
7b20b2b4-5402-48a6-b036-92f1d7645036	40	Brett Mcphedran	M	M40-44	10	9:06:32	0:42:21	0:07:31	4:53:50	0:05:44	3:17:06		
97dfe200-4945-45cd-bbd2-e9d6737b4460	41	Keane Johnson	M	M30-34	10	9:06:42	0:40:52	0:06:46	4:54:58	0:04:07	3:19:58	US	
a5b55caa-2583-4158-8300-bb874efc83c1	42	Brett King	M	M35-39	13	9:06:47	0:36:45	0:05:34	4:47:42	0:04:03	3:32:44	US	
a9dc0024-4866-4745-adbc-8f2dd2cb9258	43	Will Fuchs	M	M18-24	2	9:08:02	0:45:13	0:07:00	5:12:02	0:06:18	2:57:29	US	
a7111939-54ea-4335-9bc5-ca224ad98805	44	Mark Follett	M	M50-54	2	9:09:04	0:42:38	0:06:03	4:52:53	0:04:04	3:23:25	HK	
500caac0-f46f-4d31-a92f-4abba548d407	45	Declan Doyle	M	M50-54	3	9:09:08	0:43:29	0:08:22	4:59:41	0:03:33	3:14:03	GB	
4131a068-3192-4d43-b6e1-3d0a7b1f9d03	46	Robby Wade	M	M30-34	11	9:10:03	0:41:36	0:07:15	4:50:46	0:03:52	3:26:34	US	
d532fdbe-748c-4f51-9104-c62263e35bad	47	Evan Levy	M	M25-29	4	9:10:18	0:45:46	0:05:55	4:46:17	0:04:06	3:28:14	US	
9b5f81f9-7065-4d9f-9a01-f76f53dafe29	48	Carlos Hurtado	M	M40-44	11	9:11:00	0:41:22	0:06:02	5:02:30	0:03:54	3:17:11	SV	
e0f1a0f8-3c39-49ef-926e-3767082cecc7	49	Scott Galloway	M	M35-39	14	9:11:32	0:42:23	0:06:34	4:54:16	0:04:16	3:24:03	US	
a2b556c3-ce02-40bf-a838-867efbd837a2	50	Ronan Foucher	M	M40-44	12	9:11:33	0:42:59	0:08:51	4:53:14	0:03:38	3:22:51	US	
3b95f15e-73a4-4b1b-9dac-3e1c77052fa0	51	Anthony Chan	M	M30-34	12	9:12:12	0:47:21	0:07:06	4:44:39	0:04:53	3:28:13	usa	
