ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
1062438	DNF	Julio Mirambell Ribeiro	M	M40-44			2:16:39	0:10:47				Spain	DNF
149479	DNF	Didier Riguidel	M	M60-64			2:30:16					Saint Pierre and Miquelon	DNF
983546	DNF	Ralph Meyer	M	M30-34			1:29:04	0:15:14				France	DNF
1062440	DNF	Laurent Michel	F	FPC/ID			1:35:53	0:10:43			6:53:21	France	DNF
1062441	DNF	Christophe Bourgeois	M	M50-54			1:39:43	0:11:05				France	DNF
1057285	DNF	Anthony Hocquard	M	M40-44			1:28:40	0:08:26				France	DNF
329195	DNF	Cara Brooks	F	F40-44			1:33:13	0:09:29				United Kingdom	DNF
248669	DNS	Gilles Salle	M	M45-49								France	DNS
946641	DNF	Philippe Masotti	M	M60-64			1:33:15	0:05:36	8:26:20	0:06:03		France	DNF
585315	DNF	Melanie Schmich	F	F45-49			1:30:06	0:08:45	9:20:02			Germany	DNF
928388	DNF	Marie Hélène Greffier	F	F45-49			1:49:49	0:07:04				France	DNF
978601	DNF	Louis Mauran	M	M40-44			1:39:48	0:05:09				France	DNF
249223	DNF	Pierre Martinet	M	M55-59								France	DNF
473817	DNF	Kate Hughes	F	F55-59			1:41:45	0:08:33				United Kingdom	DNF
928599	DNF	Antoine Desachy	M	M30-34			1:09:29	0:06:24	6:54:04	0:05:06		France	DNF
1062442	DNF	Ludovic Brouazin	M	M30-34			1:30:27	0:06:40	7:03:04	0:06:05		France	DNF
68768	DNS	Colin Stone	M	M45-49								United Kingdom	DNS
889710	DNF	Matthew Brooks	M	M45-49			1:19:50	0:09:27				United Kingdom	DNF
196397	DNF	David Nevot	M	M50-54			1:38:28	0:06:21	8:02:07	0:04:44		France	DNF
907091	DNF	Jean-François Vauth	M	M50-54			1:50:38	0:09:25				France	DNF
886886	DNF	Dimitri Martin	M	M45-49			1:26:18	0:05:25	6:45:07	0:06:40		France	DNF
