ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
4aea9b1a-13cb-4755-aa4d-0d9927fada6f	1	Gergo Németh	M	M18-24	1	4:03:06	0:26:14	0:04:26	2:13:03	0:02:32	1:16:50	HU	
5e9b038a-6d8c-466f-aed7-3560eb5053ab	2	Gabriele Grimaldi	M	M25-29	1	4:12:33	0:26:54	0:03:17	2:12:20	0:02:13	1:27:49	United Kingdom	
720c71b6-36ee-eb11-bacb-00224808ebcb	3	Pawel Mitrus	M	M30-34	1	4:13:54	0:29:40	0:04:20	2:12:48	0:03:32	1:23:34	Poland	
c86959db-9227-4064-becd-413bceaff11a	4	Klemen Kocjan	M	M35-39	1	4:19:09	0:29:25	0:05:37	2:17:20	0:04:44	1:22:03	SI	
752194ff-a674-ed11-81ab-000d3a314ae2	5	Ilker Kokce	M	M25-29	2	4:19:25	0:31:05	0:04:56	2:20:21	0:03:11	1:19:52		
4fe11dfb-7601-4a77-a2eb-a3ac9856ea8b	6	Przemyslaw Szuder	M	M45-49	1	4:20:51	0:29:45	0:03:50	2:15:29	0:02:55	1:28:52		
4dc3af11-7e3f-4002-804a-d7ca5fbef9ef	7	Ian Steiger	M	M45-49	2	4:21:20	0:29:40	0:03:22	2:17:49	0:04:47	1:25:43	GB	
a9f09702-5781-ee11-8179-000d3a314ae2	8	Ziga Podgorsek	M	M18-24	2	4:24:29	0:27:09	0:04:37	2:28:43	0:03:53	1:20:08	SVN	
ae25c1fa-0102-4e33-89db-6b1fab168ba3	9	Vasilis Chasiotis	M	M30-34	2	4:25:47	0:31:32	0:04:34	2:19:41	0:02:43	1:27:18	GR	
f2238da7-6cf0-49f7-8e11-e8693e6a6c03	10	Vladislav Munteanu	M	M25-29	3	4:26:01	0:29:09	0:04:29	2:20:45	0:03:54	1:27:44		
149e664d-2b56-ee11-be6f-000d3a31458d	11	Radu Liuba	M	M35-39	2	4:26:02	0:30:46	0:04:50	2:21:42	0:02:19	1:26:24		
5a83869e-354e-ef11-a317-6045bd08b27c	12	Vladimir Danko	M	M25-29	4	4:26:03	0:26:12	0:03:14	2:24:52	0:02:40	1:29:05	RS	
a1138160-3d83-485f-a883-5fc27e437c76	13	Robert Huber	M	M40-44	1	4:29:10	0:31:28	0:03:33	2:21:05	0:04:58	1:28:07	CH	
