ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
1098965	DNS	Kevin Burke	M	M55-59								Singapore	DNS
922361	DNS	Peter Mellor	M	M40-44								Australia	DNS
1098966	DNS	Sebastian Jose David	M	M40-44								Philippines	DNS
989890	DNF	Shahana Sen Mishra	F	F50-54			1:00:45	0:07:22	4:19:17	0:06:24		India	DNF
1094934	DNS	Quentin Howell	M	M55-59								Malaysia	DNS
1098967	DNF	Khairul Naim Yaakub	M	M35-39			0:56:54	0:08:50	4:11:52	0:07:44		Malaysia	DNF
1098968	DNF	Kian Xian Koh	M	M35-39								Malaysia	DNF
122429	DNS	Frederic Gillant	M	M55-59								France	DNS
559813	DNS	Filbert Cheong	M	M30-34								Singapore	DNS
1095004	DNS	Joshua Dawe	M	M25-29								Canada	DNS
1094928	DNS	Colin Dailey	M	M55-59								United States	DNS
1098969	DNS	Dara Doldo	M	M40-44								Australia	DNS
1098970	DNS	Ahmad Izwan	M	M40-44								Singapore	DNS
1098971	DNF	Tirfan Putra	M	M35-39			0:53:56	0:06:31	3:56:15	0:09:06		Indonesia	DNF
43661	DNF	Katie Gill	F	F35-39			0:34:33	0:02:50	2:47:59	0:03:05		South Africa	DNF
1095015	DNS	Alan Low	M	M50-54								Singapore	DNS
1098972	DNS	Matthew Baker	M	M40-44								Australia	DNS
981482	DNF	Robert Buerger	M	M55-59			0:47:05	0:05:22				Austria	DNF
451160	DNF	Esmond Chai	M	M60-64			0:57:06	0:05:09	3:45:30	0:06:16		Singapore	DNF
1098973	DNF	Augustine Thomas Chembanchery	M	M40-44								India	DNF
1017133	DNF	Kevin Ng	M	M45-49			0:46:06	0:06:03				Singapore	DNF
1098974	DNF	Naveen Saathappan	M	M18-24			0:49:07	0:07:34	4:26:19	0:10:53		Singapore	DNF
1063496	DNS	Thomas Moody	M	M30-34								United Kingdom	DNS
1098975	DNF	Michelle Yu Ju Chuang	F	F45-49			1:01:32	0:10:14	4:06:59	0:10:26		Taiwan	DNF
522815	DNS	Rene Hillig	M	M45-49								Germany	DNS
1098976	DNF	Colin Tan	M	M50-54			0:38:10	0:03:33	2:53:03	0:04:02		Singapore	DNF
934200	DNF	Ebbie Baghaie	M	M60-64			0:55:29	0:07:07	4:29:33	0:07:05		United States	DNF
964806	DNS	Stanislas Cofrade	M	M35-39								Spain	DNS
926375	DNF	Mikhail Sidorov	M	M40-44			0:33:28	0:03:15	3:00:03	0:04:03		Vietnam	DNF
293408	DNS	Tony Kurniawan	M	M50-54								Indonesia	DNS
1018543	DNS	Aliff Saifuddin Mohd Shukri	M	M35-39								Malaysia	DNS
926155	DNS	Wayne Sou	M	M50-54								Singapore	DNS
904826	DNS	Sean Farquhar	M	M55-59								Canada	DNS
1098977	DNS	Bisma Muhammad	M	M35-39								Indonesia	DNS
1097854	DNS	Edmark Nico Ocampo	M	M30-34								Philippines	DNS
1098978	DNS	Ken Wu	M	M40-44								Singapore	DNS
928440	DNF	Jayesh Jain	M	M30-34			1:08:13	0:05:54				India	DNF
522880	DNS	Weinian Lim	M	M30-34								Malaysia	DNS
1098221	DNS	Alvin Ang	M	M45-49								Singapore	DNS
1098979	DNS	Choon Huei Lau	M	M50-54								Singapore	DNS
1098980	DNF	Zul Arman Abd Rahman	M	M25-29			0:55:52	0:05:02	3:49:09	0:07:48		Malaysia	DNF
1098981	DNS	Scott Reddie	M	M45-49								Australia	DNS
1096896	DNS	Michael Vorderleitner	M	M50-54								Austria	DNS
937544	DNS	Michael Klose	M	M60-64								Germany	DNS
1098982	DNF	Au Ai Seng	M	M55-59			0:42:04	0:07:12				Singapore	DNF
509680	DNF	Sian Fenner	F	F45-49			0:34:50	5:02:40				Australia	DNF
1094927	DNS	Zulkifli Mohd Fuad	M	M50-54								Malaysia	DNS
89143	DNF	Danilo Balandra	M	M55-59			0:48:52	0:05:42				Philippines	DNF
633214	DNS	Himanshu Saluja	M	M35-39								India	DNS
902201	DNF	Khairul Danish	M	M18-24			0:42:52	0:05:53	3:19:05	0:10:29		Malaysia	DNF
610255	DNS	Bhupinder Pal Singh	M	M35-39								Singapore	DNS
94731	DNS	Charles Teng	M	M50-54								Singapore	DNS
1094992	DNS	Euan Matheson	M	M40-44								United Kingdom	DNS
514204	DNF	Andy Chng	M	M50-54			0:52:47	0:07:57	3:39:43	0:08:13		Singapore	DNF
1094836	DNS	Eleri Daskalopoulos	F	F40-44								United Kingdom	DNS
122296	DNS	Ali Fowler	F	F50-54								Philippines	DNS
1086171	DNS	Jose Lujan	M	M50-54								Mexico	DNS
1098983	DNF	Ririn Diatri	F	F60-64			0:54:00	0:06:29	3:59:15	0:06:09		Indonesia	DNF
1098984	DNS	Geronimo Martel	M	M45-49								Argentina	DNS
396174	DNS	Francis Benjie L Castro	M	M50-54								Singapore	DNS
1098985	DNS	Muhammad Fairuz	M	M40-44								Singapore	DNS
293440	NC	Sivashankaran Thangavelu	M	M45-49			1:10:14	0:06:00	3:31:52	0:07:31	3:02:21	Malaysia	NC
941616	DNS	Laurent Amestoy	M	M55-59								France	DNS
1021623	DNF	Andries Retief	M	M35-39			0:52:48	0:14:59				South Africa	DNF
1098986	DNF	Dahlia Baharuddin	F	F40-44			0:50:55	0:08:37	4:16:34	0:03:26		Bahrain	DNF
120969	DNS	Wei Jin Tan	M	M35-39								Malaysia	DNS
1098987	DNS	Sam Loh	M	M45-49								Malaysia	DNS
1098988	DNS	Raymond Tay	M	M55-59								Singapore	DNS
1098989	DNF	Mohamad Fitri Mohd Idris	M	M25-29			0:51:07	0:05:49	4:07:26	0:07:06		Malaysia	DNF
1098990	DNF	Bihwei Shyr	M	M50-54								Taiwan	DNF
984952	DNF	Matthias Hoffmann	M	M35-39			0:36:47	0:03:24	2:38:30	0:02:04		Germany	DNF
923865	DNS	Deniel Retief	F	F40-44								South Africa	DNS
1098991	DNF	Ak Amsyar	M	M25-29			1:12:31	0:06:57	4:07:59	0:06:09		Bahrain	DNF
121172	DNS	Adnan Daeng	M	M50-54								Singapore	DNS
293712	DNS	Boon Yaw Ang	M	M40-44								Singapore	DNS
293171	DNF	Roy Wijaya	M	M30-34			0:32:33	0:02:11	2:33:50	0:03:10		Indonesia	DNF
1094908	DNS	Mohd Rizal Abd Rahman	M	M35-39								Malaysia	DNS
981529	DNS	Jasper Sim	M	M50-54								Singapore	DNS
1096477	DNF	Chaiyut Boonkong	M	M35-39								Thailand	DNF
1073598	DNF	Andre Kuok	M	M50-54			0:45:01	0:14:30				Macao	DNF
1066007	DNF	Vivian Chee	F	F55-59			0:55:41	0:04:25	4:09:22	0:05:03		Singapore	DNF
1064867	DNS	Alpin Iolaire Mckinnon	M	M45-49								United Kingdom	DNS
898554	DNS	Pramod Gubbi Suresh	M	M30-34								India	DNS
1098992	DNF	Songhao Chua	M	M40-44			0:57:04	0:08:43	4:19:52	0:07:41		Singapore	DNF
1086181	DNF	Faizal Abdullah	M	M45-49			1:04:49	0:06:48	3:58:38	0:06:22		Malaysia	DNF
1098993	DNS	Chin Sin Kok	M	M65-69								Singapore	DNS
1098994	DNS	Choon Lee Liew	M	M60-64								Singapore	DNS
120984	DNS	Alan Yap	M	M40-44								Singapore	DNS
981621	DNS	Gerardo Diaz	M	M45-49								United States	DNS
981572	DNS	Tang T L	M	M45-49								Singapore	DNS
1098995	DNF	Alfian Abdul Rashid	M	M40-44			1:06:10	0:05:58	4:00:35	0:06:08		Malaysia	DNF
559690	DNS	Mikaël Ledain	M	M40-44								France	DNS
1098996	DNS	Arnaud Le-Gall	M	M30-34								France	DNS
1098997	DNS	Adi Kurniawan Istanto	M	M35-39								Indonesia	DNS
1098998	DNS	Fabiola Rodriguez De Aja	F	F40-44								Mexico	DNS
1098999	DNS	Kosaku Miyazawa	M	M40-44								Japan	DNS
944007	DNF	Ilya Sushin	M	M40-44			0:46:28	0:05:38	3:13:02	0:05:30		Malaysia	DNF
181322	DNS	Andrew Vaughan	M	M45-49								New Zealand	DNS
1099000	NC	Shafrifat Nandamulya	M	M18-24			1:10:11	0:04:52	3:25:27	0:03:55	3:33:25	Indonesia	NC
1099001	DNS	Jim Wong	M	M50-54								Singapore	DNS
926156	DNF	Jonathan Norman Walujo	M	M45-49			0:43:22	0:04:30	3:58:25	0:07:07		Indonesia	DNF
509742	DNF	Koh Teck Chye Kevin	M	M40-44			0:52:19	0:05:50	2:57:27	0:08:27		Singapore	DNF
94462	DNS	Eugene Oelofse	M	M40-44								South Africa	DNS
1016920	DNS	Noriyuki Tanaka	M	M40-44								Japan	DNS
509888	DNS	Raymond Yeo	M	M40-44								Singapore	DNS
1099002	DSQ	Bryant Tan	M	M18-24								Singapore	DQ
1099003	DNS	Meisee Chin	F	F45-49								Malaysia	DNS
610259	DNS	Dimas Chandra	M	M35-39								Indonesia	DNS
1094912	DNS	Neeraj Maathur	M	M40-44								United States	DNS
1099004	DNS	Wei Xiang Chan	M	M30-34								Singapore	DNS
925881	DNS	Takahiro Kobuchi	M	M45-49								Japan	DNS
1095056	DNS	Sabri Gmira	M	M45-49								Singapore	DNS
1086194	DNF	Samantha Ho	F	F50-54			0:53:47	0:08:22	4:09:39	0:06:05		Singapore	DNF
1094978	DNS	Cher Yong Heng	M	M35-39								Singapore	DNS
1098942	DNF	Xiaqi Chen	M	M40-44			0:54:23	0:07:56	4:04:50	0:11:28		Singapore	DNF
1098943	DNS	Novel Endrik	M	M30-34								Indonesia	DNS
1098944	DNS	Equonxo Donjohn Lee Zen	M	M40-44								Malaysia	DNS
1098945	DNS	David Tuerah	M	M45-49								Indonesia	DNS
1098946	DNS	Sanjeev Chimmalgi	M	M50-54								India	DNS
1098947	DNF	Guy Losson	M	M55-59			0:46:08	0:09:33	3:19:43	1:20:17		France	DNF
1098948	DNS	Kuan Yuee Tan	M	M25-29								Malaysia	DNS
1094916	DNS	Nicholas Fang	M	M45-49								Singapore	DNS
1098949	DNS	Junji Taki	M	M40-44								Japan	DNS
1094917	DNS	Bastian Wolff	M	M45-49								Germany	DNS
1098950	DNS	Benoit Bouvard	M	M45-49								France	DNS
1098951	DNF	Jeffrey Ng	M	M45-49			0:52:56	0:06:44	3:38:51	0:08:09		Singapore	DNF
1098952	DNF	Ikmal Saed	M	M25-29								Malaysia	DNF
937453	DNS	Jaime Lim	F	F45-49								Singapore	DNS
94809	DNS	Charles Vu	M	M55-59								Singapore	DNS
1098953	DNF	Michael Sompie	M	M40-44								Indonesia	DNF
141789	DNF	Au Yeong Kin Moon	M	M55-59			0:40:04	0:05:03	2:30:14	2:22:00		Singapore	DNF
564602	DNF	Frederic Moline	M	M55-59			1:02:33	0:04:33	3:25:38	0:05:45		France	DNF
903394	DNF	Luke Millar	M	M50-54			0:48:11	0:05:41	3:26:59	0:06:50		United Kingdom	DNF
376574	DNS	Siddhesh Sawant	M	M35-39								India	DNS
459708	DNS	Anirudh Pandya	M	M50-54								India	DNS
1098954	DNS	Razali Izham	M	M40-44								Malaysia	DNS
121130	DNS	Hj Tamimi Hj Tamat	M	M35-39								Bahrain	DNS
1096404	DNS	Yun Hao Lee	F	F30-34								Singapore	DNS
1098955	DNS	Mohd Asrul Bin Sulaiman	M	M45-49								Malaysia	DNS
1094894	DNS	Jacky Chua Choo Thing	M	M60-64								Singapore	DNS
559841	DNS	Mufti Utomo	M	M45-49								Indonesia	DNS
1094952	DNF	Aaron Tok	M	M50-54			0:54:19	0:08:25	4:10:47	0:07:29		Singapore	DNF
522863	DNS	Yeo Kee Ming Jason	M	M50-54								Singapore	DNS
1098956	DNS	Han King Lee	M	M35-39								Malaysia	DNS
1094933	DNS	Rico Teo	M	M45-49								Singapore	DNS
1098957	DNF	Zhiwei Lim	M	M40-44			0:54:50	0:07:56	4:28:21	0:04:39		Singapore	DNF
335549	DNF	Jane Mak	F	F65-69			0:55:16	0:09:59	4:13:44	0:09:45		Netherlands	DNF
1094872	DNS	Margit Langwallner	F	F45-49								Austria	DNS
831244	DNS	Michael Slaton	M	M45-49								United States	DNS
1098958	DNS	Tan Chin Huang	M	M40-44								Malaysia	DNS
1098959	DNF	Manoj Joshi	M	M50-54								India	DNF
1098960	DNS	Shamus Tung	M	M35-39								Singapore	DNS
