ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
1116288	DNF	Jilly Dolphin	F	F60-64			0:56:12	0:11:38	4:38:36			United Kingdom	DNF
845852	DNF	Mike Strang	M	M30-34			0:37:03					Germany	DNF
1135001	DNS	Emilien Bonnet	M	M18-24								France	DNS
1135002	DNF	Fiona Finneran	F	F55-59								United Kingdom	DNF
985989	DNS	Marcello Cicchetti	M	M55-59								Italy	DNS
863157	DNF	Pamela Schiavini	F	F50-54			0:39:11	0:06:55	3:10:12	0:05:11		Italy	DNF
1135003	DNF	Aslisah Alcinkaya	F	F30-34			1:04:07					France	DNF
1135004	DNF	Roman Gusev	M	M40-44			1:01:36	0:08:46	5:38:51			United States	DNF
919966	DNS	Philipp Gocht	M	M55-59								Germany	DNS
164862	DNF	David Curtis	M	M50-54			0:54:57	0:08:07	5:18:13			Ireland	DNF
849656	DNF	Mathilde Becam	F	F25-29			0:52:21	0:09:12	4:38:53			France	DNF
1115475	DNF	Craig White	M	M50-54			0:37:46	0:07:52				United Kingdom	DNF
1135005	DNF	Herve Chauffree	M	M60-64			0:42:41	0:12:44	4:49:57			France	DNF
1124358	DNF	Mathilde Thierry	F	F18-24			1:19:16					Switzerland	DNF
957263	DNF	Ross Horton	M	M40-44			0:56:20	0:11:09	4:41:00			United Arab Emirates	DNF
354676	DNF	Mickael Piekarski	M	M35-39			0:42:40	0:07:40	3:41:52	0:08:01		France	DNF
1135006	DNF	Ben Higgs	M	M35-39			0:36:14	0:10:15				Canada	DNF
1114225	DNF	Barbara Toffani	F	F55-59			0:50:51	0:12:19	4:44:07			France	DNF
872103	DNF	Nicola Licci	M	M50-54			0:38:23	0:08:55	3:57:47	0:06:37		Italy	DNF
650298	NC	Luka Toffani	M	M40-44			0:45:13	0:18:31	4:37:11	0:10:45	2:42:55	Slovenia	NC
1135007	DNF	Edouard Pistej	M	M25-29			0:36:42	0:06:41				France	DNF
665464	DNF	Alain Guerard	M	M55-59			0:54:25	0:08:04	4:42:50			France	DNF
965362	DNS	Florian Reboul	M	M40-44								France	DNS
1135008	DNF	Edina Gade	F	F50-54			1:15:53					Germany	DNF
952318	DNS	Pieter Van Den Bossche	M	M35-39								Belgium	DNS
839839	DNS	Christian Lato	M	M50-54								Italy	DNS
1135009	DNF	Rebecca Spencer	F	F35-39			0:53:46	0:16:15	4:55:11			United Kingdom	DNF
683668	DNF	Privacy_Request_1473009 Privacy_Request_1473009	M	M60-64			0:46:25	0:08:14	3:42:48	0:06:10		France	DNF
919649	DNF	Michiel Wijn	M	M40-44			0:35:54	0:05:57	2:57:10	0:06:01		Netherlands	DNF
1135010	DNF	Julie Zanon	F	F40-44			0:58:56	0:09:41	4:43:29			France	DNF
864454	DNF	Sergios Gargalas	M	M40-44			1:03:11	0:10:12	5:06:28			United Kingdom	DNF
1116359	DNF	Stephen Kara	M	M30-34			0:50:54	0:15:32				France	DNF
1135011	DNS	Ba Tuoc Ngo	M	M35-39								Vietnam	DNS
1113412	DNF	Laure Gourcuff	F	F40-44			0:43:36	0:06:13				France	DNF
1113281	DNS	Sebastier Peltier	M	M40-44								France	DNS
1135012	DNF	Jallal Daghoughi	M	M35-39			0:59:45	0:08:14				Morocco	DNF
1116323	DNS	Mario Gouge	M	M65-69								France	DNS
828790	DNF	Brigitte Ravily Beurard	F	F55-59			0:49:56	0:12:36	4:43:40			France	DNF
1135013	DNF	Yannik Weber	M	M30-34			0:39:03	0:10:51	5:00:56			Germany	DNF
1135014	DNF	Julien Dieudonné	M	M30-34			0:44:39	0:12:15	4:00:30	0:07:19		France	DNF
923977	DNF	Maria Mari	F	F25-29			0:45:15	0:10:53	5:17:32			Greece	DNF
1135015	DNF	Giovanna Cesario	F	F55-59								Italy	DNF
1135016	DSQ	Loris Victor	M	M18-24								France	DQ
1135017	DNS	Denis Boulik	M	M40-44								Ukraine	DNS
66117	DNS	Niall Power	M	M45-49								Ireland	DNS
1135018	NC	Nadia Fry	F	F40-44			0:44:18	0:06:50	4:53:55	0:09:24	2:41:31	France	NC
1135019	DNF	Mehdi Ouki	M	M35-39			0:36:18	0:04:29				France	DNF
992828	DNF	Rav Dighe	M	M55-59			0:42:04	0:12:41				United Kingdom	DNF
1115480	DNF	Lucas Dargent	M	M30-34			0:30:56	0:10:45	3:06:36			Guadeloupe	DNF
935744	DNS	Yohann Velasco	M	M35-39								France	DNS
974125	DNF	Matthieu Vaxelaire	M	M35-39			0:36:42	0:09:47	3:02:00			Belgium	DNF
964813	DNF	David Bijou	M	M45-49			0:29:44	0:04:54	2:58:46	0:06:08		France	DNF
1119482	DNF	Brice Herain	M	M40-44			0:37:16	0:09:28	3:10:14	0:08:30		France	DNF
1135020	DNF	Ross Nimmo	M	M40-44			1:02:42	0:15:15				United Kingdom	DNF
1135021	DNF	Sami Daghoughi	M	M30-34								France	DNF
1079831	NC	Maureen Kromowirjo	F	F50-54			0:52:04	0:09:30	4:24:56	0:09:48	3:16:57	Netherlands	NC
907846	DNS	Benjamin Ueltschi	M	M30-34								Switzerland	DNS
1117298	DNF	Rob Simons	M	M45-49			0:45:24	0:10:58	3:27:06	0:07:44		Belgium	DNF
1113315	DNS	Jean Louis Blanca	M	M30-34								France	DNS
943620	DNS	Harrison Woods	M	M30-34								United Kingdom	DNS
1107935	DNF	Dale Burton	M	M40-44			0:45:39	0:08:50				United Kingdom	DNF
1135022	DNF	Jack Borris	M	M30-34			1:04:21	0:15:41	6:03:10	0:07:30	2:20:43	United States	DNF
1135023	DNF	Abderrahman Lessaïd	M	M40-44			1:17:27	0:18:10				Tunisia	DNF
1135024	DNS	Viktor Sartakov-Korzhov	M	M40-44								France	DNS
563885	DNS	Isabelle Delagrange	F	F50-54								France	DNS
1054083	DNF	Viktor Lander	M	M55-59			0:53:17	0:20:29	3:55:43	0:16:37		Norway	DNF
911562	DNS	Davide Ribeiro Da Silva	M	M30-34								Belgium	DNS
1013727	DNS	Melissa Salas	F	F40-44								Netherlands	DNS
851688	DNS	Damian Weiss	M	M45-49								Poland	DNS
435589	DNS	Frédéric Jean	M	M50-54								France	DNS
1121112	DNF	Seba Mortehan	M	M45-49								Belgium	DNF
1135025	DNF	Margot Bingham	F	F35-39			0:51:35	0:15:50	4:43:14			United States	DNF
449223	DNS	Ciaran Sherlock	M	M50-54								Ireland	DNS
1135026	DNF	Sophie Terrier	F	F30-34			0:43:58	0:16:18	4:51:10			France	DNF
928153	DNF	Thomas Ruchoux	M	M30-34			0:34:55	0:11:06				France	DNF
928398	NC	Didier Campario	M	M65-69			1:07:45	0:11:35	4:19:12	0:11:02	3:02:57	France	NC
1087202	DNF	Simon Fong	M	M25-29								United States	DNF
504774	DNS	Loni Peristere	M	M50-54								United States	DNS
919458	NC	Jamie Jenkins	M	M35-39			0:51:47	0:12:22	4:55:47	0:07:13	2:41:07	United Kingdom	NC
1135027	DNF	Christophe Jam Labeuche	M	M55-59			0:35:04	0:08:30	3:54:51	0:08:24		France	DNF
30959	DNS	Delphine Langard	F	F40-44								France	DNS
1135028	DNF	Adrian Vasile	M	M45-49			0:55:42	0:09:46	5:20:33			United Kingdom	DNF
1015419	DNS	Semi Erriahi	M	M50-54								France	DNS
957264	DNF	Lindsay Richardson	F	F40-44			0:45:55	0:11:01	4:52:09			Canada	DNF
482971	DNF	Shaun Keenan	M	M45-49			0:43:05	0:08:27	4:33:15	0:11:11		United States	DNF
915007	DSQ	Stefano Boscolo Buleghin	M	M35-39								Italy	DQ
148629	DNF	Denis Tamagno	M	M65-69								France	DNF
615456	DNF	文彦 杉浦	M	M60-64			0:50:22	0:11:16				Japan	DNF
937871	DNF	Corina Ryf	F	F30-34			0:36:20	0:04:58	2:51:05			Switzerland	DNF
1135030	DNF	Larry Sultan	M	M35-39			0:52:52	0:12:49	4:46:41			France	DNF
