ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
488fa364-3d6a-4ede-b073-d62466cbf287	1	Andrey Sharipov	M	M35-39	1	4:20:24	0:25:02	0:01:52	2:15:22	0:01:59	1:36:09		
faaf269f-3f4b-4ef1-ab0c-1f95578ce464	2	Sangwhan Oh	M	M50-54	1	4:21:09	0:36:29	0:02:19	2:08:53	0:02:13	1:31:15	KR	
7e7fd539-db44-46ca-adf5-09b2208049d5	3	Alex Thio	M	M35-39	2	4:23:52	0:27:07	0:02:40	2:14:32	0:02:13	1:37:20	SG	
4699bf9a-160d-47c0-a7ca-a88121e374f9	4	Min Namkung	M	M18-24	1	4:29:56	0:27:55	0:02:11	2:21:01	0:02:41	1:36:07	KR	
fb4ab2e1-a805-4ccd-9976-d7bddc480be6	5	Sergey Mashanlo	M	M35-39	3	4:32:00	0:34:16	0:02:43	2:20:41	0:02:26	1:31:55	KZ	
4cf28844-5f33-43d6-b3cf-ee2ac1987a4d	6	Matan Nemenoff	M	M40-44	1	4:32:24	0:25:20	0:02:25	2:20:00	0:02:34	1:42:05	IL	
13ad0f6b-9743-4b87-9570-227d8b577c5c	7	Victor Audienne	M	M30-34	1	4:34:43	0:28:20	0:02:11	2:16:42	0:02:02	1:45:28	TH	
dcc27112-c81b-4a84-95f3-0d5369351f91	8	Jiri Kalus	M	M30-34	2	4:35:15	0:25:26	0:03:04	2:25:42	0:02:24	1:38:39	CZ	
deb5b8b7-2253-4d8f-bdb1-cbf724c015b0	9	Vitali Vashkevich	M	M35-39	4	4:35:17	0:32:36	0:02:34	2:21:25	0:02:15	1:36:27	CN	
e15c3991-e65a-411e-967f-e3ae7e2bfc9c	10	Peter Kníž	M	M50-54	2	4:35:23	0:26:23	0:02:36	2:25:29	0:02:16	1:38:40	SK	
c1bf16bd-700d-4bf8-b9db-b784dbd20247	11	Arjun Kandikuppa	M	M35-39	5	4:35:28	0:30:11	0:02:51	2:22:16	0:02:49	1:37:20	SG	
09d41bed-db1d-4d17-ba4a-238768f07ee5	12	Le Nhat Tai	M	M35-39	6	4:35:38	0:31:13	0:02:41	2:18:41	0:02:02	1:41:01	VN	
5f07f1ca-62c4-42aa-b5a3-598fcc1b44c8	13	Yong Jin Kim	M	M40-44	2	4:38:10	0:37:15	0:03:13	2:14:24	0:03:10	1:40:08	KR	
5b7f05b5-a423-46cc-8cc2-5157786b5829	14	Seok Hee Hwang	M	M25-29	1	4:39:49	0:32:28	0:02:13	2:24:10	0:02:31	1:38:26	KR	
40a620b1-a75a-4fe5-811c-e87ce951646b	15	Artem Sekachev	M	M35-39	7	4:40:29	0:35:28	0:02:04	2:24:58	0:02:44	1:35:14	UZ	
0292f5de-0ae0-4445-941a-56ab737474f0	16	Jaray Jearnai	M	M40-44	3	4:41:42	0:29:08	0:02:08	2:20:49	0:02:19	1:47:17	TH	
c48852a3-4785-43a5-b9d6-e298cd438508	17	Takanori Ayusawa	M	M40-44	4	4:42:09	0:27:03	0:02:21	2:27:10	0:02:47	1:42:48	JP	
c04e8963-1195-4b18-bba1-29394be55477	18	Rafal Borowiak	M	M40-44	5	4:43:09	0:32:40	0:02:39	2:27:08	0:02:56	1:37:45	PL	
3c19e0c5-b21f-49d4-95e1-6e43808e5d6b	19	Anton Kort	M	M45-49	1	4:44:32	0:25:41	0:02:44	2:16:01	0:03:24	1:56:42	US	
df6f0c9f-4b98-4a07-9ed8-724758bab8be	20	Tuan Dang Quoc	M	M40-44	6	4:45:11	0:35:51	0:02:49	2:26:44	0:02:20	1:37:26	VN	
3785310c-22a6-47e5-88ed-9d493e0e7a52	21	Kyle Arnold	M	M40-44	7	4:45:30	0:31:32	0:03:03	2:26:49	0:02:56	1:41:09	SG	
cc683884-1a0d-48c8-b3b3-b1955ef4be2f	22	Andrea De Caprio	M	M40-44	8	4:45:42	0:30:45	0:02:48	2:22:15	0:03:15	1:46:39	TH	
f2db2d19-4500-4dbd-95b0-2f9b7cb41326	23	Ling Er Choo	F	F35-39	1	4:46:59	0:31:44	0:02:59	2:29:01	0:02:16	1:40:59	SG	
4e795ec7-dd8b-46e1-9b1f-04fda1469dde	24	Grigori Gvozdovski	M	M35-39	8	4:47:53	0:34:15	0:03:03	2:26:20	0:03:02	1:41:12	EE	
d0abb70b-f6be-ed11-83ff-000d3a31440b	25	Andrei Sharapko	M	M35-39	9	4:49:30	0:33:35	0:02:15	2:27:23	0:02:51	1:43:25	KG	
