ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
1e3b8903-7aa9-46cc-bd98-ed85786bf115	1	Harry Palmer	M	MPRO	1	3:52:54	0:23:46	0:03:46	2:11:14	0:02:00	1:12:08	GB	
65ab6c8d-1caa-4c45-99f5-7b6c736eb2e1	2	Gabriel Sandör	M	MPRO	2	3:55:36	0:23:50	0:03:37	2:12:41	0:01:51	1:13:37	SWE	
a4251bb3-7d23-41cb-a031-7df478fcc337	3	Andrew Horsfall-Turner	M	MPRO	3	3:56:13	0:22:36	0:03:25	2:12:40	0:01:44	1:15:47		
d6a52f54-6b70-446c-a364-1f9c0bf805ea	4	Joe Skipper	M	MPRO	4	3:57:17	0:25:00	0:04:15	2:13:03	0:01:56	1:13:03	GB	
cd87415f-06b3-4bc9-9a48-97d700e02985	5	Fernando Zorrilla Medrano	M	MPRO	5	3:59:59	0:24:09	0:03:54	2:16:23	0:01:50	1:13:43	ESP	
825852a6-25c1-ee11-9079-000d3a314329	6	Matthew Collins	M	MPRO	6	4:02:17	0:23:51	0:03:36	2:14:52	0:02:16	1:17:42	GB	
e8c74975-7790-4f88-a39f-254c4371540a	7	Jack Hutchens	M	MPRO	7	4:02:59	0:23:48	0:03:23	2:15:09	0:06:45	1:13:54	PT	
f4a5b859-609d-44f6-bf9d-977db4fa8152	8	Sam Wordley	M	MPRO	8	4:05:08	0:24:55	0:03:49	2:15:44	0:02:09	1:18:30	United Kingdom	
fd567b6e-a91c-40ec-a2b2-2cf3321a2962	9	Ben Goodfellow	M	MPRO	9	4:06:26	0:24:58	0:03:46	2:15:39	0:02:10	1:19:53		
71a886c3-54a0-4f98-9a13-75558736dbfe	10	Donald Brooks	M	M45-49	1	4:08:04	0:24:46	0:03:32	2:19:29	0:01:44	1:18:32	GBR	
d758e135-10d5-4f15-af0e-ff166a85184d	11	Oliver Simon	M	M45-49	2	4:12:00	0:24:49	0:03:53	2:19:31	0:02:12	1:21:35	GB	
6ada9fbd-3ba3-45e8-921f-330d805b3dbb	12	Lewis Donovan	M	MPRO	10	4:12:46	0:25:40	0:03:28	2:19:20	0:02:03	1:22:15	GB	
21e805a0-dc2d-45ac-a7ae-42e862b25ede	13	Jonathan Sánchez Mosquera	M	MPRO	11	4:15:58	0:28:05	0:04:06	2:25:47	0:02:11	1:15:49	GB	
dac9fcc1-dcff-41c5-8c7d-775e0edf85aa	14	Gruffudd Lewis	M	M35-39	1	4:17:53	0:29:54	0:05:08	2:16:45	0:02:07	1:23:59	GB	
8e8f2793-54ce-4b15-8f4b-6eec61f5b8f3	15	Lucas Aurell	M	MPRO	12	4:18:19	0:29:17	0:04:35	2:22:24	0:01:56	1:20:07	ESP	
99c01b25-df7b-40d3-8aeb-c483667f1659	16	Nikki Bartlett	F	FPRO	1	4:21:05	0:27:19	0:04:51	2:27:02	0:01:55	1:20:00	GB	
127ffc51-e91d-44b7-9271-194d503e2f03	17	Kyle Blackmore	M	M30-34	1	4:21:06	0:27:35	0:04:38	2:22:04	0:01:59	1:24:49	GBR	
d3acd6b8-abe2-4f4e-80ee-b6093f5b4ed4	18	John Collier	M	M35-39	2	4:23:33	0:27:33	0:04:06	2:26:07	0:02:22	1:23:24	GBR	
54e72423-2f9e-4040-8709-9e145f28304b	19	Ryan James	M	M35-39	3	4:23:43	0:29:45	0:04:00	2:27:07	0:02:36	1:20:15		
4ddd8e9a-a8e2-4527-b94d-d2993dd50778	20	Sion Slyman	M	M40-44	1	4:24:01	0:29:01	0:04:54	2:24:18	0:02:26	1:23:23		
e15afee3-d5d7-4f16-9358-6deaa73803f2	21	Luke Goldsworthy	M	M25-29	1	4:24:41	0:31:50	0:06:06	2:29:19	0:01:58	1:15:28	GB	
1fb8c267-ce53-4268-a83e-5c2af5787930	22	Megan Mcdonald	F	FPRO	2	4:25:03	0:25:39	0:04:08	2:30:06	0:02:11	1:22:59	United Kingdom	
adb5553d-8b10-4fe2-abaa-49bd00e78295	23	Tom Williams	M	M35-39	4	4:25:39	0:29:34	0:03:59	2:26:08	0:02:20	1:23:38		
d53abecc-c549-49e9-9d83-11844009a92e	24	Aled Jenkins	M	M30-34	2	4:25:59	0:27:45	0:04:57	2:29:44	0:02:23	1:21:10	GBR	
b8a6bd15-22ed-ef11-9342-000d3a5a1803	25	Daniel Hind	M	M35-39	5	4:27:34	0:36:53	0:05:05	2:19:34	0:01:43	1:24:18	GB	
39bca261-1b10-4c99-bd17-cf2edf1ec103	26	James Budge	M	M35-39	6	4:27:58	0:31:27	0:04:36	2:27:26	0:02:19	1:22:11	GB	
779d018c-5343-4ebc-9432-fd37d364e3f5	27	David Cole	M	M35-39	7	4:28:08	0:33:18	0:04:52	2:31:17	0:01:47	1:16:55	GB	
bb1dafeb-aa38-468d-83e9-d5c5dcd85d14	28	Lizzie Rayner	F	FPRO	3	4:28:21	0:25:41	0:04:09	2:28:54	0:01:58	1:27:40	United Kingdom	
76b52d11-2374-4755-8e38-f81dbc576fe3	29	Ian Mayes	M	M30-34	3	4:28:50	0:29:48	0:04:20	2:26:41	0:01:55	1:26:06	GB	
7e631870-1ac1-4c2a-bc86-c51758f2952e	30	Daniel Madden	M	M25-29	2	4:29:49	0:27:33	0:04:07	2:28:45	0:02:14	1:27:09	GB	
