ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
bee5abbc-d0fa-48c7-8ce6-158485421c85	1	Vasilii Romanov	M	M25-29	1	3:56:03	0:27:11	0:02:33	2:05:00	0:01:59	1:19:20	ES	
ebe8f244-7bb7-4ec4-bea3-a2bdb7ceaa81	2	Tim Gošnjak	M	M30-34	1	3:56:04	0:30:38	0:04:23	1:58:01	0:02:15	1:20:47	Slovenia	
51396ec7-30c5-4cb8-a6a1-767c1ffc3c62	3	Martin Olsan	M	M35-39	1	3:56:39	0:29:31	0:02:53	2:05:05	0:02:31	1:16:39	Czech Republic	
0f13636e-97b0-450f-9531-73533247cb12	4	Sergei Khazov	M	M40-44	1	3:57:44	0:25:17	0:02:40	2:05:39	0:02:23	1:21:44		
89e37348-c416-4d78-a19e-8bcd83612d44	5	Fabian Schaffert	M	M30-34	2	4:00:00	0:28:07	0:04:01	2:04:16	0:02:17	1:21:19	DEU	
dbb224b1-3c44-461e-a20b-9c7ef23d1f32	6	Juan Pedro Garcia Ochoa	M	M35-39	2	4:02:21	0:29:27	0:02:50	2:05:31	0:02:22	1:22:12	ES	
84b34f96-20c8-4dfa-bc93-554029a7b821	7	Roman Reeschke	M	M35-39	3	4:02:43	0:26:55	0:02:53	2:01:47	0:02:40	1:28:29	DE	
b7f6772b-6eb3-47ff-a47f-e958c501bdcb	8	Chris Standidge	M	M45-49	1	4:02:47	0:25:22	0:02:55	2:04:51	0:02:40	1:26:59	GB	
b3948454-d77f-43c0-ab32-507c667ed20a	9	Pavel Blagikh	M	M35-39	4	4:02:56	0:31:34	0:03:05	2:01:53	0:02:22	1:24:02	ES	
b033ba42-9eee-48d9-8079-8f67dbc5b7b9	10	Behzad Nobaripour	M	M30-34	3	4:02:59	0:25:14	0:03:04	2:10:15	0:02:02	1:22:24	TR	
a39fdd32-194c-4479-a433-934de5b62663	11	Jonas Winter	M	M18-24	1	4:03:13	0:28:44	0:02:51	2:06:13	0:02:31	1:22:53	DEU	
56729261-34af-41ca-8cc3-1af2309365e7	12	Sönke Droska	M	M18-24	2	4:04:43	0:26:57	0:02:47	2:08:05	0:02:17	1:24:36	DE	
f0dd9b0c-59d5-4c96-992d-7607e2fa11ea	13	Bahadir Tama	M	M35-39	5	4:04:59	0:26:59	0:03:07	2:04:46	0:02:10	1:27:57	TR	
33de0456-d5b9-45c4-91f4-5226ab723e50	14	Alexey Vshivtsev	M	M30-34	4	4:05:18	0:29:01	0:03:31	2:11:24	0:02:19	1:19:02	KZ	
7345525d-d7c7-48c7-8d12-8310ff036924	15	Kevin Van De Wetering	M	M25-29	2	4:05:41	0:30:21	0:03:06	2:05:39	0:02:35	1:24:00	NL	
7a8a933d-c3ad-4a40-9b67-48ef322dfaac	16	Pascal Buck	M	M30-34	5	4:05:51	0:28:21	0:02:41	2:07:16	0:02:16	1:25:18	DE	
ca72550b-9d4d-439d-b419-e3d45b063cfa	17	Adam Fowkes	M	M40-44	2	4:05:56	0:31:24	0:03:52	2:04:18	0:02:45	1:23:37		
ddbd020f-bbc3-414f-b8d3-f8988d9f0283	18	Jan Kepinski	M	M18-24	3	4:06:35	0:31:49	0:02:58	2:00:40	0:02:44	1:28:23	Poland	
896f14a2-b0e5-432c-b5c6-19e9a68ab5ec	19	Mathias Schenk	M	M30-34	6	4:07:13	0:29:37	0:03:57	2:04:16	0:02:24	1:26:59	AT	
752d910d-c3ba-40aa-b540-c628360e2f7d	20	Oleksandr Mordasov	M	M40-44	3	4:07:35	0:30:26	0:03:25	2:06:24	0:02:21	1:25:00	AZ	
b0ef761d-6f35-4ec4-afec-8779b09bd51e	21	Sam Murray	M	M18-24	4	4:07:39	0:28:58	0:02:41	2:06:12	0:02:47	1:27:03	United Kingdom	
f78b58be-18b2-49ec-9923-2272ec980fc5	22	Dmitry Litvinov	M	M30-34	7	4:08:03	0:29:50	0:04:01	2:06:06	0:02:05	1:26:00	RU	
3f20bd8d-5235-43d9-b79a-1108c6d06f54	23	Ivan Andreev	M	M35-39	6	4:08:07	0:31:29	0:02:54	2:12:20	0:02:02	1:19:22	RU	
edc69d5d-5d65-478b-951f-6789a5c591bd	24	Joona Lehtonen	M	M18-24	5	4:09:19	0:25:42	0:02:50	2:11:22	0:02:29	1:26:57		
d683164b-ff87-4590-864a-ea57e1d8168a	25	Kamil Duplicki	M	M40-44	4	4:10:23	0:32:31	0:02:32	2:04:51	0:06:13	1:24:15	POL	
a9553afa-cac7-43bf-a2fc-357a39723f6e	26	Máté Szaniszló	M	M35-39	7	4:12:01	0:27:13	0:02:50	2:15:35	0:02:21	1:24:02	HU	
752194ff-a674-ed11-81ab-000d3a314ae2	27	Ilker Kokce	M	M25-29	3	4:12:11	0:30:54	0:03:11	2:14:08	0:02:53	1:21:04		
e2fac1bc-4b62-4a64-9965-a2aaee285a3c	28	Keith Galea	M	M35-39	8	4:12:29	0:28:10	0:03:29	2:07:39	0:02:33	1:30:38		
