ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
8d035c21-29bf-ec11-983e-000d3a5d0354	1	Jacob Capin	M	M35-39	1	4:04:21	0:26:37	0:03:12	2:12:22	0:01:54	1:20:17	US	
d61ccfbe-f2e7-4c2a-9151-b18b5ae0a31e	2	Cody Williams	M	M25-29	1	4:06:24	0:29:27	0:03:02	2:10:51	0:02:10	1:20:54	US	
e5471fc7-1cb8-eb11-8236-000d3a5a5438	3	Tyler Tanko	M	M25-29	2	4:06:36	0:26:31	0:03:20	2:16:58	0:02:22	1:17:26	US	
2b4a52b2-c917-4f3a-8ec4-6badccb485c8	4	Bryan Mooney	M	M25-29	3	4:08:06	0:28:33	0:04:02	2:18:15	0:02:27	1:14:49	US	
906aa21c-08d1-47b7-b72d-bf22f3ab0e5b	5	Nathan Kim	M	M18-24	1	4:12:09	0:24:57	0:03:22	2:16:11	0:02:05	1:25:35	US	
bfb221a3-ff20-4cd9-a1fa-26b8c11b4bbb	6	Curren Matthias	M	M25-29	4	4:13:22	0:28:07	0:03:42	2:18:19	0:02:16	1:20:58	US	
9fa52e8f-9532-42a6-b661-622a9278a6f8	7	Brian Andryk	M	M30-34	1	4:13:52	0:26:35	0:04:22	2:18:15	0:03:29	1:21:12	USA	
f50f88b3-1d31-4ef5-b451-f89a8e7a4a5e	8	Brett Collins	M	M35-39	2	4:20:28	0:26:10	0:04:41	2:22:53	0:03:29	1:23:14	US	
e6a6529f-3edd-4d93-ae09-eb667beb72c0	9	Peter Wikman	M	M30-34	2	4:22:07	0:29:22	0:03:45	2:24:35	0:02:51	1:21:35	USA	
67bc4864-68dc-470b-8a28-0049dd112270	10	Dustin Leutenegger	M	M40-44	1	4:23:47	0:37:28	0:03:47	2:15:35	0:02:02	1:24:55	USA	
83c1b6d5-e637-4b23-b89c-f92f6de39110	11	Andrew Vos	M	M35-39	3	4:23:51	0:30:14	0:03:20	2:22:25	0:02:52	1:25:00	US	
feb3b8b7-db2c-4832-9644-d2314bfe43a4	12	Parker Watt	M	M35-39	4	4:24:01	0:26:34	0:05:33	2:26:35	0:02:54	1:22:25	US	
631dd185-21bf-4a57-80eb-6235ba9699c3	13	Dan Arlandson	M	M45-49	1	4:25:13	0:29:30	0:04:17	2:16:44	0:03:11	1:31:31	US	
f6166bee-ba67-440e-a836-28e5a9860326	14	John Bodeau	M	M30-34	3	4:27:57	0:30:17	0:04:05	2:20:45	0:03:24	1:29:26		
814cd91d-d4dc-4892-847f-e33e8c939b74	15	Ross Palazzo	M	M25-29	5	4:30:23	0:27:26	0:03:54	2:18:24	0:04:12	1:36:26	US	
7faed010-2913-4d17-a5d7-f9ead56a50c2	16	Nickolas Kraus	M	M30-34	4	4:31:41	0:30:53	0:03:39	2:22:23	0:02:29	1:32:17	USA	
f1cc8e01-eedb-4e83-ab34-cc16e2e1f94d	17	Ryan Girouard	M	M30-34	5	4:32:39	0:30:19	0:06:03	2:25:59	0:03:06	1:27:13	USA	
750f3fb6-a77a-4f4c-8bf2-3536d7d0d949	18	David Morin	M	M40-44	2	4:33:16	0:30:51	0:04:18	2:20:06	0:03:38	1:34:23	CA	
e8f50a04-7925-45a1-be06-ba541e83e887	19	Nicholas Powell	M	M18-24	2	4:34:41	0:34:36	0:03:56	2:32:13	0:03:23	1:20:32	US	
d03ae621-dee3-444a-8285-e788064def7c	20	Andy Wiberg	M	M45-49	2	4:36:01	0:34:08	0:03:54	2:27:26	0:03:37	1:26:57	US	
c03004e1-e881-4d18-845b-f3dc4dc54783	21	Denis Erokhin	M	M45-49	3	4:36:04	0:30:43	0:03:53	2:28:18	0:04:29	1:28:40	US	
1eb9d931-2a60-45d9-b207-45ba1ac8fba4	22	Nigel Baummer	M	M30-34	6	4:36:21	0:30:26	0:04:51	2:28:16	0:03:14	1:29:33	US	
a4b5700d-532a-463d-bfb0-e35f5633045b	23	Richie Szeliga	M	M30-34	7	4:36:33	0:37:09	0:05:37	2:29:27	0:03:24	1:20:57	US	
6260ec24-ded9-419f-938e-30e20ebc44a7	24	Michael Arce	M	M40-44	3	4:36:41	0:26:40	0:03:31	2:28:30	0:03:11	1:34:49	US	
c358a9c0-49a4-4081-aa02-12388aefa0fb	25	Caryn Herrick	F	F30-34	1	4:37:08	0:29:26	0:03:56	2:32:54	0:02:48	1:28:03	USA	
0e172c97-efab-4974-aed6-86d50fb1f801	26	Brian Willing	M	M40-44	4	4:37:16	0:32:18	0:05:38	2:28:43	0:02:35	1:28:02	US	
e438ffdd-c618-4539-b5d2-81ef5b451c16	27	Hayden Sikora	M	M18-24	3	4:38:46	0:31:58	0:04:46	2:30:38	0:05:16	1:26:07	USA	
23226835-8b8c-4e37-85ab-19c604ff3b48	28	Christian Sande	M	M35-39	5	4:38:55	0:34:42	0:04:40	2:23:39	0:02:31	1:33:24	US	
5bf505ca-b04c-4a77-99ec-42544b758bf7	29	Ben Goldman	M	M45-49	4	4:39:03	0:33:25	0:04:07	2:26:48	0:02:12	1:32:31	USA	
fd8f431e-1782-4e47-927b-90bdce2580af	30	Brandon Czekay	M	M30-34	8	4:39:07	0:29:58	0:04:20	2:28:01	0:03:16	1:33:32	US	
e4399939-b916-4287-b354-777a45ccc981	31	Tim Vanderjeugd	M	M40-44	5	4:39:22	0:38:28	0:04:35	2:23:52	0:02:33	1:29:54	US	
37b4e421-d96d-4548-95dd-0fd310cbeb8a	32	Patrick Johnson	M	M30-34	9	4:39:40	0:30:32	0:06:18	2:26:08	0:04:00	1:32:44	US	
815572b7-9d43-4a6d-85f6-2f7901f6fa1d	33	Nathan Lasselle	M	M18-24	4	4:40:05	0:32:40	0:04:33	2:26:30	0:02:43	1:33:39	US	
2d08ddbb-98f0-e911-a988-000d3a3749bc	34	Gustavo Gines	M	M30-34	10	4:40:06	0:30:33	0:05:29	2:30:29	0:03:40	1:29:55		
b3d7e2c2-192d-484e-8701-874be98d0b86	35	Paige Schulz	F	F30-34	2	4:40:26	0:35:05	0:04:54	2:30:13	0:02:41	1:27:33	US	
8c3da5be-d22d-46d5-b8f6-9bf97461b4df	36	Jessica Jones	F	F40-44	1	4:40:47	0:30:11	0:05:35	2:33:02	0:03:00	1:29:00	US	
74fdb5a0-13a4-42c5-99f4-a124ae208249	37	Christopher Schmidt	M	M50-54	1	4:40:57	0:33:31	0:06:08	2:26:15	0:03:18	1:31:45		
ab849f18-d308-4eb1-b32d-01c678aee4f0	38	Sarah Spooner	F	F30-34	3	4:42:21	0:30:54	0:03:39	2:30:55	0:05:01	1:31:52	US	
3b96e91d-0fd0-46b3-94c6-8c33af88e3cd	39	Mike Theusch	M	M30-34	11	4:42:45	0:33:24	0:06:18	2:30:24	0:04:04	1:28:35		
6a94502e-2cc9-4dab-829d-2a6a47b380af	40	Clay Geary	M	M25-29	6	4:43:34	0:33:08	0:04:25	2:30:32	0:02:59	1:32:31	US	
