ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
c09184df-3b00-468d-b73f-c395d015a633	1	Rasmus Svenningsson	M	MPRO	1	8:03:11	0:51:56	0:02:22	4:14:35	0:03:06	2:51:12	SE	
cc12b37c-8a72-400c-ba1d-96229b6cf464	2	Mathias Lyngsø Petersen	M	MPRO	2	8:06:50	0:48:56	0:02:22	4:28:57	0:02:42	2:43:53	DK	
30251138-96c3-4bae-9286-a221c071ea13	3	Cameron Wurf	M	MPRO	3	8:07:37	0:49:07	0:02:45	4:20:11	0:02:28	2:53:06	AD	
94448416-23eb-492a-861e-c9a184b620d5	4	Leonard Arnold	M	MPRO	4	8:08:17	0:49:00	0:02:22	4:26:44	0:02:30	2:47:41		
de7c4f88-8220-4242-9354-6492806c7778	5	Bart Aernouts	M	MPRO	5	8:10:33	0:54:14	0:02:10	4:25:59	0:02:28	2:45:40	BE	
3f074d10-5cfb-4506-a96c-c77ac3b7e92f	6	Tim Van Hemel	M	MPRO	6	8:19:23	0:50:45	0:02:32	4:34:18	0:03:22	2:48:26	BE	
e6c6d3d0-7e17-4bac-8ef7-7749f3186fb0	7	Dominik Sowieja	M	MPRO	7	8:19:45	0:54:53	0:02:16	4:32:12	0:02:42	2:47:42	DE	
736f0179-0e1e-4593-bca6-b015dcbe22ce	8	Josh Amberger	M	MPRO	8	8:25:32	0:47:01	0:02:21	4:38:23	0:02:14	2:55:33	AU	
1966af66-4bc2-4c8c-923a-cf817a577961	9	Milan Brons	M	MPRO	9	8:27:56	0:51:18	0:02:39	4:33:30	0:02:58	2:57:31	NL	
edacad4a-6c96-4fe9-b029-8e384b2a766a	10	Yvan Jarrige	M	MPRO	10	8:28:55	0:49:13	0:02:13	4:42:49	0:03:25	2:51:14		
5b69d578-cfc9-49b1-a5a7-06a17fd65ada	11	Andreas Dreitz	M	MPRO	11	8:32:14	0:51:53	0:02:29	4:33:02	0:03:00	3:01:50	DEU	
87955364-f5d9-42a6-85e9-af6700a8b346	12	Christoph Matner	M	MPRO	12	8:41:05	0:51:20	0:02:16	4:55:31	0:02:32	2:49:25	DE	
7c4a03ab-530f-4f38-8c48-42b28c568c6a	13	Cameron MacNair	M	MPRO	13	8:45:23	0:51:25	0:02:25	4:46:28	0:03:06	3:01:58	ZA	
