ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
63414ce4-0220-4981-a93c-bdf985d8cd90	1	Matheus Martini	M	M30-34	1	8:27:12	0:48:12	0:03:33	4:35:08	0:02:16	2:58:01	BR	
d2d84400-c45c-426a-872d-44547fbd134c	2	Filip Jonsson	M	M25-29	1	8:33:19	1:02:28	0:03:19	4:32:21	0:01:56	2:53:16		
d34316d4-02e0-4356-9eef-502060a30ee8	3	Jaap Koetsier	M	M35-39	1	8:39:00	1:00:58	0:02:57	4:27:42	0:02:03	3:05:21	NL	
12aa6679-46ac-49cb-9d23-490a8002715d	4	Marlene de Boer	F	FPRO	1	8:39:31	0:52:36	0:02:03	4:42:10	0:01:44	3:00:58		
c8316cfe-5d0c-4061-9d65-571f60f76fdc	5	Jeroen De Meester	M	M40-44	1	8:40:15	1:04:07	0:03:16	4:30:52	0:02:24	2:59:36	BE	
6320f384-d05f-4712-99b6-1a67242af513	6	Mario Teune	M	M30-34	2	8:40:43	0:55:07	0:02:51	4:40:18	0:03:12	2:59:15	DE	
3adfdba3-08f8-4c17-a99c-faa59938ac07	7	Katrine Græsbøll Christensen	F	FPRO	2	8:41:27	0:58:22	0:01:51	4:39:47	0:01:43	2:59:43	DNK	
ffc5ff4e-3cd7-4395-a2b2-cbe43392eeb2	8	Marcus Lindblom	M	M30-34	3	8:41:32	1:01:08	0:02:35	4:24:52	0:02:40	3:10:16	SWE	
7c00bf63-ea89-4908-88b7-3ebff82974d1	9	Henrike Güber	F	FPRO	3	8:42:39	0:58:30	0:01:47	4:35:42	0:01:58	3:04:42	Germany	
12d0b39f-bbb9-ed11-83fe-000d3a31458d	10	Philipp Schick	M	M30-34	4	8:43:27	0:56:19	0:02:22	4:33:57	0:01:56	3:08:54	DE	
bdd7981b-df64-4825-a9c6-2aa3130471be	11	Oliver Wykman	M	M30-34	5	8:44:23	0:59:22	0:02:38	4:39:34	0:02:29	3:00:19	SE	
545a354d-5245-49bb-b224-aff6c972fa94	12	David Sandberg	M	M35-39	2	8:46:58	0:55:54	0:02:58	4:32:58	0:02:34	3:12:35	SWE	
bb0622fa-03c7-464c-a658-7acebc408823	13	Thomas Schifter	M	M40-44	2	8:47:00	0:55:16	0:01:59	4:34:34	0:02:08	3:13:04	DK	
32846a8e-70f0-4cd9-8f52-b377db364954	14	Michal Holub	M	M35-39	3	8:48:01	1:01:16	0:03:14	4:32:20	0:01:58	3:09:13	SK	
31547797-1aff-4d2a-9978-72368dacd9e1	15	Marcus Haeggström	M	M30-34	6	8:48:26	0:56:46	0:03:05	4:33:36	0:02:17	3:12:42	SWE	
8e1b8012-21ec-415b-8d7d-68a051174d5d	16	Patrik Hansen	M	M30-34	7	8:50:04	0:55:19	0:02:39	4:47:00	0:02:05	3:03:00	SE	
64bec288-bd37-43c2-8e50-8d779b7cf458	17	Sam Morreau	M	M30-34	8	8:50:04	0:51:40	0:02:56	4:44:07	0:03:48	3:07:33	SWE	
39bca261-1b10-4c99-bd17-cf2edf1ec103	18	James Budge	M	M35-39	4	8:51:20	1:03:21	0:02:46	4:32:58	0:02:23	3:09:51	GB	
80d2421c-cd19-ef11-9f89-00224805a63a	19	Callum Townsend	M	M25-29	2	8:53:19	0:59:55	0:03:06	4:35:45	0:02:55	3:11:38	GB	
4ae8b74f-c853-4157-96c7-5028afb03f2b	20	Robert Budaj	M	M35-39	5	8:55:42	1:01:12	0:03:26	4:32:13	0:02:53	3:15:58	Slovakia	
0e92e23b-8338-4a94-a23a-e46ec9a55c62	21	Jean-Baptiste Chamouleaud	M	M25-29	3	8:55:59	0:55:52	0:02:38	4:44:05	0:02:35	3:10:49	FR	
19f18b6f-0002-ec11-94ef-0022480aaff1	22	Gustav Flodin	M	M18-24	1	8:56:26	1:05:40	0:03:58	4:44:14	0:03:13	2:59:20	SE	
7a898350-e58f-44cb-bcda-96e0403dddbf	23	Sebastian Aldén	M	M35-39	6	8:56:42	1:03:09	0:02:29	4:35:22	0:03:26	3:12:15	SE	
8cc795ee-bb31-45c7-bcf5-a0998559ba40	24	Richard Ledain Santiago	M	M40-44	3	8:57:00	1:00:57	0:02:44	4:37:37	0:02:37	3:13:05		
71659408-64ad-4dee-b9b7-94ad6499fd6a	25	Albert Saludes Bellés	M	M40-44	4	8:57:13	0:55:15	0:03:00	4:40:41	0:03:14	3:15:03	ES	
21684507-5559-40a7-9668-8ab9ae574cb9	26	Marcus Larsson	M	M45-49	1	8:57:43	0:57:54	0:03:11	4:37:49	0:02:23	3:16:26	SE	
39d99da1-4d06-4a13-9aa8-0abc944cd40b	27	Albin Holmström	M	M35-39	7	8:58:42	0:55:17	0:02:33	4:41:38	0:03:22	3:15:53	SE	
07c37d61-70e5-4f52-a9b5-2863bce0a04a	28	Julia Skala	F	FPRO	4	9:00:32	0:58:25	0:01:54	4:48:20	0:02:08	3:09:45	DE	
