総合順位	No.	氏名	年齢	所属	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	区分	区分順位
1	207	横山 紘来	20	日本学生トライアスロン連合	1:01:15	0:10:57	8	0:32:38	7	0:45:07	7	0:16:08	1	M20-24	1
2	211	山本 人誠	22	日本学生トライアスロン連合	1:01:15	0:10:54	7	0:31:22	2	0:43:40	1	0:17:35	3	M20-24	2
3	208	中村 就太	20	日本学生トライアスロン連合	1:02:10	0:11:24	13	0:32:45	9	0:45:34	9	0:16:36	2	M20-24	3
4	209	横枕 優太	20	日本学生トライアスロン連合	1:02:50	0:10:46	4	0:31:59	4	0:44:11	4	0:18:39	10	M20-24	4
5	203	知名 透真	18	愛知県トライアスロン協会	1:02:57	0:11:43	18	0:31:04	1	0:44:47	6	0:18:10	6	M16-19	1
6	228	淺井 邦人	44	静岡県トライアスロン協会	1:03:16	0:10:36	3	0:31:39	3	0:44:01	2	0:19:15	15	M40-44	1
7	219	妹尾 元気	34	東京都トライアスロン連合	1:03:50	0:09:57	2	0:32:41	8	0:44:08	3	0:19:42	22	M30-34	1
8	205	前田 凰樹	19	日本学生トライアスロン連合	1:03:54	0:11:15	11	0:32:30	5	0:45:21	8	0:18:33	8	M16-19	2
9	237	森田 翼	50	千葉県トライアスロン連合	1:04:54	0:11:28	15	0:33:03	11	0:46:51	11	0:18:03	5	M50-54	1
10	221	奥平 竜司	36	神奈川県トライアスロン連合	1:05:06	0:09:48	1	0:32:33	6	0:44:26	5	0:20:40	32	M35-39	1
11	231	服部 雅司	46	愛知県トライアスロン協会	1:05:58	0:12:28	24	0:32:59	10	0:46:57	12	0:19:01	12	M45-49	1
12	230	山口 陽平	46	東京都トライアスロン連合	1:06:05	0:10:57	9	0:33:04	12	0:46:32	10	0:19:33	17	M45-49	2
13	204	土屋 昊大	19	日本学生トライアスロン連合	1:06:21	0:11:40	17	0:34:57	20	0:48:20	18	0:18:01	4	M16-19	3
