総合順位	No.	氏名	年齢	所属	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	区分	区分順位
1	2030	大井 智仁	26	東京都トライアスロン連合	1:59:31	0:19:47	10	1:02:52	15	1:24:15	6	0:35:16	6	M25-29	1
2	2071	駒野 悠太	42	神奈川県トライアスロン連合	2:00:19	0:21:55	33	1:01:12	4	1:24:46	9	0:35:33	8	M40-44	1
3	2038	若菜 和彦	30	神奈川県トライアスロン連合	2:00:23	0:19:18	4	1:02:56	16	1:23:53	5	0:36:30	10	M30-34	1
4	2056	宅間 徹	36	京都府トライアスロン協会	2:00:32	0:21:00	16	1:02:10	9	1:24:59	11	0:35:33	7	M35-39	1
5	2067	清水 哲平	42	大阪府トライアスロン協会	2:00:50	0:19:34	9	1:01:38	5	1:22:44	2	0:38:06	25	M40-44	2
6	2020	岩月 駿介	21	日本学生トライアスロン連合	2:00:55	0:20:34	12	1:04:45	32	1:26:55	20	0:34:00	1	M20-24	1
7	2059	小出 大祐	37	千葉県トライアスロン連合	2:01:13	0:21:05	17	1:04:07	23	1:26:48	17	0:34:25	2	M35-39	2
8	2032	中山 泰誠	27	東京都トライアスロン連合	2:01:21	0:20:59	15	1:00:29	2	1:23:08	3	0:38:13	28	M25-29	2
9	2029	山下 大晴	25	京都府トライアスロン協会	2:02:16	0:19:58	11	1:05:06	38	1:27:20	21	0:34:56	5	M25-29	3
10	2055	東都 源也	36	大阪府トライアスロン協会	2:02:30	0:19:29	7	1:03:32	20	1:24:37	8	0:37:53	24	M35-39	3
11	2008	山下 龍	19	日本学生トライアスロン連合	2:02:45	0:19:07	2	1:04:51	36	1:25:20	12	0:37:25	18	M18-19	1
12	2070	山内 光春	42	岡山県トライアスロン協会	2:03:24	0:19:21	5	1:02:49	13	1:24:15	7	0:39:09	49	M40-44	3
13	2096	山本 淳一	51	千葉県トライアスロン連合	2:03:32	0:19:28	6	1:01:44	6	1:22:38	1	0:40:54	71	M50-54	1
14	2017	宮下 陽翔	21	日本学生トライアスロン連合	2:03:32	0:22:41	38	1:02:36	11	1:26:55	19	0:36:37	12	M20-24	2
15	2074	土田 洋平	45	岐阜県トライアスロン連合	2:03:52	0:23:49	55	0:59:20	1	1:24:55	10	0:38:57	43	M45-49	1
16	2015	尾花 連都	20	日本学生トライアスロン連合	2:03:56	0:20:40	14	1:04:08	24	1:26:17	14	0:37:39	19	M20-24	3
17	2022	櫻木 敦大	22	日本学生トライアスロン連合	2:04:23	0:19:10	3	1:06:10	59	1:26:37	15	0:37:46	21	M20-24	4
18	2041	小倉 崚司	31	愛知県トライアスロン協会	2:04:42	0:19:32	8	1:05:47	52	1:26:52	18	0:37:50	22	M30-34	2
19	2060	佐藤 崇史	37	東京都トライアスロン連合	2:05:32	0:21:46	30	1:02:02	8	1:25:41	13	0:39:51	60	M35-39	4
20	2108	高橋 克哉	55	新潟県トライアスロン連合	2:06:26	0:21:13	22	1:04:49	33	1:27:51	23	0:38:35	34	M55-59	1
21	2023	飯田 景士郎	22	日本学生トライアスロン連合	2:06:42	0:21:22	23	1:05:01	37	1:27:53	24	0:38:49	39	M20-24	5
22	2052	林 大介	34	大阪府トライアスロン協会	2:07:09	0:21:13	21	1:00:36	3	1:23:51	4	0:43:18	96	M30-34	3
23	2061	渡邊 俊輔	37	山形県トライアスロン協会	2:07:21	0:21:28	27	1:04:27	26	1:27:45	22	0:39:36	53	M35-39	5
24	2001	加藤 龍之介	18	日本学生トライアスロン連合	2:07:47	0:21:09	19	1:05:29	46	1:28:02	25	0:39:45	56	M18-19	2
25	2118	高橋 泰夫	57	岡山県トライアスロン協会	2:07:56	0:24:28	69	1:02:47	12	1:28:52	28	0:39:04	47	M55-59	2
26	2078	秋山 優	46	宮城県トライアスロン協会	2:08:00	0:24:08	61	1:03:33	21	1:29:37	30	0:38:23	30	M45-49	2
27	2036	清水 慎一	29	広島県トライアスロン協会	2:08:06	0:23:37	49	1:05:16	42	1:30:43	39	0:37:23	16	M25-29	4
28	2011	高見 雅晴	19	日本学生トライアスロン連合	2:08:10	0:24:57	83	1:07:01	67	1:33:40	74	0:34:30	3	M18-19	3
29	2068	渡辺 誉史	42	茨城県トライアスロン協会	2:08:15	0:22:46	39	1:04:31	27	1:29:41	31	0:38:34	33	M40-44	4
30	2009	西井 悠	19	日本学生トライアスロン連合	2:08:22	0:21:24	25	1:07:17	70	1:30:10	34	0:38:12	27	M18-19	4
31	2124	桑原 邦匡	60	愛知県トライアスロン協会	2:08:26	0:23:39	51	1:03:07	17	1:28:36	27	0:39:50	59	M60-64	1
32	2049	吉田 有佑	33	千葉県トライアスロン連合	2:08:36	0:23:55	57	1:04:49	34	1:30:45	40	0:37:51	23	M30-34	4
33	2094	野仲 勝彦	51	大分県トライアスロン連合	2:08:38	0:26:52	110	1:02:25	10	1:31:29	47	0:37:09	13	M50-54	2
34	2031	仲宗根 航大	26	神奈川県トライアスロン連合	2:08:41	0:23:36	48	1:06:21	62	1:32:05	53	0:36:36	11	M25-29	5
35	2021	永曽 将多	21	日本学生トライアスロン連合	2:08:48	0:27:58	122	1:02:49	14	1:32:27	54	0:36:21	9	M20-24	6
36	2121	南川 和也	59	和歌山県トライアスロン連合	2:08:56	0:21:25	26	1:05:28	43	1:30:14	35	0:38:42	36	M55-59	3
37	2091	山先 弘晃	50	愛媛県トライアスロン協会	2:09:03	0:24:31	70	1:03:56	22	1:30:26	37	0:38:37	35	M50-54	3
38	2045	渡邊 翔太	33	東京都トライアスロン連合	2:09:04	0:25:53	95	1:05:47	51	1:34:28	78	0:34:36	4	M30-34	5
39	2093	黒川 哲弘	50	愛知県トライアスロン協会	2:09:08	0:21:53	32	1:03:18	18	1:26:47	16	0:42:21	88	M50-54	4
40	2080	吉田 拓也	47	愛知県トライアスロン協会	2:09:09	0:24:00	59	1:04:33	29	1:30:09	33	0:39:00	44	M45-49	3
41	2019	山本 十士	21	日本学生トライアスロン連合	2:09:16	0:20:37	13	1:08:02	82	1:30:24	36	0:38:52	41	M20-24	7
42	2043	池添 敦	32	神奈川県トライアスロン連合	2:09:52	0:24:49	79	1:05:07	39	1:31:38	48	0:38:14	29	M30-34	6
43	2027	山本 修平	24	日本学生トライアスロン連合	2:10:05	0:23:30	47	1:07:45	78	1:32:41	58	0:37:24	17	M20-24	8
44	2081	松原 和昭	47	山口県トライアスロン連合	2:10:09	0:25:03	86	1:05:49	53	1:32:57	66	0:37:12	14	M45-49	4
45	2076	戸田 琢	45	愛知県トライアスロン協会	2:10:23	0:23:42	54	1:05:39	50	1:30:49	42	0:39:34	51	M45-49	5
46	2018	松元 一哲	21	兵庫県トライアスロン協会	2:10:23	0:24:50	80	1:04:09	25	1:31:15	45	0:39:08	48	M20-24	9
47	2057	井上 博人	36	愛知県トライアスロン協会	2:10:34	0:24:37	75	1:05:29	44	1:31:43	50	0:38:51	40	M35-39	6
48	2069	湊 佳彦	42	愛知県トライアスロン協会	2:10:43	0:25:00	85	1:01:48	7	1:28:28	26	0:42:15	87	M40-44	5
49	2102	氏家 正裕	53	宮城県トライアスロン協会	2:10:45	0:25:44	93	1:03:28	19	1:31:04	43	0:39:41	55	M50-54	5
50	2004	田邊 陽紀	19	日本学生トライアスロン連合	2:10:48	0:23:02	43	1:06:56	64	1:31:55	51	0:38:53	42	M18-19	5
51	2107	大田 慎三	55	広島県トライアスロン協会	2:10:58	0:21:40	28	1:05:39	49	1:29:46	32	0:41:12	76	M55-59	4
52	2040	早崎 悠揮	31	大阪府トライアスロン協会	2:11:05	0:26:24	102	1:04:33	28	1:32:55	65	0:38:10	26	M30-34	7
53	2054	有冨 弘朗	35	神奈川県トライアスロン連合	2:11:08	0:22:38	37	1:08:26	85	1:32:41	59	0:38:27	31	M35-39	7
54	2063	市ノ川 隆久	39	神奈川県トライアスロン連合	2:11:47	0:22:35	36	1:04:51	35	1:29:04	29	0:42:43	91	M35-39	8
55	2104	平井 淳也	53	埼玉県トライアスロン連合	2:11:48	0:24:22	66	1:05:34	47	1:31:41	49	0:40:07	63	M50-54	6
56	2058	村田 祐規	37	熊本県トライアスロン連合	2:11:50	0:21:43	29	1:08:36	87	1:32:48	61	0:39:02	45	M35-39	9
57	2105	吉野 功哉	53	埼玉県トライアスロン連合	2:11:53	0:24:13	62	1:04:44	31	1:30:32	38	0:41:21	77	M50-54	7
58	2034	高野 真志	28	長野県トライアスロン協会	2:12:03	0:21:07	18	1:10:14	106	1:33:17	69	0:38:46	38	M25-29	6
59	2082	舛形 勲	48	香川県トライアスロン協会	2:12:18	0:22:26	34	1:08:24	84	1:32:44	60	0:39:34	52	M45-49	6
60	2130	沢田 秀二	61	宮城県トライアスロン協会	2:12:29	0:23:37	50	1:05:13	41	1:30:46	41	0:41:43	81	M60-64	2
61	2025	加茂 友太	24	日本学生トライアスロン連合	2:13:00	0:25:47	94	1:06:02	56	1:33:39	72	0:39:21	50	M20-24	10
62	2047	竹永 照二郎	33	大分県トライアスロン連合	2:13:32	0:21:50	31	1:08:57	91	1:32:59	67	0:40:33	66	M30-34	8
63	2097	中野 正紀	51	東京都トライアスロン連合	2:13:43	0:26:29	104	1:05:35	48	1:34:06	76	0:39:37	54	M50-54	8
64	2010	梶浦 倖平	19	日本学生トライアスロン連合	2:13:44	0:24:22	67	1:06:57	65	1:33:40	73	0:40:04	62	M18-19	6
65	2046	高原 翼	33	東京都トライアスロン連合	2:13:45	0:23:27	46	1:10:31	107	1:36:04	89	0:37:41	20	M30-34	9
66	2089	平澤 健市	49	千葉県トライアスロン連合	2:13:47	0:23:42	53	1:07:41	77	1:33:24	70	0:40:23	65	M45-49	7
67	2066	渡邉 慶	41	愛知県トライアスロン協会	2:13:51	0:24:35	72	1:06:03	57	1:32:29	55	0:41:22	78	M40-44	6
68	2109	林 仁志	55	東京都トライアスロン連合	2:14:02	0:24:02	60	1:05:29	45	1:31:14	44	0:42:48	92	M55-59	5
69	2037	宮 有希	29	群馬県トライアスロン協会	2:14:02	0:23:53	56	1:07:27	73	1:33:03	68	0:40:59	72	M25-29	7
70	2085	釈迦野 亮	49	東京都トライアスロン連合	2:14:11	0:25:39	92	1:06:58	66	1:34:22	77	0:39:49	58	M45-49	8
71	2016	忍田 雄哉	20	日本学生トライアスロン連合	2:14:32	0:23:41	52	1:07:19	72	1:32:49	62	0:41:43	82	M20-24	11
72	2053	高橋 怜央奈	35	東京都トライアスロン連合	2:14:43	0:27:53	121	1:06:05	58	1:36:01	88	0:38:42	37	M35-39	10
73	2006	甘利 宗大	19	日本学生トライアスロン連合	2:14:46	0:21:12	20	1:08:52	89	1:31:57	52	0:42:49	93	M18-19	7
74	2005	泉本 零次	19	日本学生トライアスロン連合	2:15:20	0:19:06	1	1:12:43	124	1:33:30	71	0:41:50	83	M18-19	8
75	2114	寺園 美智人	56	鹿児島県トライアスロン協会	2:15:41	0:23:01	42	1:10:00	103	1:34:57	82	0:40:44	68	M55-59	6
76	2062	竹中 敦一	38	千葉県トライアスロン連合	2:15:50	0:26:01	97	1:06:14	60	1:34:58	83	0:40:52	70	M35-39	11
77	2113	亀山 智之	56	広島県トライアスロン協会	2:15:57	0:26:35	105	1:07:36	76	1:36:09	91	0:39:48	57	M55-59	7
78	2028	紺野 涼太	24	神奈川県トライアスロン連合	2:16:24	0:24:40	77	1:05:50	55	1:32:35	56	0:43:49	104	M20-24	12
79	2087	山下 良平	49	大阪府トライアスロン協会	2:16:36	0:23:16	44	1:07:17	69	1:32:51	63	0:43:45	103	M45-49	9
80	2064	福田 悠平	41	熊本県トライアスロン連合	2:16:42	0:23:25	45	1:07:27	74	1:32:52	64	0:43:50	105	M40-44	7
81	2117	松山 文人	57	神奈川県トライアスロン連合	2:16:55	0:21:24	24	1:08:00	81	1:31:27	46	0:45:28	112	M55-59	8
82	2014	中谷 啓太朗	20	日本学生トライアスロン連合	2:16:55	0:30:16	135	1:04:36	30	1:36:54	93	0:40:01	61	M20-24	13
83	2083	石原 智秀	48	神奈川県トライアスロン連合	2:17:13	0:22:35	35	1:07:57	80	1:32:36	57	0:44:37	109	M45-49	10
84	2042	加納 侑士	31	福岡県トライアスロン連合	2:17:13	0:28:45	128	1:05:50	54	1:37:00	95	0:40:13	64	M30-34	10
85	2075	鈴木 裕之	45	東京都トライアスロン連合	2:17:45	0:24:14	63	1:09:02	93	1:35:50	85	0:41:55	85	M45-49	11
86	2106	佐藤 源信	54	愛知県トライアスロン協会	2:18:19	0:26:49	109	1:05:08	40	1:34:05	75	0:44:14	107	M50-54	9
87	2035	高橋 颯太朗	28	神奈川県トライアスロン連合	2:18:30	0:26:56	111	1:07:15	68	1:36:55	94	0:41:35	80	M25-29	8
88	2048	増田 拓也	33	東京都トライアスロン連合	2:18:46	0:24:52	81	1:09:00	92	1:36:08	90	0:42:38	90	M30-34	11
89	2026	堀本 遼治	24	日本学生トライアスロン連合	2:18:49	0:25:59	96	1:10:13	105	1:37:59	100	0:40:50	69	M20-24	14
90	2103	中西 聖	53	広島県トライアスロン協会	2:19:22	0:26:13	100	1:09:27	97	1:38:10	101	0:41:12	75	M50-54	10
91	2073	沓澤 篤史	44	東京都トライアスロン連合	2:19:29	0:27:18	112	1:06:15	61	1:36:00	87	0:43:29	100	M40-44	8
92	2065	横大路 勝也	41	大阪府トライアスロン協会	2:19:33	0:23:56	58	1:12:48	125	1:38:53	104	0:40:40	67	M40-44	9
93	2123	佐々木 裕一	59	埼玉県トライアスロン連合	2:20:25	0:24:48	78	1:09:36	98	1:36:11	92	0:44:14	108	M55-59	9
94	2139	新宮 瑞夫	63	島根県トライアスロン協会	2:20:48	0:25:04	87	1:11:16	114	1:38:57	105	0:41:51	84	M60-64	3
95	2092	飯島 隆介	50	東京都トライアスロン連合	2:20:49	0:26:11	98	1:11:12	112	1:39:42	111	0:41:07	74	M50-54	11
96	2100	山根 一洋	52	広島県トライアスロン協会	2:21:08	0:31:12	139	1:10:32	108	1:43:47	122	0:37:21	15	M50-54	12
97	2090	林 英樹	49	京都府トライアスロン協会	2:21:20	0:24:26	68	1:11:36	118	1:37:52	99	0:43:28	99	M45-49	12
98	2095	田島 慎吾	51	千葉県トライアスロン連合	2:21:20	0:28:14	123	1:07:19	71	1:37:49	98	0:43:31	101	M50-54	13
99	2098	平山 順一	52	大阪府トライアスロン協会	2:21:26	0:27:32	117	1:12:02	121	1:42:23	120	0:39:03	46	M50-54	14
100	2112	飯田 博之	56	愛知県トライアスロン協会	2:21:30	0:24:57	84	1:08:51	88	1:35:46	84	0:45:44	113	M55-59	10
101	2127	白石 和仁	60	愛媛県トライアスロン協会	2:21:34	0:27:50	120	1:09:12	94	1:39:32	108	0:42:02	86	M60-64	4
