ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
d69347b2-acca-47f6-9a59-9df12f2c2db0	1	Jed Radbone	M	M25-29	1	4:13:02	0:27:17	0:01:42	2:12:43	0:01:19	1:30:01	AU	
82f81707-fc64-4f5a-bdbf-2d2ac9468a5a	2	Luis Miguel Ruiz Narvaez	M	M40-44	1	4:24:27	0:27:53	0:02:38	2:20:57	0:01:14	1:31:45	ES	
c9bd9163-d884-4822-b78d-8bb7954840c9	3	Assad Attamimi	M	M50-54	1	4:27:23	0:30:26	0:01:42	2:25:38	0:01:24	1:28:12	SG	
28d30251-e855-412b-a691-23ccb50ac393	4	Yoshitaka Imamura	M	M40-44	2	4:34:09	0:30:03	0:02:13	2:28:03	0:02:19	1:31:31	JP	
7e7fd539-db44-46ca-adf5-09b2208049d5	5	Alex Thio	M	M35-39	1	4:36:41	0:29:42	0:02:11	2:20:16	0:01:25	1:43:07	SG	
ecf33d26-d2b5-4fbc-8999-593a33e9c05c	6	Ernesto Fernandez	M	M35-39	2	4:45:18	0:32:49	0:03:06	2:28:07	0:02:04	1:39:13	PA	
f881a659-ee88-482b-b56c-533315895119	7	Brice Tchaplyguine	M	M35-39	3	4:48:59	0:35:19	0:02:29	2:26:30	0:01:24	1:43:17	SG	
c1bf16bd-700d-4bf8-b9db-b784dbd20247	8	Arjun Kandikuppa	M	M35-39	4	4:50:29	0:35:14	0:02:07	2:26:25	0:01:55	1:44:49	SG	
c88f64a8-cd7e-4600-87e8-68f450b3bcfc	9	Louis Thiebault	M	M35-39	5	4:51:02	0:34:44	0:02:46	2:32:29	0:02:30	1:38:34	SG	
601ec6df-fe3c-431d-9d10-956546d6f2e6	10	Auttapol Charungwut	M	M30-34	1	4:52:22	0:33:29	0:02:28	2:26:13	0:01:28	1:48:45	TH	
fd5ca6a4-066a-ef11-bfe3-00224809fd7c	11	Adriel Soares	M	M30-34	2	4:54:18	0:40:47	0:02:44	2:32:50	0:01:41	1:36:16	BR	
