ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
d455257e-8b1c-4421-8744-71a7a9a5bdad	1	Dante Manchester	M	M30-34	1	3:56:39	0:20:13	0:03:07	2:14:13	0:01:05	1:18:02	CA	
eeac460e-dcc7-4091-89ba-c868d7370141	2	Liam Kennedy	M	M18-24	1	4:04:40	0:23:41	0:05:04	2:12:35	0:02:20	1:21:00	US	
30b6ce2a-26a7-47e2-a30e-fbd8b93e1ffe	3	Mike Consolini	M	M35-39	1	4:07:20	0:24:07	0:04:25	2:14:20	0:01:21	1:23:06	US	
5411ea70-fce3-48f5-9118-b8da026cd6fa	4	Alden Basmajian	M	M40-44	1	4:09:19	0:24:04	0:04:06	2:18:19	0:01:30	1:21:20	US	
b6d69497-4eba-48b2-96bc-d5d5820edada	5	Alexandre Guay	M	M30-34	2	4:09:27	0:23:06	0:03:36	2:21:49	0:01:18	1:19:39	CA	
c243b7a5-4fac-47fd-81c8-f4999f4afe08	6	Yannick Dupuis	M	M18-24	2	4:09:44	0:19:37	0:03:18	2:24:30	0:01:33	1:20:46	CA	
deba6f62-d3b1-4bcb-926a-94400e689215	7	Ryan Davis	M	M30-34	3	4:10:53	0:20:06	0:03:25	2:18:58	0:01:12	1:27:12	US	
03df4151-20bd-47d9-be42-5c7f047a6e02	8	Trey Oehmler	M	M25-29	1	4:12:15	0:19:58	0:03:44	2:24:54	0:01:11	1:22:28	US	
1dd4fce2-c70f-4a22-a65c-98288e7d57a3	9	Evan Oconnor	M	M35-39	2	4:12:32	0:25:24	0:04:04	2:17:56	0:01:51	1:23:17	US	
774ab379-3a63-44cd-9816-5d4cc883cf05	10	Jack Mcgreen	M	M25-29	2	4:13:02	0:23:06	0:03:48	2:17:49	0:01:28	1:26:51	US	
c5aa09ed-5d2f-4076-a433-7214373751fa	11	Robert Ordish	M	M40-44	2	4:13:34	0:23:56	0:04:45	2:20:44	0:01:37	1:22:32	US	
2340a31e-fe28-4f82-8ba3-b2d85ca3bcba	12	William Fortin	M	M35-39	3	4:14:16	0:24:52	0:03:41	2:20:38	0:01:15	1:23:49	CA	
8531cabd-d1e5-4a19-90c8-1e10d8c485fd	13	Lucas Davis	M	M30-34	4	4:15:15	0:24:48	0:04:36	2:24:12	0:01:25	1:20:14	US	
099b4d80-2d87-44ed-ba59-fb2a03c9787b	14	Corentin Provost	M	M30-34	5	4:15:18	0:23:22	0:03:50	2:22:53	0:01:51	1:23:22	CA	
61d03316-ed1a-4616-9f38-52dbfd0a4948	15	Philip Billikopf	M	M35-39	4	4:17:50	0:23:03	0:05:04	2:24:06	0:01:49	1:23:47	usa	
a41c9b73-2555-4487-8cc5-603c8bd3ac27	16	Thomas Fellows	M	M40-44	3	4:18:16	0:25:16	0:04:23	2:22:57	0:01:16	1:24:24	US	
8196b8e5-5c19-4953-9fc8-a30d83f9b1ac	17	Jean-Guillaume Brasier	M	M25-29	3	4:18:45	0:23:49	0:04:13	2:21:07	0:01:32	1:28:04		
d94c458b-80c2-467d-94aa-216705b123e7	18	Devin Seli	M	M18-24	3	4:19:03	0:24:19	0:03:57	2:18:42	0:01:20	1:30:44	US	
29c0716b-03f4-4fdd-9dee-24249b3f3d62	19	Noah Proulx	M	M18-24	4	4:19:10	0:22:41	0:04:48	2:23:14	0:01:44	1:26:44	CA	
aab478a9-69b8-4fb2-a400-0e7173cb9631	20	Jonathan Cauchon	M	M30-34	6	4:19:35	0:23:02	0:03:54	2:21:53	0:01:55	1:28:52	CA	
a2ee3d04-08d9-4a4d-8712-0415f8d048ec	21	Pierre-David Lebel	M	M25-29	4	4:19:36	0:22:02	0:04:17	2:22:45	0:02:17	1:28:15	CA	
dfc51ed0-a905-4540-b736-37cc428b43d4	22	William Martin	M	M40-44	4	4:21:45	0:25:40	0:04:34	2:23:40	0:01:43	1:26:09	US	
9e6c6c79-cd3c-438d-a521-e2b7e9b4d6e5	23	Wesley Mather	M	M30-34	7	4:22:22	0:21:05	0:04:59	2:23:02	0:01:39	1:31:36	US	
3c6325a9-a6ce-4c2f-9ae9-bc483187a2cf	24	Devin Connolly	M	M25-29	5	4:22:39	0:24:12	0:04:18	2:21:11	0:02:11	1:30:46	CAN	
f2ba6c37-ea0f-4ea4-bb3b-263cd9249b23	25	Patrick Guelakis	M	M45-49	1	4:23:28	0:27:44	0:04:30	2:26:01	0:02:11	1:23:01	US	
79d31e4d-cb85-4e44-ae0c-23ff9796155e	26	John Cline	M	M45-49	2	4:23:46	0:22:36	0:03:57	2:26:06	0:01:28	1:29:38	US	
eca2e401-2358-f011-877b-6045bd05f634	27	Justin Torrellas	M	M40-44	5	4:23:55	0:23:39	0:04:49	2:24:24	0:01:24	1:29:40		
fbc247ea-f12a-4d21-ba4d-412295e68b12	28	Aalam Sulski	M	M18-24	5	4:24:04	0:24:20	0:04:16	2:22:37	0:01:55	1:30:55	US	
8bd02d0b-9482-45ea-a7ed-55f3dae7a087	29	cédéric cataphard	M	M25-29	6	4:24:07	0:26:33	0:05:01	2:27:12	0:01:35	1:23:46	CA	
219047df-3104-491e-b749-03f773d8333b	30	Connor Skarzynski	M	M18-24	6	4:24:10	0:21:29	0:04:58	2:28:57	0:02:11	1:26:34	US	
fd78b6f9-d528-ef11-840a-000d3a348633	31	Félix Nasr	M	M18-24	7	4:24:52	0:25:37	0:04:41	2:30:33	0:01:25	1:22:37	CA	
0fb12743-993d-4250-b234-5dbdf36de426	32	Christian Balmer	M	M30-34	8	4:25:15	0:22:40	0:04:03	2:29:59	0:01:53	1:26:39	US	
1337d4bb-e914-44d5-8495-1ed025eb79b0	33	Sterling Risteen 3	M	M25-29	7	4:25:19	0:22:23	0:04:40	2:28:17	0:01:28	1:28:31	US	
3d59e8db-1296-4cc2-b3f1-541ce01fbfe5	34	Lawrence Merrill	M	M30-34	9	4:25:26	0:21:49	0:05:09	2:31:16	0:01:41	1:25:31	US	
f7d3796e-db6c-425f-88c8-5072cff1b2fa	35	Christian Finlay	M	M18-24	8	4:25:43	0:22:01	0:05:05	2:30:23	0:02:25	1:25:49	US	
53be15e9-fbda-41e0-98a7-05a10e3953ca	36	Daniel Royce	M	M40-44	6	4:26:14	0:21:18	0:04:20	2:24:21	0:02:40	1:33:34	US	
c5950d10-c6e0-4ddd-94e7-c46058c9f119	37	Charles Buisson	M	M25-29	8	4:26:51	0:26:15	0:04:55	2:24:31	0:01:40	1:29:30	CA	
872157aa-beaa-4e69-ad53-518dfb09f1a7	38	Luis Felipe Martinez	M	M30-34	10	4:27:07	0:27:52	0:05:30	2:27:31	0:02:11	1:24:02	US	
15a399db-b08d-4a27-a91e-143c115d33dc	39	Marco Cote	M	M55-59	1	4:27:08	0:27:18	0:05:16	2:21:28	0:02:33	1:30:34	CA	
d6fac904-18d1-48d0-b525-94efa630c4e9	40	Tim Biliouris	M	M30-34	11	4:27:22	0:23:17	0:03:57	2:30:47	0:01:43	1:27:39	USA	
698446c9-11be-456f-9893-bdd8304b5a5b	41	Baptiste Guez	M	M30-34	12	4:27:31	0:23:20	0:04:13	2:27:39	0:01:55	1:30:23	CA	
8448fc2c-2f0b-411d-9d53-2dfb045a2b2e	42	Timothy Mulligan	M	M40-44	7	4:27:48	0:24:28	0:05:08	2:27:34	0:01:52	1:28:45	US	
57eb9437-3134-4750-9bba-fe659b27034f	43	Nicolas Nantais	M	M25-29	9	4:28:06	0:24:13	0:05:06	2:28:05	0:01:39	1:29:04	CA	
538ed62d-c789-4da6-9907-6fc2fc0e3593	44	Ariel Aponte	M	M45-49	3	4:28:18	0:25:21	0:04:06	2:29:50	0:01:38	1:27:23	US	
db65033f-3ae7-4eac-b1df-61f45a0464f4	45	David Reyes	M	M35-39	5	4:28:24	0:24:33	0:05:30	2:29:40	0:01:59	1:26:43	US	
c31c66f3-e6e9-46d6-b73c-1b9221ac86ce	46	Stephen Yang	M	M25-29	10	4:28:29	0:21:33	0:04:53	2:29:23	0:01:46	1:30:54	US	
5f2b0f6d-40b2-4917-a1e6-2b011305ab87	47	Jon Moher	M	M50-54	1	4:28:30	0:26:12	0:05:23	2:24:20	0:02:02	1:30:33	CA	
8e4f0594-c2a4-ed11-aad1-000d3a314329	48	Rich Carelli	M	M35-39	6	4:29:39	0:24:38	0:04:50	2:26:01	0:01:38	1:32:33	US	
d698a457-4e64-49be-be24-e080ea96d4fc	49	Nathan Poland	M	M40-44	8	4:30:04	0:23:38	0:04:21	2:32:16	0:02:01	1:27:47	US	
f06ccd14-e241-498a-8c97-1c8c64131336	50	Taylor Rogers	M	M40-44	9	4:30:28	0:24:58	0:04:15	2:31:51	0:02:04	1:27:20	GB	
0c72c691-8753-45a3-94f9-6612d757e3b2	51	Bruno Pereira Poleto	M	M30-34	13	4:30:58	0:25:53	0:05:27	2:25:16	0:01:54	1:32:28	US	
b1ed289f-2b66-43df-b1a0-425a2366ee24	52	Sebastien Binette Bertrand	M	M35-39	7	4:31:06	0:24:53	0:04:52	2:27:48	0:02:21	1:31:11	CA	
ea290ae8-3efb-ec11-82e5-002248080c2c	53	Benjamin Boulet-Dupuis	M	M30-34	14	4:31:23	0:24:14	0:05:41	2:33:25	0:02:24	1:25:39	CA	
41e3fd90-4407-ef11-9f89-6045bd00e0b7	54	Gabriel Bélanger	M	M25-29	11	4:31:28	0:25:21	0:04:47	2:21:14	0:01:30	1:38:36	CA	
7e537e55-4940-4769-a040-32bee676e94e	55	Eric Wheeler	M	M45-49	4	4:31:42	0:26:11	0:05:03	2:30:05	0:01:54	1:28:29	US	
2b46124a-76d3-4d7f-887c-6f176c7bf047	56	Ryan Jones	M	M25-29	12	4:32:04	0:23:54	0:06:05	2:25:03	0:02:53	1:34:10	CA	
d40fbd6e-3197-ef11-8a6a-000d3a5a1803	57	Pierre-Olivier Dussault	M	M25-29	13	4:32:29	0:27:12	0:05:41	2:29:20	0:02:28	1:27:49	CA	
6e4023c7-7bcf-ef11-b8e9-002248049fdc	58	Ryan MacDonald	M	M18-24	9	4:33:00	0:23:19	0:05:36	2:31:00	0:04:26	1:28:38	CA	
4a69990e-faa3-4247-8774-4534edbfbeef	59	Nick Newman	M	M25-29	14	4:33:04	0:24:53	0:05:07	2:24:50	0:01:33	1:36:39	usa	
43f44f3f-bcf2-ea11-a815-000d3a5a1cf8	60	Nate Jbara	M	M25-29	15	4:33:04	0:23:39	0:05:32	2:32:38	0:03:08	1:28:07	US	
