ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
ada3d88a-1550-462a-84f8-5ca2670c272e	1	Marten Van Riel	M	MPRO	1	4:01:48	0:23:12	0:03:15	2:19:07	0:03:17	1:12:56	BE	
fe4774a6-6d2e-4912-a997-d834306fbd07	2	Michele Bortolamedi	M	MPRO	2	4:04:47	0:23:06	0:02:56	2:23:12	0:03:14	1:12:18	Italy	
245b6099-6773-46ff-b132-fc3fcab2d45e	3	Jens Emil Sloth Nielsen	M	MPRO	3	4:06:01	0:27:05	0:03:26	2:23:39	0:02:55	1:08:56	DK	
ef682f20-f355-4425-80b9-5d59d29f4852	4	Jon Saeveras Breivold	M	MPRO	4	4:06:13	0:27:22	0:03:14	2:22:23	0:03:22	1:09:51	NO	
5c800345-cb77-41da-bdd8-c19cc95d0008	5	Vicente Hernandez Cabrera	M	MPRO	5	4:07:57	0:23:13	0:03:12	2:25:12	0:03:11	1:13:09	ES	
232ffb46-e433-ef11-840a-00224809fd7c	6	Itamar Eshed	M	MPRO	6	4:08:50	0:24:18	0:03:31	2:23:53	0:03:51	1:13:16	IL	
4b7c941f-a500-4355-a3e4-6a0863a2ccca	7	Michiel Stockman	M	MPRO	7	4:09:04	0:29:17	0:03:36	2:21:25	0:03:00	1:11:47	BE	
fafe57ea-2b4a-4a9e-a01e-a02886554a27	8	Valdemar Solok	M	MPRO	8	4:09:05	0:23:16	0:03:12	2:24:55	0:03:30	1:14:11		
c0f33967-a0a5-49c6-b6f4-0ca55aeee33a	9	Sven Thalmann	M	MPRO	9	4:09:43	0:23:08	0:03:08	2:23:24	0:03:37	1:16:26	Switzerland	
e91603c1-51f8-4074-b4d6-dc6788f227b9	10	Luis Knabl	M	MPRO	10	4:11:01	0:23:13	0:03:19	2:28:21	0:03:33	1:12:35	AT	
553cd559-6cc8-4a17-85fb-78c924e6e517	11	Michele Sarzilla	M	MPRO	11	4:11:50	0:23:17	0:03:00	2:28:32	0:03:18	1:13:43	IT	
ceccf323-025b-ee11-be6f-000d3a314be4	12	Quentin Barreau	M	MPRO	12	4:12:22	0:23:20	0:03:11	2:28:20	0:03:55	1:13:37	France	
db64a38f-8ae6-47fe-bafd-bd7d7e845d9b	13	David Breinlinger	M	MPRO	13	4:13:13	0:23:17	0:03:17	2:23:04	0:03:30	1:20:04	DE	
115bd6d7-5449-4872-8a68-f160ba8a73e1	14	Pierre Ruffaut	M	MPRO	14	4:14:06	0:29:14	0:03:29	2:23:29	0:03:29	1:14:25	FR	
2d494996-c3ae-43fb-b4db-08cbc9799f52	15	Damien Le Mesnager	M	MPRO	15	4:15:39	0:25:29	0:03:25	2:22:52	0:03:35	1:20:18	France	
3c6c490e-bdd1-46d7-8028-b626b9431edf	16	Louis Richard	M	MPRO	16	4:15:56	0:35:50	0:04:02	2:22:46	0:03:29	1:09:50	FR	
478c0aad-ec00-42c8-93c2-fb70178c30ab	17	Simon Davis	M	MPRO	17	4:16:18	0:26:19	0:03:18	2:26:42	0:03:23	1:16:35	United Kingdom	
898ff7cb-fa77-45c7-9c6b-e363b93cf87d	18	Julen Lopetegui Garcia	M	MPRO	18	4:18:05	0:27:25	0:03:15	2:25:37	0:03:28	1:18:20	ES	
3dc39e0f-7132-4279-b382-35d4ea48881d	19	Thomas Huwiler	M	MPRO	19	4:18:08	0:29:30	0:03:20	2:28:08	0:03:16	1:13:54	CH	
80c9562f-9144-409d-bf36-00018cf4c4c5	20	Lachlan Haycock	M	MPRO	20	4:18:58	0:23:10	0:03:34	2:29:30	0:03:17	1:19:25	NZ	
7369561b-4145-44a7-966d-88edc8a4bf19	21	Tommaso Paoletti	M	MPRO	21	4:19:26	0:24:47	0:04:12	2:28:10	0:03:34	1:18:43	IT	
1cdad04f-5e8c-4cb1-ba23-45b597e9d617	22	Jari Claes	M	MPRO	22	4:20:31	0:25:25	0:03:33	2:27:34	0:03:49	1:20:10	CH	
19ed9030-401b-4c83-af8d-a32a40ea1bfe	23	Vincent Clavel	M	MPRO	23	4:20:46	0:25:30	0:03:27	2:29:15	0:04:23	1:18:11	FR	
dd9a577e-ab33-4077-9c89-16df004fc255	24	Magnus Männer	M	MPRO	24	4:21:06	0:23:14	0:03:29	2:29:52	0:05:06	1:19:25	Germany	
059e90c8-67bf-4c02-b06d-e9d0bbd1e567	25	Romain Aymon	M	MPRO	25	4:21:57	0:25:39	0:03:18	2:27:19	0:03:39	1:22:01	FR	
c7bf7c21-9405-4845-a3b8-c7b6e3e6a258	26	Erwan Jacobi	M	MPRO	26	4:22:39	0:25:22	0:03:29	2:30:14	0:03:46	1:19:48	FR	
2395e085-1277-4a1e-b038-483b6a381a78	27	Leon Chevalier	M	MPRO	27	4:22:47	0:25:37	0:03:09	2:24:00	0:03:17	1:26:44	GB	
6ca39dbc-41af-4652-a3cd-84167f6de589	28	Gonzalo Fuentes	M	MPRO	28	4:24:29	0:29:27	0:03:29	2:34:30	0:03:41	1:13:22	ES	
dd20bfb8-820b-4d90-9dd8-a755349df87f	29	Paulin Philippe	M	MPRO	29	4:24:47	0:24:19	0:03:23	2:33:52	0:03:23	1:19:49	FR	
18203034-d25a-492d-a43a-39286cdb45a3	30	Lorenzo Delco	M	MPRO	30	4:26:06	0:29:21	0:03:34	2:33:16	0:04:02	1:15:53	CH	
3757bc2a-dd4b-4fae-a360-aa9fb5e2297c	31	Thibault Colard	M	MPRO	31	4:27:41	0:25:18	0:03:34	2:30:14	0:03:42	1:24:52	FR	
11852042-fe8b-4421-878a-1febaf05c98e	32	Silas Plambæk	M	MPRO	32	4:27:55	0:27:00	0:03:22	2:39:47	0:03:26	1:14:18	DK	
fbd3ee57-984b-416a-b794-518b087b79d6	33	Ivan Cappelli	M	MPRO	33	4:28:04	0:25:14	0:03:33	2:40:46	0:04:01	1:14:30	ITA	
63f5197e-dc87-ef11-ac21-000d3a5a1803	34	Antoine Michon	M	M25-29	1	4:28:53	0:27:59	0:04:07	2:39:24	0:03:42	1:13:41	FR	
b403b3b0-231c-47a6-9812-d943ddc7a07a	35	Maxime Rivron	M	MPRO	34	4:30:16	0:29:31	0:04:12	2:36:26	0:03:31	1:16:36	FR	
4e5060d0-ceab-4df9-9ea4-4666f04ab554	36	Greg Van Avermaet	M	M40-44	1	4:30:39	0:33:25	0:05:25	2:24:33	0:04:09	1:23:07	BE	
5e513e08-4a58-457e-9af0-5004cbfad158	37	Clovis Beurrier	M	M30-34	1	4:31:20	0:30:34	0:04:08	2:37:07	0:03:56	1:15:35	France	
e6e25d2d-cbf5-4535-9ca3-961a19090c18	38	Samuel Böttinger	M	MPRO	35	4:32:47	0:27:03	0:03:32	2:30:57	0:04:03	1:27:13		
e073221b-1b9a-4097-8ce0-496e15a046ef	39	David Marchaud	M	M25-29	2	4:33:12	0:31:50	0:04:30	2:35:44	0:03:23	1:17:45	FR	
8a411240-7af6-4367-ac23-52aba7e831b0	40	Maxim Chané	M	MPRO	36	4:33:18	0:24:20	0:03:31	2:31:11	0:03:22	1:30:54	FR	
347b89bb-cede-41fc-ac71-43a5359cb20f	41	Niklas Ludwig	M	MPRO	37	4:34:21	0:24:47	0:03:08	2:33:38	0:03:35	1:29:14	DE	
1b08e986-216b-f011-bec3-6045bd05f634	42	Cosme ROBERT PUGLIESI-CONTI	M	M25-29	3	4:34:54	0:27:06	0:03:29	2:39:27	0:03:35	1:21:16		
24ce1427-af90-428d-8ae4-ec6967978bff	43	Pierre Stieremans	M	MPRO	38	4:34:57	0:27:06	0:03:46	2:40:22	0:03:49	1:19:55	FR	
ecb7264d-0710-4696-bb3f-a36e1ccd0a00	44	Matthieu Wider	M	M35-39	1	4:35:05	0:29:18	0:03:49	2:38:24	0:04:13	1:19:21	CH	
beb95262-9c3b-49b5-8de8-fded6633408f	45	Sébastien Escola	M	M40-44	2	4:37:34	0:31:51	0:04:03	2:38:28	0:03:49	1:19:23	FR	
87ffbc58-e383-46dd-a22b-8b6a0adfba71	46	Alban Bofelli	M	M25-29	4	4:37:45	0:27:59	0:03:36	2:37:35	0:03:40	1:24:55	FR	
25323df4-e4ad-4889-86d1-150ce9c4db30	47	Aurélio Gauthier	M	M25-29	5	4:38:12	0:29:43	0:03:31	2:42:26	0:04:04	1:18:28	FR	
e9a11443-753d-f011-b4cc-6045bd05fcc1	48	Hadrien Baritaux	M	MPRO	39	4:38:53	0:25:25	0:03:25	2:30:19	0:03:53	1:35:51	FR	
d0806a29-b574-490b-bf2a-1b4774ae0eb2	49	Drake Deuel	M	MPRO	40	4:38:59	0:35:47	0:04:14	2:26:14	0:04:00	1:28:44	FR	
3f6e2002-ef5f-4303-a68c-5e7e5a428f60	50	Simon Fischer	M	M25-29	6	4:39:37	0:31:09	0:04:14	2:40:41	0:04:15	1:19:19	FR	
535336d8-837e-424e-9230-ca1c39ea3f1e	51	Jess Learmonth	F	FPRO	1	4:39:54	0:24:31	0:03:33	2:42:57	0:03:47	1:25:05	GB	
e644da30-3854-472e-971c-2107d779b7c6	52	François Romain-Laroche	M	M25-29	7	4:41:02	0:27:00	0:05:07	2:42:40	0:04:00	1:22:14	FR	
9db0a16f-352c-eb11-a813-00224808bb10	53	Maxime Martelozzo	M	M25-29	8	4:41:29	0:30:42	0:04:04	2:35:13	0:04:12	1:27:17	FR	
efd0e90e-4d1b-ea11-a811-000d3a5a1cf8	54	Hugo Belloir	M	M30-34	2	4:41:52	0:31:54	0:04:22	2:39:23	0:03:58	1:22:15	FR	
