ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
4c9e93c7-55fe-4e83-b50d-39d7c74b894d	1	Cole Kynoch	M	M30-34	1	3:58:25	0:26:59	0:01:56	2:04:29	0:01:29	1:23:32	US	
67c7e4d1-f572-ef11-a670-000d3a308d97	2	Emmanuel Iodice	M	M40-44	1	4:03:27	0:29:52	0:01:56	2:05:28	0:01:32	1:24:39	AR	
5506864b-9146-4463-96fd-30df623e01dd	3	Parker Kerth	M	M25-29	1	4:03:36	0:32:05	0:04:00	2:04:13	0:01:39	1:21:39	US	
f50f88b3-1d31-4ef5-b451-f89a8e7a4a5e	4	Brett Collins	M	M40-44	2	4:05:51	0:26:55	0:02:00	2:11:38	0:02:11	1:23:06	US	
610d3879-8bce-4f63-851e-758d79a25aff	5	Joscar Duque	M	M30-34	2	4:11:06	0:28:24	0:02:18	2:11:33	0:01:59	1:26:51	US	
7dcd0416-d384-4ad4-a43b-0d7593ec9a48	6	Andrew Smock	M	M18-24	1	4:13:40	0:27:47	0:03:22	2:14:45	0:01:30	1:26:16	US	
7d01b9bb-767f-4dd9-82c3-c5c9b3c2e9c6	7	Jason Ream	M	M40-44	3	4:14:08	0:31:59	0:02:37	2:11:56	0:01:17	1:26:19	US	
d4628fb9-ff6d-4b47-a83b-166a3d28a87f	8	Andy Kruth	M	M35-39	1	4:14:19	0:33:31	0:02:17	2:11:13	0:01:02	1:26:16	US	
5610a873-6835-440b-b3f7-6613bd807a7b	9	Landon Dinkel	M	M18-24	2	4:15:11	0:36:34	0:02:10	2:17:05	0:01:34	1:17:49	US	
341519cf-d1de-4cde-9ad0-f654154b7db2	10	Brad Radkoski	M	M40-44	4	4:16:02	0:35:52	0:03:09	2:12:18	0:01:22	1:23:21	US	
38c4fd05-a6d3-4535-9b21-50bc4f96125c	11	Austin Henry	M	M25-29	2	4:17:17	0:27:46	0:03:07	2:20:57	0:01:36	1:23:52	US	
43adb09c-7d18-40bb-918e-7bec91b5b75a	12	Johnny Delbalso	M	M35-39	2	4:17:31	0:39:54	0:02:06	2:05:59	0:01:18	1:28:14	US	
0f7b33e0-78bb-4257-bbff-ab6983387d74	13	Joshua Fritz	M	M25-29	3	4:19:13	0:28:17	0:03:10	2:15:10	0:01:25	1:31:11	US	
ae1d5fa8-754f-44f6-b9eb-104f36a6bf7c	14	Charles Schafer	M	M25-29	4	4:19:52	0:34:55	0:03:08	2:14:08	0:01:22	1:26:19	US	
72bb2566-c38b-4891-a415-32df687c889a	15	Nicholas Modrzejewski	M	M40-44	5	4:20:39	0:30:41	0:02:12	2:16:54	0:02:28	1:28:25	US	
648b9d2f-429b-4a44-9a5e-478cbc079558	16	Kenton Colvin	M	M25-29	5	4:24:54	0:38:39	0:02:50	2:19:27	0:01:24	1:22:33	US	
3d4248ba-1da6-4584-85b3-baab59f612ae	17	Connor Clare	M	M25-29	6	4:25:03	0:26:59	0:02:48	2:21:40	0:02:40	1:30:55	US	
678a294c-5ea3-410e-9b42-0be7b2e3c5df	18	Riley Rosado	M	M25-29	7	4:25:56	0:34:21	0:02:54	2:12:06	0:02:04	1:34:31	US	
66c637fe-5958-48f6-84b5-4fef2f7188f1	19	Ryan Karr	M	M30-34	3	4:28:11	0:38:13	0:02:58	2:16:32	0:01:55	1:28:33	US	
0161e244-e399-4af4-94f2-7d3f795746c5	20	Luch Rodriguez Abella	M	M40-44	6	4:28:45	0:32:15	0:02:39	2:24:04	0:01:35	1:28:12	US	
324bd0a4-284c-4691-89d3-869e3af3a5b6	21	Owen Venesky	M	M30-34	4	4:28:50	0:35:45	0:03:11	2:24:52	0:02:08	1:22:54	US	
c8050318-b2a0-4909-955b-a649af950928	22	Travis Keane	M	M50-54	1	4:29:29	0:31:56	0:03:02	2:17:16	0:01:31	1:35:45	US	
30377770-7913-ee11-8f6e-000d3a31406e	23	Becca Schulte	F	F25-29	1	4:30:13	0:30:49	0:02:31	2:25:43	0:01:12	1:29:58	US	
7e997231-f49f-4ade-971c-44ec1e709d90	24	Mauro Sparapani	M	M40-44	7	4:30:39	0:40:59	0:02:14	2:16:24	0:01:40	1:29:22	AR	
377de160-cc1e-4278-bacc-435534e6b15a	25	Ryan Lawrence	M	M35-39	3	4:31:21	0:30:37	0:02:32	2:19:55	0:01:58	1:36:19	US	
c8ca5daf-bc2a-492c-bed5-15f0f8e8e805	26	Steven Waites	M	M35-39	4	4:31:38	0:37:44	0:04:15	2:22:35	0:03:25	1:23:40	US	
16026de5-a609-4df2-b949-d683a6c6413b	27	Michael Sneddon	M	M30-34	5	4:31:49	0:28:09	0:02:31	2:19:07	0:01:56	1:40:06	US	
a546bdc7-58ab-4376-b211-c7276ae83b3c	28	Justin Sauder	M	M35-39	5	4:32:25	0:33:39	0:03:07	2:20:04	0:01:33	1:34:02	US	
eb4f3020-a246-40d1-86ff-f93f56bf1ccc	29	Jon Grant	M	M35-39	6	4:32:42	0:37:45	0:02:40	2:09:27	0:01:26	1:41:24	US	
e28f37ad-164a-44b8-a33f-afa2c9e3815f	30	Brett Faro	M	M35-39	7	4:32:51	0:35:56	0:02:41	2:13:26	0:01:50	1:38:58	US	
d75903f3-3382-49b1-b075-56c2d0e8c2b4	31	Michael Olson	M	M35-39	8	4:33:47	0:35:26	0:02:13	2:21:09	0:01:54	1:33:05	US	
5b3807d3-ebf2-ef11-9342-6045bd088264	32	Benjamin Miller	M	M40-44	8	4:33:48	0:37:35	0:02:50	2:18:47	0:01:53	1:32:44	US	
3c17a7a7-4ef7-4771-a4a9-d624e97b23a1	33	Graham Sheppard	M	M40-44	9	4:35:27	0:32:23	0:03:04	2:16:51	0:01:54	1:41:14	US	
5c2072bd-6918-41b7-838e-8621fa6bc522	34	Jonathan Stoffer	M	M40-44	10	4:35:34	0:45:26	0:02:18	2:14:24	0:02:10	1:31:15	US	
24d2bdde-d94e-4bbb-a8ad-00082828b923	35	Derrick Rufer	M	M30-34	6	4:35:39	0:32:05	0:02:40	2:26:23	0:03:17	1:31:14	US	
b3f9f550-50fe-4b6e-8186-a890b70fe569	36	Dane Manning	M	M40-44	11	4:36:38	0:33:16	0:03:05	2:24:38	0:01:54	1:33:45	US	
56710acb-324c-4343-ac7c-ed34c82eefd6	37	Andrew Preston	M	M35-39	9	4:36:53	0:44:36	0:03:41	2:22:29	0:01:58	1:24:09	US	
8bf8b98e-16af-4c1a-bc46-9331d86eb9d5	38	Payne Pachuda	M	M25-29	8	4:37:09	0:28:19	0:02:17	2:16:41	0:01:21	1:48:31	US	
9fe42dab-64cb-4837-af80-56f24cb18522	39	Luke Gorris	M	M18-24	3	4:37:16	0:32:20	0:03:20	2:21:08	0:02:13	1:38:15	US	
12afcff9-9bff-4e21-8204-54abca36e570	40	Adam Walters	M	M25-29	9	4:37:23	0:27:50	0:02:54	2:22:03	0:01:19	1:43:18	US	
31028247-50e1-41d4-9185-c68dc2d40662	41	James Musico	M	M35-39	10	4:37:31	0:35:16	0:03:04	2:25:16	0:01:49	1:32:06	US	
6e10035e-75bc-405a-9969-cb7f2ab937f4	42	Michael Houdek	M	M30-34	7	4:37:40	0:31:19	0:02:33	2:17:05	0:01:33	1:45:09	US	
6c046ea2-e463-f011-bec3-6045bd05f634	43	Mohamed Ahmed	M	M25-29	10	4:38:12	0:35:14	0:06:20	2:13:31	0:03:09	1:39:59		
bb4c5397-9bf0-46dd-b774-14527224afaa	44	Rodolfo Zeledon	M	M40-44	12	4:38:29	0:33:01	0:02:53	2:13:18	0:01:54	1:47:23		
a838cf49-e695-48d7-8630-293300df25f1	45	Joshua Ehrman	M	M30-34	8	4:38:38	0:27:10	0:02:43	2:21:25	0:01:45	1:45:34	US	
0e40c73e-4ad6-4b48-8fdf-e9d5135fdda8	46	Andrew Stewart	M	M35-39	11	4:38:53	0:44:10	0:02:53	2:19:50	0:02:05	1:29:55	US	
84bff814-5e33-f011-8c4e-000d3a5cf7d8	47	William Herwig	M	M18-24	4	4:40:12	0:27:53	0:05:22	2:34:39	0:02:02	1:30:16	US	
f9e0af00-822b-43c7-8837-71192efc86bc	48	J.C. Billone	M	M30-34	9	4:40:32	0:37:06	0:03:05	2:20:04	0:02:07	1:38:11	US	
e96b0aae-2da9-48d3-99c1-bb2d984b468a	49	Shane Dean	M	M30-34	10	4:40:41	0:37:22	0:02:34	2:18:04	0:02:04	1:40:37	US	
f4311519-5c41-4e42-a290-5ebb762c4f51	50	Fergus Washington-Smith	M	M18-24	5	4:40:48	0:37:46	0:03:21	2:20:26	0:01:12	1:38:03	US	
c298d983-3fad-431e-a097-2af54208db0d	51	Jared Swartz	M	M18-24	6	4:40:53	0:39:32	0:03:30	2:33:19	0:02:16	1:22:17	US	
58051d19-8852-45a9-8469-80d5342c0a44	52	Jared Kuehnlein	M	M35-39	12	4:41:15	0:34:28	0:03:47	2:19:49	0:02:00	1:41:11	US	
2677d89f-3b34-42dc-b0a3-066552a2ec39	53	Michael Arra	M	M25-29	11	4:41:26	0:36:15	0:02:18	2:21:18	0:01:58	1:39:37	US	
ad29a105-ca22-44f7-bb9d-a96c940d3eba	54	Brian Suh	M	M30-34	11	4:42:21	0:41:26	0:02:22	2:16:46	0:01:14	1:40:34	US	
e8b49ccb-eea3-4179-b128-85b9ff0585d0	55	Michael Hudock	M	M30-34	12	4:42:34	0:28:52	0:03:15	2:18:09	0:01:53	1:50:26	US	
35178ca0-48be-4480-936f-e41a270cd324	56	Ryan Mcenhill	M	M45-49	1	4:43:34	0:35:10	0:02:01	2:21:34	0:01:40	1:43:09	US	
644cb748-ab53-4e37-8cec-92817aeb17c8	57	Justin Maratea	M	M25-29	12	4:44:47	0:29:27	0:02:47	2:25:48	0:01:41	1:45:05	US	
ed3491f4-c097-4033-82c4-491730b3dedc	58	Erin Castell	F	F25-29	2	4:44:55	0:31:30	0:02:31	2:27:46	0:01:34	1:41:35	CA	
131415c7-0aa0-4a3c-a81c-b49fca956834	59	Ray Reinheimer	M	M40-44	13	4:46:05	0:31:07	0:03:15	2:21:51	0:01:41	1:48:12	USA	
b11be585-c463-ef11-bfe3-000d3a30abde	60	Luke Brothers	M	M18-24	7	4:46:09	0:34:24	0:03:05	2:23:13	0:01:46	1:43:41	USA	
a59369ed-6554-4a47-a983-bd14cd9f50a9	61	Dwayne Smith	M	M55-59	1	4:46:29	0:37:15	0:03:24	2:24:25	0:02:58	1:38:27	USA	
6ed80c13-1605-4b3e-8fc2-f1d81287c086	62	Luke Mccoy	M	M18-24	8	4:46:42	0:43:42	0:02:19	2:25:59	0:01:11	1:33:31	US	
2da7a992-79cd-4f15-a700-c30105ea203c	63	LEONARDO GUIMARAES RODRIGUES	M	M45-49	2	4:46:55	0:37:36	0:02:28	2:28:05	0:01:58	1:36:48	BR	
6ab82494-0027-f011-8c4d-000d3a5cf7d8	64	Noah Buschur	M	M18-24	9	4:47:48	0:47:21	0:03:38	2:34:34	0:04:14	1:18:01	US	
c13aafa8-2d3a-4dee-a764-bac9684b5d38	65	Kayla Edwards	F	F30-34	1	4:47:49	0:30:57	0:02:28	2:25:14	0:01:54	1:47:17	US	
fd960e20-efdd-4b2b-815d-89ff6f64e4b1	66	Breanna Stevens	F	F30-34	2	4:48:05	0:37:43	0:03:05	2:36:42	0:01:08	1:29:28	USA	
4a77a08b-5c01-453a-a83b-e1e1c9d15857	67	Rudy Arn	M	M40-44	14	4:48:15	0:41:59	0:03:29	2:23:38	0:02:07	1:37:02	US	
895cf0ee-4be7-4d04-a43b-6c346a08a9c3	68	Hannah Eastman	F	F25-29	3	4:49:50	0:27:24	0:03:33	2:30:14	0:02:17	1:46:21		
8cb477c6-5786-ea11-a812-000d3a5a1cf8	69	Andrey Sanko	M	M25-29	13	4:51:01	0:43:27	0:02:59	2:36:58	0:02:11	1:25:26	USA	
96818044-801b-4e22-a36b-3fef789dcef5	70	Jennifer Simmerman	F	F40-44	1	4:51:12	0:41:04	0:02:40	2:33:58	0:01:41	1:31:50	US	
21f03a5c-a846-47bc-81ac-b2ddda2ec930	71	Kaden Seredick	M	M18-24	10	4:52:06	0:40:48	0:03:02	2:27:07	0:01:43	1:39:27	US	
ca554cfb-ab40-4016-88ed-6b1e8fed9a74	72	Bradley Mullins	M	M30-34	13	4:52:43	0:34:36	0:02:24	2:34:54	0:01:59	1:38:50	US	
dbace952-dd4f-4c14-abae-90845e1ab36b	73	Benjamin Borvendeg	M	M18-24	11	4:52:44	0:28:57	0:04:24	2:31:00	0:01:55	1:46:28	US	
8455135e-5338-4ff1-ad0f-4795b1891fed	74	Dirk Pauley	M	M55-59	2	4:52:47	0:34:11	0:02:51	2:24:13	0:02:18	1:49:15	US	
f1233302-d645-42a7-8103-7438e8be98a3	75	Stephane Denoual	M	M45-49	3	4:52:47	0:51:04	0:03:44	2:22:52	0:02:07	1:33:00	US	
67d1a1c7-d287-47de-af0a-9139051cc652	76	David Stekla	M	M30-34	14	4:52:54	0:35:37	0:02:49	2:31:27	0:02:11	1:40:50	US	
30378596-2b5f-eb11-a812-0022480a53b1	77	Matthew Schaefer	M	M40-44	15	4:53:12	0:29:14	0:02:28	2:40:42	0:01:35	1:39:13	US	
8ca75beb-2a61-f011-bec2-000d3a5b7c3b	78	John Spencer		M25-29	14	4:53:12	0:28:14	0:03:40	2:30:39	0:02:24	1:48:15	US	
752830e2-e41c-ea11-a811-000d3a5a1bfb	79	Lucas Seebeck	M	M35-39	13	4:53:22	0:31:25	0:03:37	2:28:38	0:01:53	1:47:49	US	
df87a664-7547-46c9-ad7c-a55c21edd2d8	80	Barry Young	M	M55-59	3	4:53:23	0:42:07	0:04:45	2:23:06	0:02:19	1:41:07	US	
550bb1c1-6db7-472b-8caa-3bb120f0cce3	81	Josh Treter	M	M45-49	4	4:54:05	0:32:25	0:03:05	2:21:33	0:02:10	1:54:51	US	
a46dd10f-cfdf-42a5-b7e1-b7ca7e1087bb	82	David Wismer	M	M55-59	4	4:54:25	0:41:32	0:03:27	2:24:09	0:02:29	1:42:48	CA	
3eb8e85d-429e-4482-bb1f-6b72a1bcc110	83	Alex Dietz	M	M35-39	14	4:54:27	0:37:45	0:02:48	2:27:52	0:01:20	1:44:42	US	
b91a33f5-6678-494c-a8d8-2743e6344275	84	Willy Larreal	M	M40-44	16	4:54:58	0:37:12	0:03:28	2:21:32	0:01:55	1:50:52	US	
16d606b6-946f-445a-be35-81ee70286698	85	Peter Allemann	M	M35-39	15	4:56:15	0:39:57	0:03:09	2:29:57	0:01:56	1:41:16	US	
