Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Evgeny Tikhonin	M	M25-29	1	3:58:42	0:28:17	2:03:07	1:22:24
2	William Davey	M	M30-34	1	3:59:24	0:26:20	2:11:11	1:17:13
3	Ryan Christian	M	M35-39	1	4:00:03	0:25:41	2:07:56	1:22:07
4	Quentin Amaral	M	M25-29	2	4:00:23	0:27:29	2:10:40	1:17:36
5	Bryan Van Rutten	M	M30-34	2	4:01:03	0:26:32	2:06:45	1:23:03
6	Emmanuel Iodice	M	M40-44	1	4:01:55	0:27:36	2:10:48	1:19:11
7	Rayan Alkhuwaiter	M	M35-39	2	4:05:00	0:29:07	2:07:38	1:23:30
8	Hamad Alkhaldi	M	M25-29	3	4:07:10	0:27:26	2:17:15	1:16:53
9	Oliver Lockyer	M	M30-34	3	4:09:02	0:29:24	2:13:00	1:21:20
10	Gerhard De Bruin	M	M40-44	2	4:09:18	0:27:33	2:10:49	1:26:12
11	Paul Lunn	M	M50-54	1	4:11:56	0:30:25	2:13:49	1:22:48
12	David Hynes	M	M40-44	3	4:14:21	0:26:14	2:07:24	1:36:10
13	Robbie Kerremans	M	M25-29	4	4:14:55	0:29:16	2:18:19	1:21:50
14	Ross Harper	M	M35-39	3	4:16:27	0:28:51	2:16:24	1:27:10
15	Xavier Pottier	M	M35-39	4	4:16:53	0:32:16	2:19:55	1:20:51
16	Michael Morris	M	M50-54	2	4:17:31	0:32:10	2:14:26	1:25:28
17	Matthew Whitehead	M	M18-24	1	4:18:19	0:26:46	2:14:42	1:31:45
18	Yevhen Slavniy	M	M40-44	4	4:19:26	0:27:21	2:17:05	1:29:20
19	Daniel Lanigan	M	M40-44	5	4:19:28	0:33:00	2:14:03	1:27:04
20	phil Whitehead	M	M45-49	1	4:19:37	0:30:22	2:17:10	1:25:11
21	Navid Salimipour Naghani	M	M35-39	5	4:20:07	0:30:07	2:22:51	1:22:04
22	Gilles Gilles Ghoussoub	M	M40-44	6	4:20:54	0:30:55	2:16:41	1:27:18
23	Ralf Preissl	M	M45-49	2	4:21:46	0:29:22	2:16:10	1:31:19
24	Caitlin Brown	F	M35-39	6	4:21:51	0:29:52	2:20:17	1:24:21
25	Patryk Bielik	M	M35-39	7	4:22:04	0:32:17	2:20:58	1:23:47
26	Mihai Vigariu	M	M40-44	7	4:23:44	0:31:56	2:16:42	1:30:31
27	Robert Pirnbacher	M	M50-54	3	4:23:49	0:29:49	2:19:19	1:27:25
28	Joel Walker	M	M30-34	4	4:24:03	0:31:37	2:18:13	1:27:30
29	Abdulla Almuftah	M	M25-29	5	4:24:23	0:34:33	2:20:15	1:24:03
30	Roberto Pietta	M	M35-39	8	4:25:17	0:31:48	2:19:05	1:28:45
31	Przemyslaw Szuder	M	M45-49	3	4:25:45	0:30:15	2:18:26	1:32:00
32	Alexey Oreshin	M	M40-44	8	4:25:55	0:31:43	2:14:00	1:35:47
33	Ronald Rizk	M	M45-49	4	4:26:05	0:30:56	2:22:53	1:26:22
34	Andrew Archibald	M	M35-39	9	4:26:27	0:29:32	2:21:37	1:30:24
35	Rico Hasler	M	M35-39	10	4:26:50	0:31:23	2:17:51	1:32:17
36	Ruslan Yasynetskyi	M	M35-39	11	4:27:09	0:34:34	2:19:05	1:25:55
37	Jose Mompo	M	M35-39	12	4:27:12	0:30:15	2:22:28	1:27:17
38	Simon Wood	M	M55-59	1	4:27:38	0:27:45	2:22:47	1:31:04
39	Mimi Carlton	F	F30-34	1	4:28:39	0:31:42	2:23:01	1:29:02
40	Youssef Badri	F	M40-44	9	4:28:49	0:32:09	2:21:05	1:27:59
41	Alexey Bukleev	M	M50-54	4	4:29:01	0:31:56	2:22:32	1:29:22
42	Luis Silva	M	M35-39	13	4:29:09	0:25:38	2:25:11	1:33:24
43	Stephen Anderson	M	M50-54	5	4:29:11	0:34:07	2:19:39	1:27:48
44	Mubarak Aljumah	M	M40-44	10	4:29:26	0:35:58	2:22:40	1:24:35
45	Thomas Goetz	M	M50-54	6	4:30:08	0:30:46	2:23:23	1:28:41
