ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
877c46e7-994b-ef11-a317-000d3a367177	1	Zane Moore	M	M18-24	1	3:59:17	0:18:24	0:03:36	2:10:15	0:02:22	1:24:39		
ff1a1154-ba9d-4c08-a24d-fa80fd9987e1	2	Ian Hildebrandt	M	M30-34	1	4:01:24	0:18:22	0:04:02	2:20:13	0:01:28	1:17:18	US	
60fabfa5-1638-4af7-b0b2-1e42152e6de9	3	Emmanuel Lopez	M	M40-44	1	4:01:46	0:19:52	0:04:22	2:17:46	0:01:50	1:17:56	USA	
ffdf00db-2d3b-4602-8cce-2864f972c5fd	4	Kevin Le	M	M25-29	1	4:04:40	0:18:27	0:04:11	2:15:25	0:02:20	1:24:16	US	
0522ddf6-a71c-44cf-89d0-25a9e51064fc	5	Sean Obrien	M	M35-39	1	4:07:01	0:19:17	0:04:22	2:18:39	0:01:48	1:22:55	US	
ea1a1fa2-cd54-408a-8d91-89912cba2d1e	6	Jessi Costen	M	M50-54	1	4:07:17	0:19:22	0:04:29	2:17:36	0:02:01	1:23:48	usa	
4a06aa24-6759-4382-b259-6a99fa6e7489	7	Kevin Ahl	M	M25-29	2	4:07:29	0:17:38	0:04:24	2:20:10	0:02:08	1:23:10	CA	
e2dc7549-5c7d-4675-938f-4ba95155e564	8	Steven Crane	M	M40-44	2	4:08:40	0:20:49	0:05:04	2:16:50	0:02:17	1:23:39	USA	
7b20b2b4-5402-48a6-b036-92f1d7645036	9	Brett Mcphedran	M	M40-44	3	4:08:58	0:19:40	0:04:23	2:17:56	0:02:24	1:24:35		
b8e587e3-b3e4-4967-ad65-e23ea5fe6168	10	Mike Neill	M	M50-54	2	4:11:17	0:19:18	0:03:57	2:20:32	0:02:45	1:24:46		
60d50017-15bb-ed11-83ff-000d3a314329	11	Guillaume Cotreau	M	M25-29	3	4:11:20	0:20:26	0:05:14	2:15:55	0:02:03	1:27:42	usa	
f65a7c2b-9498-40a6-8b17-4aed60b68510	12	Marley Beckett	F	F25-29	1	4:11:26	0:18:33	0:04:21	2:21:47	0:02:19	1:24:26	CA	
795f027c-268a-472a-bcf8-948c5dc6e722	13	Alex Northey	M	M30-34	2	4:12:09	0:19:15	0:04:39	2:14:17	0:03:14	1:30:43	can	
006f878a-c606-4ad8-90a8-b2af0ef569d7	14	Ivan Fernandez	M	M30-34	3	4:12:39	0:20:05	0:04:33	2:19:03	0:02:25	1:26:33		
ac3426b6-6a0b-4450-bb6e-b6b38b56c20a	15	Jeffrey Crawford	M	M40-44	4	4:13:06	0:20:33	0:04:48	2:18:48	0:03:09	1:25:49	US	
c73196c2-078d-447e-a730-b62bb6d142b3	16	Reinaldo Freitas	M	M40-44	5	4:13:31	0:19:36	0:04:28	2:20:17	0:02:48	1:26:21	US	
88f86045-abce-4b66-a7f1-c1677a5ac359	17	Will Kelsey	M	M30-34	4	4:13:54	0:19:33	0:04:34	2:19:28	0:02:37	1:27:43	US	
a5b0577c-6fa2-426a-9457-fc95fa66dd3c	18	Brenton Wood	M	M35-39	2	4:14:21	0:23:54	0:05:05	2:14:33	0:02:39	1:28:09		
2e7cd91f-416a-ef11-bfe3-000d3a371e3b	19	Ahmet Gokcek	M	M55-59	1	4:14:37	0:19:15	0:04:35	2:15:56	0:02:15	1:32:36		
bd182399-5b5a-45e4-80fc-2634e2a47a13	20	Jacob Downey	M	M25-29	4	4:15:33	0:20:17	0:05:10	2:12:24	0:02:51	1:34:50	US	
f2fcbaf0-95b2-4414-8bbd-19b30c9cd8ab	21	Matthew Szymaszek	M	M40-44	6	4:15:40	0:21:26	0:05:03	2:19:53	0:02:09	1:27:09		
51b2feae-df97-4159-a52d-cd443df31456	22	Jason Hollander	M	M50-54	3	4:16:11	0:19:35	0:04:58	2:19:29	0:04:26	1:27:43	US	
9af2e994-fe53-4eb1-9093-4fdc5bbe9882	23	Alina Hanschke	F	F40-44	1	4:16:28	0:19:01	0:04:15	2:27:42	0:02:19	1:23:10	MX	
82739637-7c91-4703-afbd-535c8309c3ac	24	Matt Lundy	M	M40-44	7	4:16:43	0:21:17	0:04:42	2:18:29	0:04:20	1:27:56	US	
63b72bf2-9f1d-4546-a202-ea21838e4f96	25	Eric Spehlmann	M	M25-29	5	4:16:46	0:21:20	0:04:38	2:19:22	0:02:10	1:29:16	US	
db6e6678-79fc-44b2-9d82-04739f5b6ec2	26	Reid Sund	M	M35-39	3	4:16:55	0:18:56	0:04:35	2:19:21	0:02:21	1:31:41	USA	
f1a68228-1dbc-419c-b1b7-3b1eba76d37d	27	John Hill	M	M40-44	8	4:17:51	0:20:42	0:05:20	2:20:21	0:02:20	1:29:08	US	
38260556-98cb-43da-9094-fe617915a09d	28	David Cook	M	M50-54	4	4:17:53	0:19:18	0:05:35	2:22:18	0:02:54	1:27:49	US	
64b97f8b-bb1b-4ea4-bc20-0a837ed57a05	29	Josh Hanley	M	M35-39	4	4:18:07	0:19:14	0:05:47	2:20:48	0:02:34	1:29:44	USA	
cb7490a6-3f23-42bb-980b-0492dca584e3	30	David Mayhew	M	M40-44	9	4:18:19	0:21:27	0:05:58	2:09:14	0:04:04	1:37:36	USA	
75c08e5d-6b02-45d6-bcdb-136532877ca1	31	Paul Schleyer	M	M50-54	5	4:18:27	0:21:09	0:04:33	2:23:25	0:02:29	1:26:51	USA	
5c9793a1-6010-421b-868a-7729e34076ba	32	Brent Cyr	M	M50-54	6	4:19:01	0:19:53	0:05:00	2:24:27	0:03:06	1:26:35	CA	
a8c3cba2-b403-43ef-9fd8-c26d2c3bcf75	33	Justin Marzean	M	M35-39	5	4:19:35	0:20:08	0:06:10	2:20:42	0:03:45	1:28:50	US	
35058c84-2dd0-4a83-91a5-04c45f4ff498	34	Brian Bollwitt	M	M35-39	6	4:19:45	0:22:20	0:05:27	2:23:43	0:02:10	1:26:04	US	
18d9a323-cbf6-4274-930a-c6b171e0e72c	35	Michael Bumgardner	M	M30-34	5	4:19:54	0:20:05	0:04:27	2:19:55	0:02:28	1:33:00		
442f9c75-b75c-4e70-9f0d-4789f0564424	36	Deepak Nagendra	M	M40-44	10	4:19:57	0:18:36	0:05:27	2:26:04	0:02:35	1:27:14	US	
184c550c-7d7c-4748-8c30-4580c8dad124	37	Arthur Mathisen	M	M50-54	7	4:20:00	0:19:34	0:04:37	2:21:41	0:02:32	1:31:35	US	
59a070b9-b6eb-4fc5-9183-20a97aa0237e	38	Colby Titland	M	M50-54	8	4:20:31	0:21:01	0:06:15	2:25:10	0:03:38	1:24:28	US	
92b955af-c103-ee11-8f6e-000d3a314ae2	39	Trevor Morgan	M	M40-44	11	4:21:17	0:19:24	0:06:26	2:22:14	0:02:43	1:30:30	US	
32ed4cfa-046d-4849-bbdd-26d55dbbc28f	40	Jared Wilson	M	M50-54	9	4:22:08	0:18:48	0:04:32	2:24:28	0:03:23	1:30:57	USA	
ced97961-0201-4ba6-981e-0fa3ec2c7594	41	Chad Conner	M	M30-34	6	4:22:11	0:19:28	0:05:05	2:19:16	0:02:02	1:36:19	US	
b18b5a3e-9085-451c-8bd1-0dbb1b997ccd	42	Ernesto Samudio	M	M40-44	12	4:22:17	0:19:34	0:05:07	2:22:59	0:03:44	1:30:53	US	
3401c9a0-ab8a-438b-98f7-e88b0cc55f3a	43	Carlos Lesser	M	M35-39	7	4:22:18	0:18:37	0:04:42	2:32:16	0:01:55	1:24:48	CA	
35c4701a-ca28-4f76-9930-130a65841c29	44	Brian Houck	M	M40-44	13	4:22:50	0:20:38	0:05:49	2:28:17	0:04:08	1:23:57	US	
845a74ab-7f9d-4c96-8b9d-05d69b65f706	45	Matthew Saverin	M	M30-34	7	4:23:25	0:18:34	0:05:21	2:26:34	0:02:12	1:30:43	US	
