Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Bastien Poupelain	M	M30-34	1	4:24:19	0:29:10	2:15:32	1:34:36
2	Hidekazu Takahashi	M	M50-54	1	4:26:26	0:29:52	2:18:05	1:32:26
3	Petr Lukosz	M	M40-44	1	4:34:45	0:31:11	2:18:58	1:38:11
4	Julian Sebastian Teves	M	M25-29	1	4:36:44	0:31:12	2:23:00	1:37:25
5	Ryosuke Ohata	M	M40-44	2	4:37:25	0:29:06	2:23:34	1:38:04
6	Cody Williamson	M	M25-29	2	4:41:12	0:31:32	2:28:41	1:35:04
7	Simon Michelet Dos Santos	M	M35-39	1	4:43:05	0:37:59	2:17:07	1:41:45
8	Mervin Rencel Santiago	M	M30-34	2	4:46:24	0:33:26	2:22:35	1:45:13
9	Hongwei Jiang	M	M30-34	3	4:49:56	0:39:24	2:25:25	1:39:26
10	Guyan Zhang	M	M25-29	3	4:52:38	0:28:21	2:32:32	1:44:50
11	Hiroki Takamine	M	M40-44	3	4:54:15	0:29:56	2:21:01	1:56:26
12	Ronald Molit	M	M40-44	4	4:58:50	0:31:05	2:30:37	1:50:37
13	Robinson Esteves	M	M35-39	2	5:02:07	0:39:32	2:27:53	1:49:22
14	Jethro Karl Ramos	M	M40-44	5	5:03:01	0:31:20	2:26:36	1:59:39
15	Michael Slaton	M	M45-49	1	5:03:50	0:34:17	2:30:01	1:49:46
16	Luuk Schellens	M	M30-34	4	5:05:38	0:31:18	2:30:21	1:57:53
17	Anton Kort	M	M45-49	2	5:07:40	0:30:01	2:25:08	2:05:20
18	Simon Belfitt	M	M40-44	6	5:12:07	0:38:25	2:32:37	1:54:35
19	Tristan Rene Santos	M	M30-34	5	5:13:36	0:39:25	2:31:30	1:56:53
20	Trevor Watchman	M	M50-54	2	5:14:05	0:44:45	2:24:26	1:56:19
21	Shahrez Khan	M	M40-44	7	5:17:11	0:37:22	2:38:24	1:51:47
22	Elvys Kenneth Miguel	M	M35-39	3	5:17:23	0:41:18	2:35:20	1:53:59
23	andrew hughes	M	M55-59	1	5:17:54	0:30:14	2:44:12	1:56:37
24	Hiroshi Takei	M	M50-54	3	5:19:08	0:31:54	2:43:54	1:56:30
25	Rafi Silerio	M	M30-34	6	5:19:24	0:37:45	2:43:50	1:51:47
26	Paolo Sauler	M	M40-44	8	5:19:33	0:37:41	2:34:10	2:01:34
27	Ritche Ian Solana	M	M45-49	3	5:19:36	0:37:09	2:39:19	1:54:05
28	Alberto Gallego García	M	M30-34	7	5:20:25	0:34:50	2:33:52	2:04:01
29	Christoph Billen	M	M35-39	4	5:20:27	0:39:37	2:28:12	2:06:35
30	Thomas Hardcastle	M	M55-59	2	5:20:32	0:38:30	2:50:42	1:46:01
31	Justin Patrick Navarro	M	M25-29	4	5:20:57	0:44:48	2:32:22	1:57:17
32	Hadjimar Sumait	M	M45-49	4	5:21:08	0:44:50	2:39:11	1:50:01
33	Rommel John Fernandez	M	M45-49	5	5:23:08	0:37:16	2:44:31	1:53:46
34	Raz Shabtay	M	M45-49	6	5:25:48	0:43:12	2:38:10	1:58:05
35	Arvin Reynoso	M	M25-29	5	5:26:12	0:47:58	2:39:43	1:51:28
36	Andreas Wuestenberg	M	M45-49	7	5:28:42	0:34:53	2:45:21	2:02:35
37	Roman Menz	M	M50-54	4	5:29:41	0:37:08	2:42:37	2:03:45
38	Rolando Alquero	M	M40-44	9	5:29:49	0:47:10	2:41:06	1:54:35
39	Gianfranco Reyes	M	M25-29	6	5:30:24	0:44:10	2:31:49	2:06:49
40	Edgar Puruganan	M	M40-44	10	5:31:26	0:48:17	2:35:55	2:00:08
41	Ryan Tan	M	M40-44	11	5:32:27	0:43:34	2:42:46	1:57:28
42	Jarrod Bateson	M	M35-39	5	5:32:42	0:37:34	2:50:03	1:57:37
43	Edson Junior	M	M40-44	12	5:32:43	0:46:25	2:38:23	2:00:19
44	Agnieszka Najnigier Pierzynowska	F	F40-44	1	5:33:32	0:40:33	2:52:32	1:52:13
45	Stephen Zarate	M	M40-44	13	5:33:46	0:41:55	2:46:17	1:57:44
46	Ruben Duk	M	M25-29	7	5:36:05	0:38:18	2:52:28	1:56:38
47	Egor Demchenko	M	M35-39	6	5:37:19	0:42:35	2:49:18	1:58:44
48	Kam Fai Leung	M	M40-44	14	5:39:04	0:48:14	2:40:33	2:02:08
49	Albert Centeno	M	M40-44	15	5:39:16	0:34:55	3:06:20	1:50:23
50	Valerio Curridori	M	M70-74	1	5:40:23	0:50:28	2:40:56	2:00:26
51	Emma Rickard	F	F30-34	1	5:40:49	0:37:13	2:52:35	2:02:32
52	Koji Muroya	M	M60-64	1	5:41:59	0:38:18	2:49:41	2:06:07
53	Bryan Lucas	M	M40-44	16	5:42:23	0:42:56	2:46:58	2:02:25
54	Mark Anthony Hosana	M	M30-34	8	5:42:39	0:31:01	2:42:24	2:23:47
55	Gary Lloyd Bumanglag	M	M40-44	17	5:43:08	0:47:19	2:42:17	2:04:21
56	Erik Boekel	M	M55-59	3	5:45:38	0:44:05	2:43:13	2:09:46
57	Yuzhakov Igor	M	M40-44	18	5:46:27	0:39:45	2:50:49	2:08:45
58	Nicole Chau	F	F18-24	1	5:46:43	0:39:23	3:13:34	1:47:24
59	Su Hyeon Kim	M	M35-39	7	5:47:02	0:44:19	2:48:07	2:05:50
60	Michael Braunlich	M	M45-49	8	5:47:26	0:46:16	2:49:42	2:04:10
61	Michael Costevec	M	M40-44	19	5:48:11	0:46:43	2:44:33	2:09:17
62	Xueyan Jiang	F	F30-34	2	5:49:12	0:48:30	2:48:07	2:06:02
63	Andrew Chadwick	M	M55-59	4	5:49:16	0:36:45	2:45:14	2:17:28
64	Allan Jay Paneda Sola	M	M25-29	8	5:49:18	0:48:24	2:33:41	2:18:08
65	Mary Pauline Fornea	F	F30-34	3	5:49:19	0:39:35	2:54:03	2:09:16
66	Napoleon Tolentino	M	M35-39	8	5:50:02	0:49:12	2:45:39	2:05:06
67	Toshiya Honda	M	M50-54	5	5:50:58	0:41:53	3:04:11	1:55:08
68	Denis Suspitsyn	M	M35-39	9	5:51:15	0:40:25	2:49:48	2:13:48
69	Marjufer Retis	M	M30-34	9	5:51:35	0:46:37	2:35:39	2:21:21
70	Dougal Grant	M	M50-54	6	5:51:53	0:47:30	2:48:52	2:08:03
