Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Max Studer	M	MPRO	1	3:38:03	0:22:28	2:01:51	1:10:16
2	Nicholas Free	M	MPRO	2	3:43:48	0:25:06	1:59:17	1:16:11
3	Justin Metzler	M	MPRO	3	3:44:28	0:23:54	2:00:12	1:16:33
4	Ollie Turner	M	MPRO	4	3:47:28	0:22:27	2:01:59	1:19:38
5	Caleb Noble	M	MPRO	5	3:50:19	0:23:54	2:03:32	1:17:57
6	Garrett Mayeaux	M	MPRO	6	3:51:31	0:26:34	2:04:16	1:16:18
7	PengCheng Li	M	M30-34	1	3:51:35	0:27:15	2:03:06	1:16:42
8	Simon Shi	M	MPRO	7	3:56:08	0:24:45	2:08:55	1:19:02
9	Aichlinn O'Reilly	M	MPRO	8	3:56:52	0:25:31	2:05:34	1:21:50
10	Fan Junjie	M	MPRO	9	3:57:05	0:22:23	2:09:14	1:21:38
11	Brett Clifford	M	MPRO	10	4:00:08	0:28:17	2:08:31	1:19:09
12	Tianyao Jiang	M	MPRO	11	4:00:54	0:23:56	2:12:25	1:21:25
13	奇生 李	M	M35-39	1	4:01:29	0:30:51	2:07:31	1:17:10
14	Junyu Cao	M	M35-39	2	4:01:49	0:29:22	2:09:59	1:18:31
15	YANLONG KAI	M	M35-39	3	4:05:00	0:32:28	2:06:01	1:21:15
16	Ilya Slepov	M	M40-44	1	4:05:04	0:28:55	2:08:02	1:23:50
17	Nicole Van Der Kaay	F	FPRO	1	4:06:10	0:26:27	2:10:22	1:25:05
18	Nina Derron	F	FPRO	2	4:13:17	0:28:04	2:14:34	1:27:07
19	Hongwei Jiang	M	M30-34	2	4:13:40	0:35:29	2:10:27	1:23:51
20	YiFan Huang	M	M35-39	4	4:16:34	0:31:07	2:15:09	1:24:15
21	梓宸 黄	M	M18-24	1	4:16:45	0:36:10	2:07:12	1:26:41
22	家杰 冯	M	M35-39	5	4:18:24	0:28:56	2:16:19	1:27:21
23	Chu Zhang	M	M40-44	2	4:19:44	0:29:11	2:16:46	1:28:45
24	Todd Milliner	M	M45-49	1	4:19:56	0:29:01	2:17:21	1:28:40
25	Fenghang Wu	M	M25-29	1	4:20:06	0:37:37	2:11:45	1:24:32
26	Fanchen Zeng	M	M30-34	3	4:20:30	0:33:32	2:13:23	1:28:03
27	Matan Nemenoff	M	M40-44	3	4:21:43	0:27:13	2:18:15	1:31:45
28	Jamie Edmunds	M	M40-44	4	4:22:19	0:28:24	2:13:57	1:33:29
29	Ottema Johnny	M	M45-49	2	4:23:44	0:32:32	2:13:53	1:31:36
30	Wei Ge	M	M45-49	3	4:24:00	0:34:30	2:17:35	1:25:29
31	YIMIN LU	M	M40-44	5	4:24:44	0:32:14	2:18:23	1:28:15
32	Cassandra Heaslip	F	FPRO	3	4:24:46	0:32:05	2:19:22	1:29:08
33	James Tan	M	M25-29	2	4:26:09	0:25:26	2:20:22	1:35:27
34	Guyan Zhang	M	M25-29	3	4:26:32	0:26:37	2:18:25	1:35:13
35	Lauren Hume	F	FPRO	4	4:27:29	0:28:08	2:26:29	1:28:24
36	Yundong Wu	M	M45-49	4	4:28:35	0:35:18	2:17:05	1:30:06
37	Yangzi Chen	M	M18-24	2	4:29:02	0:29:14	2:17:05	1:37:28
38	Roman Gushchin	M	M40-44	6	4:30:19	0:35:04	2:20:51	1:29:04
39	Xiangcheng Ding	M	M35-39	6	4:31:23	0:30:16	2:20:17	1:34:46
40	Juan Francisco Vivero	M	M35-39	7	4:31:40	0:39:23	2:16:19	1:28:12
41	弛 张	M	M35-39	8	4:33:01	0:38:22	2:17:41	1:31:17
42	琼群 罗	M	M35-39	9	4:33:09	0:38:21	2:19:25	1:28:38
43	Yuan Liu	M	M30-34	4	4:33:11	0:38:11	2:21:28	1:26:20
44	King Hei Ko	M	M35-39	10	4:33:24	0:31:36	2:27:17	1:30:07
45	Tze Ho Chow Kevin	M	M45-49	5	4:34:07	0:28:43	2:22:05	1:37:46
46	Jiachao Wang	M	M30-34	5	4:34:18	0:30:40	2:28:33	1:27:46
47	Andrey Zhindaev	M	M35-39	11	4:34:31	0:41:02	2:25:56	1:21:19
48	前江 余	M	M18-24	3	4:34:40	0:39:18	2:20:22	1:28:42
49	Joelly Ines	F	F35-39	1	4:34:54	0:34:47	2:21:04	1:33:20
50	旭宸 宋	M	M25-29	4	4:35:24	0:31:37	2:10:00	1:47:55
51	Matias Conti	M	M45-49	6	4:35:35	0:31:19	2:21:57	1:35:13
52	Shenhui Li	M	M40-44	7	4:35:48	0:36:54	2:24:57	1:27:52
53	Roberto Maria De Pardi	M	M55-59	1	4:35:56	0:33:00	2:24:18	1:33:28
54	Pavel Zubarev	M	M40-44	8	4:36:14	0:33:52	2:18:34	1:39:01
55	Kader Es Slami	M	M55-59	2	4:36:15	0:32:27	2:27:27	1:30:28
56	宁 俞	M	M35-39	12	4:36:23	0:34:56	2:17:25	1:39:20
57	Maxim Semenov	M	M40-44	9	4:37:15	0:35:43	2:23:46	1:33:10
58	Robert Knight	M	M30-34	6	4:37:38	0:35:00	2:18:53	1:38:10
59	Xing Zeng	M	M30-34	7	4:37:53	0:36:34	2:16:52	1:38:41
60	Xujin Gu	M	M18-24	4	4:38:00	0:38:12	2:22:19	1:32:34
61	Zhiqing Hao	M	M30-34	8	4:38:08	0:53:36	2:14:46	1:22:46
62	鹏飞 王	M	M35-39	13	4:38:31	0:39:09	2:23:01	1:29:54
63	Junyi Lin	M	M30-34	9	4:38:43	0:34:24	2:26:43	1:30:31
64	Lu Zhao	M	M35-39	14	4:38:50	0:37:35	2:20:44	1:34:14
65	Lin Xu	F	F40-44	1	4:38:54	0:33:27	2:24:40	1:36:25
66	Shuai Xiang	M	M35-39	15	4:39:05	0:42:11	2:18:19	1:34:06
67	Wu Yue	M	M40-44	10	4:39:11	0:37:23	2:20:21	1:35:01
68	Chris Chung Hang Kwan	M	M25-29	5	4:39:25	0:33:58	2:26:38	1:33:26
69	Haocheng Liu	M	M25-29	6	4:39:34	0:39:57	2:17:36	1:36:14
70	Him Chun Lau	M	M35-39	16	4:40:03	0:39:52	2:18:16	1:34:23
71	Dmitri Tchernenko	M	M40-44	11	4:40:07	0:37:56	2:21:42	1:36:06
72	Ou Wang	M	M40-44	12	4:40:15	0:35:54	2:20:33	1:38:17
73	仁超 冯	M	M18-24	5	4:40:18	0:35:29	2:19:31	1:39:30
74	Ang Zhao	M	M25-29	7	4:40:22	0:32:14	2:19:32	1:42:35
75	Francois Jacquart	M	M40-44	13	4:40:25	0:39:44	2:21:20	1:33:01
76	Jack Chan	M	M35-39	17	4:40:35	0:31:28	2:22:09	1:42:08
77	Pengqi Liu	M	M35-39	18	4:41:08	0:36:09	2:22:24	1:35:11
78	Hao Chen	M	M50-54	1	4:41:08	0:40:36	2:24:56	1:30:25
79	Zhiqiang Feng	M	M45-49	7	4:41:13	0:44:24	2:21:16	1:30:03
80	Deng Yifan	M	M35-39	19	4:41:15	0:43:44	2:17:27	1:32:25
81	Peng Luo	M	M40-44	14	4:41:20	0:32:55	2:24:45	1:38:34
82	Anton Koroviakov	M	M25-29	8	4:41:21	0:37:38	2:19:43	1:38:56
83	Yuxiang Zhong	M	M25-29	9	4:41:36	0:36:50	2:19:32	1:38:40
84	Pawel Szyl	M	M40-44	15	4:41:44	0:35:42	2:22:28	1:36:29
85	Paoluzzi Roberto james	M	M30-34	10	4:42:15	0:38:45	2:27:00	1:28:32
86	Liam Winston	M	M55-59	3	4:42:28	0:36:38	2:26:30	1:34:02
87	如好 马	M	M50-54	2	4:42:35	0:35:33	2:16:04	1:43:16
88	Tao Yuan	M	M45-49	8	4:42:59	0:40:13	2:21:14	1:36:02
89	Bing Zhao	M	M40-44	16	4:43:32	0:36:40	2:19:26	1:40:37
90	Dongdong Liu	M	M45-49	9	4:43:38	0:29:50	2:19:27	1:47:12
91	Peng Liu	M	M25-29	10	4:43:49	0:32:53	2:24:20	1:38:27
92	Arnaud FAUCHON	M	M35-39	20	4:44:06	0:31:31	2:29:43	1:34:20
93	Petros Solomou	M	M40-44	17	4:44:29	0:34:34	2:18:35	1:45:23
94	Yuemiao Sun	M	M35-39	21	4:44:37	0:35:26	2:20:02	1:42:44
95	Zhifneg Wu	M	M30-34	11	4:44:46	0:36:23	2:21:41	1:41:32
96	Luis Alfonso Penuela Marin	M	M30-34	12	4:45:29	0:35:21	2:20:20	1:43:58
97	Chun Hei Ho	M	M30-34	13	4:46:05	0:29:32	2:23:48	1:46:53
98	Yip chun Fung	M	M35-39	22	4:46:30	0:38:40	2:22:47	1:39:10
99	XIN HUANG	M	M30-34	14	4:46:30	0:39:51	2:18:39	1:40:51
100	Daniel McConnell	M	M25-29	11	4:46:55	0:25:37	2:19:55	1:55:19
101	Cheng Chen	F	F35-39	2	4:47:00	0:40:48	2:25:19	1:36:29
102	Jie Shao	M	M25-29	12	4:47:04	0:41:01	2:18:05	1:41:55
103	昊 陈	M	M35-39	23	4:47:28	0:46:28	2:20:53	1:32:17
104	Zeliang Guo	M	M30-34	15	4:47:30	0:39:59	2:29:42	1:31:58
105	Feng Wang	M	M45-49	10	4:47:31	0:45:36	2:20:28	1:32:33
106	Chun Yip Law	M	M30-34	16	4:47:35	0:32:58	2:28:21	1:38:58
107	Ren Wang	M	M30-34	17	4:47:57	0:44:09	2:23:32	1:33:03
108	Ying Xu	F	F35-39	3	4:48:05	0:38:19	2:30:15	1:33:46
109	VLADIMIR LARIN	M	M35-39	24	4:48:16	0:35:52	2:25:04	1:41:17
110	Hanlong Zheng	M	M30-34	18	4:48:24	0:41:26	2:20:18	1:41:23
111	Xiang Ao	F	F40-44	2	4:48:55	0:38:25	2:24:24	1:40:51
112	Oleg Kamenev	M	M40-44	18	4:49:24	0:32:25	2:23:26	1:46:35
113	Hoi Tik Kwong	M	M45-49	11	4:49:27	0:37:01	2:27:23	1:39:00
114	Roy Chui	M	M30-34	19	4:49:47	0:35:56	2:27:50	1:38:54
