Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Henry Räppo	M	MPRO	1	3:40:06	0:24:27	2:00:54	1:11:51
2	James Teagle	M	MPRO	2	3:40:09	0:24:49	2:00:36	1:12:01
3	Florian Angert	M	MPRO	3	3:42:33	0:24:15	2:00:54	1:14:09
4	Hannes Butters	M	MPRO	4	3:43:08	0:23:12	1:59:03	1:18:03
5	Antony Costes	M	MPRO	5	3:46:29	0:24:41	2:00:23	1:18:05
6	Ollie Turner	M	MPRO	6	3:46:41	0:23:12	2:02:12	1:18:20
7	Nils Lorenz	M	MPRO	7	3:48:19	0:24:29	2:01:04	1:19:51
8	Will Crudgington	M	MPRO	8	3:55:11	0:26:24	2:09:35	1:15:44
9	Matthew Ralphs	M	MPRO	9	4:01:08	0:26:55	2:06:06	1:23:45
10	Ivo Janssen	M	M30-34	1	4:06:11	0:33:16	2:09:31	1:16:39
11	Tadas Lukauskis	M	M18-24	1	4:10:10	0:29:54	2:16:37	1:18:16
12	Mihkel Sarv	M	M35-39	1	4:11:22	0:31:08	2:12:17	1:22:20
13	Kaidi Kivioja	F	FPRO	1	4:12:32	0:28:30	2:15:19	1:25:46
14	Jamie Wise	M	M30-34	2	4:13:57	0:31:41	2:16:06	1:19:10
15	Diede Diederiks	F	FPRO	2	4:14:39	0:32:05	2:15:18	1:22:12
16	Valentin Bailleux	M	M25-29	1	4:15:14	0:30:43	2:19:20	1:19:13
17	Sander Ilves	M	M30-34	3	4:15:48	0:34:30	2:11:43	1:22:57
18	Justine Guerard	F	FPRO	3	4:15:54	0:28:13	2:17:41	1:26:33
19	Rasmus Helenius	M	M18-24	2	4:17:51	0:30:50	2:17:24	1:23:56
20	Luis Lorenz	M	M25-29	2	4:18:05	0:26:29	2:12:20	1:34:14
21	Ruben Larsen	M	M25-29	3	4:18:41	0:31:52	2:11:46	1:27:37
22	Eva Cornelisse	F	FPRO	4	4:20:26	0:28:21	2:20:02	1:28:25
23	Katie Phipkin	F	FPRO	5	4:20:50	0:32:37	2:19:02	1:25:38
24	Florian Lascombe	M	M35-39	2	4:21:09	0:28:20	2:16:24	1:30:05
25	Raul Ruubel	M	M35-39	3	4:21:53	0:31:50	2:15:03	1:28:11
26	Cevin Anders Siim	M	M25-29	4	4:22:19	0:27:47	2:20:53	1:28:05
27	Rhianne Hughes	F	FPRO	6	4:22:23	0:33:56	2:22:54	1:22:36
28	Hannes Rootsi	M	M35-39	4	4:22:40	0:29:26	2:16:47	1:31:50
29	Adam Fowkes	M	M40-44	1	4:23:26	0:33:10	2:16:50	1:27:09
30	Artjom Savin	M	M18-24	3	4:24:03	0:30:08	2:21:13	1:26:00
31	Brooke Gillies	F	FPRO	7	4:24:36	0:28:26	2:22:52	1:29:18
32	klaus betzinger	M	M18-24	4	4:25:11	0:31:07	2:16:22	1:28:33
33	Arttu Aaltonen	M	M40-44	2	4:25:38	0:35:36	2:18:05	1:24:18
34	Ilkka Utriainen	M	M40-44	3	4:25:39	0:30:07	2:22:57	1:25:18
35	Anssi Pentsinen	M	M35-39	5	4:26:27	0:34:55	2:16:46	1:28:24
36	Vadim Popov	M	M45-49	1	4:26:52	0:31:38	2:22:12	1:27:27
37	Hella Haak	F	F25-29	1	4:27:00	0:34:02	2:21:52	1:26:27
38	Osama Aljumaily	M	M18-24	5	4:27:04	0:37:32	2:21:17	1:21:19
39	Risto Pärnapuu	M	M30-34	4	4:27:10	0:33:44	2:19:49	1:28:02
40	Jonny Rowland	M	M40-44	4	4:27:15	0:33:52	2:19:47	1:27:47
41	Linus Jern	M	M25-29	5	4:27:57	0:33:24	2:18:18	1:27:51
42	William Callanan	M	M18-24	6	4:29:56	0:28:38	2:31:52	1:23:04
43	Mart Leo Ruus	M	M18-24	7	4:30:03	0:30:23	2:29:43	1:22:54
44	Mico Brotkin	M	M40-44	5	4:30:46	0:35:18	2:18:29	1:31:55
45	Aleksandr Bolunov	M	M25-29	6	4:31:03	0:35:56	2:19:53	1:29:19
46	Johan Jern	M	M30-34	5	4:31:14	0:32:23	2:19:15	1:32:52
47	Sam Storer	M	M50-54	1	4:32:17	0:35:03	2:18:08	1:31:36
48	Georg Haud	M	M30-34	6	4:32:47	0:30:14	2:27:48	1:29:18
49	Taavi Lehemaa	M	M30-34	7	4:32:50	0:38:47	2:17:26	1:30:35
50	Harles Tammeleht	M	M35-39	6	4:33:05	0:36:41	2:15:54	1:34:17
51	Jagoda Augustyniak	F	M40-44	6	4:33:09	0:34:39	2:19:24	1:32:25
52	Marek Antoniak	M	M55-59	1	4:33:55	0:36:40	2:11:22	1:38:17
