Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Scott Coombs	M	M30-34	1	8:16:19	0:44:07	4:23:04	3:00:06
2	Bryce Morison	M	M25-29	1	8:17:21	0:47:38	4:23:09	2:56:58
3	Bryan Mooney	M	M25-29	2	8:18:56	0:45:29	4:31:47	2:51:10
4	Josh Ramirez	M	M35-39	1	8:22:12	0:48:50	4:23:33	3:00:54
5	Ilya Kosov	M	M35-39	2	8:22:58	0:44:08	4:28:19	3:01:48
6	Victor Navarro Castello Branco	M	M35-39	3	8:24:33	0:50:15	4:26:10	2:58:28
7	Reed Horton	M	M30-34	2	8:27:36	0:45:26	4:29:37	3:02:20
8	Thomas Nelson	M	M45-49	1	8:29:31	0:52:57	4:25:12	3:02:17
9	George Hoffmann	M	M30-34	3	8:31:47	0:45:36	4:26:07	3:11:06
10	Mihai Vigariu	M	M40-44	1	8:32:32	0:47:41	4:16:43	3:19:50
11	Matthew Tatum	M	M40-44	2	8:33:22	0:48:07	4:29:38	3:06:04
12	Sean Mahoney	M	M35-39	4	8:39:10	0:40:10	4:29:04	3:20:23
13	YANLONG KAI	M	M35-39	5	8:39:48	0:48:25	4:25:58	3:16:14
14	Emmanuel Lopez	M	M40-44	3	8:40:37	0:53:09	4:30:37	3:07:24
15	Kevin Le	M	M25-29	3	8:41:30	0:46:58	4:30:40	3:15:19
16	Josef Stone	M	M18-24	1	8:42:59	0:46:51	4:37:55	3:09:06
17	Guillaume Bas	M	M35-39	6	8:43:38	0:48:13	4:35:20	3:10:08
18	Christian Haupt	M	M45-49	2	8:43:44	0:46:27	4:24:45	3:24:09
19	John Rak	M	M25-29	4	8:44:13	0:48:32	4:26:49	3:14:54
20	Ricardo Garcia	M	M50-54	1	8:46:24	0:45:40	4:38:26	3:13:27
21	Nicholas Bongi	M	M25-29	5	8:46:39	0:44:22	4:39:29	3:13:28
22	Vinicius Pelissari	M	M25-29	6	8:47:30	0:40:26	4:38:26	3:20:40
23	Tony Escareno	M	M40-44	4	8:49:04	0:52:06	4:38:24	3:05:39
24	Yihui Wang	M	M35-39	7	8:49:18	0:47:04	4:30:50	3:19:43
25	Martin Capriotti	M	M40-44	5	8:49:26	0:48:18	4:44:05	3:07:17
26	Brad Fisher	M	M35-39	8	8:49:45	0:51:00	4:26:29	3:21:11
27	John Bardenheier	M	M35-39	9	8:51:55	0:47:31	4:22:31	3:32:27
28	Wesley De Does	M	M35-39	10	8:53:12	0:52:16	4:38:13	3:13:10
29	Scott Catto	M	M25-29	7	8:53:56	0:48:29	4:32:28	3:25:03
30	Valentyn Starosta	M	M40-44	6	8:54:47	0:54:53	4:39:07	3:09:29
31	Jonathan Shearon	M	M45-49	3	8:54:54	0:47:13	4:27:27	3:30:50
32	Ignacio Mendez-Nunez	M	M30-34	4	8:54:57	0:48:42	4:24:30	3:31:36
33	Colin Begy	M	M35-39	11	8:54:57	0:54:51	4:44:57	3:02:24
34	Danny Dvinov	M	M40-44	7	8:55:12	0:47:07	4:31:57	3:24:10
35	Eric Brown	M	M30-34	5	8:56:15	0:52:00	4:44:46	3:10:12
36	Cédric Pache	M	M40-44	8	8:58:12	0:49:16	4:30:22	3:28:30
37	Keane Johnson	M	M30-34	6	8:58:13	0:45:40	4:33:53	3:27:13
38	Jacob Downey	M	M25-29	8	8:58:18	0:52:43	4:19:51	3:36:00
39	Lucas Antonetti	M	M50-54	2	8:58:35	0:45:23	4:45:35	3:18:35
40	Waldemar Seibel	M	M35-39	12	8:58:48	0:53:07	4:30:34	3:27:42
41	Garrett Mckelvie	M	M30-34	7	8:59:51	0:49:46	4:24:50	3:33:53
42	Ivan Bukin	M	M40-44	9	9:00:30	0:53:09	4:29:31	3:25:55
43	Stephen Gould	M	M25-29	9	9:00:56	0:51:08	4:37:17	3:23:08
44	Knut Ole Thoreplass	M	M50-54	3	9:01:03	0:50:42	4:34:53	3:23:46
45	Ryan Celestain	M	M40-44	10	9:01:50	0:50:35	4:45:41	3:14:31
46	David Farsai	M	M35-39	13	9:02:19	0:54:43	4:39:15	3:18:05
47	Matt Muscat	M	M25-29	10	9:02:21	0:52:29	4:50:42	3:08:46
48	Luan Ortiz	M	M35-39	14	9:03:23	0:45:06	4:43:45	3:25:27
49	Eric Chuu	M	M25-29	11	9:03:31	0:49:08	4:46:04	3:17:24
50	Pablo Ureta	M	M45-49	4	9:05:12	0:46:16	4:45:24	3:24:08
51	Trevor Harley	M	M30-34	8	9:05:32	0:49:28	5:01:39	3:05:20
52	Pablo Conti	M	M50-54	4	9:05:58	0:54:10	4:41:28	3:18:31
53	Joe Lanser	M	M35-39	15	9:06:23	0:54:02	4:37:39	3:24:02
54	David Levenson	M	M40-44	11	9:06:32	0:54:21	4:36:39	3:22:33
55	Mark Smith	M	M40-44	12	9:08:12	0:59:51	4:35:12	3:22:07
56	Hayden Sikora	M	M18-24	2	9:08:18	0:45:57	4:45:17	3:25:51
57	Justin Kerr	M	M45-49	5	9:08:40	0:58:16	4:43:22	3:14:22
58	Scott Mckenna	M	M45-49	6	9:09:20	0:44:42	4:44:04	3:30:25
59	Adam Suczewski	M	M30-34	9	9:09:29	0:47:00	4:31:47	3:40:35
60	Justin Clark	M	M35-39	16	9:09:33	0:48:48	4:27:50	3:43:57
61	Brian Andzejewicz	M	M45-49	7	9:09:57	0:58:18	4:45:04	3:11:56
62	Michael Parry	M	M40-44	13	9:10:01	0:47:47	4:49:54	3:23:33
63	Arthur Bertholomé	M	M25-29	12	9:10:57	0:43:26	4:43:20	3:35:21
64	Eric Frorenza-Hubbard	M	M30-34	10	9:12:22	0:46:36	4:43:15	3:32:52
65	Fabian Lotter	M	M35-39	17	9:12:29	0:59:25	4:30:53	3:31:26
66	Robert Lucke	M	M40-44	14	9:13:06	0:58:51	4:28:13	3:34:14
67	Ales Suhadolnik	M	M45-49	8	9:13:22	0:51:13	4:55:52	3:15:27
68	Tyler Bingham	M	M30-34	11	9:13:47	0:50:33	4:53:21	3:20:19
69	Alex Sharp	M	M35-39	18	9:14:04	0:50:45	4:41:27	3:31:06
70	Sam Lambooy	M	M30-34	12	9:14:29	0:45:17	4:53:53	3:22:16
71	Nathan Stringer	M	M18-24	3	9:14:41	0:53:56	4:47:47	3:21:16
72	Scott Galloway	M	M35-39	19	9:15:14	0:51:19	4:38:47	3:32:10
73	Kannon Price	M	M30-34	13	9:15:16	0:49:19	4:47:56	3:29:27
74	Paul Revere	M	M30-34	14	9:15:37	0:53:15	4:35:03	3:36:52
75	Xavier Jamin	M	M30-34	15	9:16:03	0:51:34	4:45:46	3:27:12
76	David Taylor	M	M45-49	9	9:16:10	0:58:21	4:39:46	3:25:13
77	Alexey Bukleev	M	M50-54	5	9:16:20	0:52:34	4:49:00	3:22:38
78	Alex Bergeson	M	M35-39	20	9:17:26	0:44:03	5:05:04	3:17:04
79	Sebastian Ostertag	M	M40-44	15	9:18:27	0:46:42	4:49:28	3:34:17
80	Joost Van Rens	M	M50-54	6	9:18:32	0:47:59	4:48:17	3:30:07
81	Sam Thompson	M	M40-44	16	9:18:57	0:51:07	4:39:36	3:38:33
82	Derek Shoemaker	M	M30-34	16	9:21:10	0:41:53	4:58:12	3:28:02
83	Travis Keane	M	M50-54	7	9:21:15	0:46:36	4:47:45	3:36:54
84	Seth Hill	M	M30-34	17	9:22:12	0:46:10	4:48:09	3:38:45
85	Massimo Leonardi	M	M45-49	10	9:22:58	0:49:27	4:41:43	3:40:18
86	Evgeni Nikitin	M	M35-39	21	9:23:05	0:43:21	4:42:20	3:47:43
87	John Craft	M	M50-54	8	9:23:43	0:50:03	4:39:30	3:44:35
88	Evan Levy	M	M25-29	13	9:23:48	0:53:54	4:40:56	3:39:30
89	Bas Goossens	M	M45-49	11	9:23:54	0:50:55	4:35:59	3:45:28
90	Guillaume Cotreau	M	M25-29	14	9:24:06	0:54:31	4:47:33	3:30:46
91	Ramon Solorzano	M	M40-44	17	9:26:01	0:58:32	4:37:00	3:38:40
92	JOAO GUILHERME MUZETTI DALOIA	M	M35-39	22	9:26:07	0:47:24	4:58:59	3:28:25
93	Robbin van de Geer	M	M30-34	18	9:26:27	0:51:02	4:48:21	3:35:53
94	Juan Quezada	M	M35-39	23	9:26:30	0:55:09	4:52:21	3:25:46
95	Jeff James	M	M45-49	12	9:26:39	0:56:33	4:34:32	3:39:44
96	Ari Baum	M	M45-49	13	9:26:40	0:52:07	4:59:09	3:24:59
97	Philipp Ammann	M	M25-29	15	9:27:04	0:51:02	4:47:57	3:35:05
98	George-Joseph Asher	M	M25-29	16	9:27:20	0:47:41	4:58:05	3:29:32
99	Ernesto Fernandez	M	M35-39	24	9:27:37	0:47:02	4:44:06	3:46:17
100	Wout Vandegaer	M	M40-44	18	9:27:42	0:56:43	4:46:59	3:28:56
101	John Jenco	M	M25-29	17	9:28:21	0:50:33	4:40:56	3:47:43
102	Matthew Liberator	M	M30-34	19	9:29:01	0:56:41	5:03:43	3:17:39
103	Francisco Fernandez	M	M35-39	25	9:29:22	0:51:01	4:50:05	3:39:13
104	Ben Kadinopoulos	M	M45-49	14	9:30:15	0:50:37	4:37:01	3:49:01
105	Brad Robison	M	M25-29	18	9:30:38	0:40:28	4:41:32	3:57:51
106	Jeremy Yang	M	M25-29	19	9:31:20	1:00:32	4:56:27	3:24:10
107	Nils Albertsen	M	M30-34	20	9:31:39	0:54:54	4:46:13	3:41:09
108	Reinaldo Freitas	M	M40-44	19	9:31:55	0:51:05	4:46:57	3:45:30
109	Andrew Gunn	M	M45-49	15	9:32:15	0:55:42	4:41:48	3:42:50
110	Arnaud Enjalbert	M	M35-39	26	9:32:26	1:04:44	4:35:50	3:38:10
111	Alex Fontaine	M	M40-44	20	9:32:37	1:00:33	4:43:41	3:38:13
112	Keener Moses	M	M30-34	21	9:32:42	0:57:17	4:50:55	3:32:41
113	Timo Ronkainen	M	M50-54	9	9:32:46	0:58:11	4:41:28	3:35:48
114	Xavier Gallardo	M	M35-39	27	9:33:02	0:47:00	4:48:27	3:47:27
115	Luke Pfeiffer	M	M25-29	20	9:33:11	0:48:21	4:52:09	3:43:11
116	Van Mccarty	M	M55-59	1	9:33:29	0:52:37	5:00:05	3:24:42
117	Marek Antoniak	M	M55-59	2	9:33:48	0:55:45	4:35:37	3:49:31
118	Marco Parlato	M	M50-54	10	9:33:49	0:59:48	4:55:38	3:27:33
119	Thorsten Kopler	M	M45-49	16	9:33:52	0:53:26	4:45:05	3:43:36
120	Liz Miller	F	F40-44	1	9:34:30	0:55:06	4:58:47	3:29:20
121	Matthew Freitas	M	M40-44	21	9:34:33	0:52:33	4:48:37	3:41:52
122	Everett Sakai	M	M50-54	11	9:34:51	0:46:56	4:57:10	3:40:05
123	Marc Anthony Selivanoff	M	M18-24	4	9:35:09	0:48:38	5:04:13	3:30:35
124	Griffin Gaffney	M	M30-34	22	9:35:13	0:51:57	5:03:32	3:28:45
125	George Eyles	M	M50-54	12	9:36:10	1:00:31	4:35:57	3:47:36
126	Bo Stewart	M	M35-39	28	9:37:07	0:55:40	4:51:38	3:34:37
127	Agustín Marcó	M	M40-44	22	9:37:41	0:55:10	5:04:44	3:27:53
128	Robert Loveridge	M	M55-59	3	9:37:41	0:50:44	4:55:54	3:39:19
129	Justin Marzean	M	M35-39	29	9:38:08	0:56:26	5:07:03	3:20:53
130	Jena Diliberto	F	F45-49	1	9:38:09	0:52:44	5:03:34	3:28:28
