Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Andreas Bonnichsen	M	M25-29	1	8:19:40	0:53:41	4:22:02	2:59:36
2	Pontus Petrelius Risberg	M	M30-34	1	8:26:39	0:56:50	4:30:29	2:54:52
3	Oliver Wykman	M	M30-34	2	8:27:36	0:56:55	4:33:09	2:52:05
4	Katrine Græsbøll Christensen	F	FPRO	1	8:27:49	0:55:48	4:31:59	2:56:06
5	David Sandberg	M	M40-44	1	8:28:31	0:56:43	4:24:39	3:02:05
6	Marlene Helen De Boer	F	FPRO	2	8:33:02	0:51:21	4:31:55	3:05:52
7	Levin Veale	M	M30-34	3	8:36:05	0:47:47	4:13:00	3:29:37
8	Joachim Philipps	M	M30-34	4	8:37:58	0:52:31	4:36:36	3:04:11
9	Steffen Bonde Jensen	M	M35-39	1	8:38:30	1:00:08	4:32:05	3:01:48
10	Aled Smith	M	M30-34	5	8:39:51	1:07:36	4:31:57	2:53:22
11	Valentin Bertorelli	M	M30-34	6	8:40:34	0:58:46	4:32:55	3:02:44
12	Petter Liif	M	M35-39	2	8:41:47	1:00:11	4:39:11	2:57:23
13	Marius Hollender	M	M18-24	1	8:41:56	0:54:33	4:23:21	3:17:40
14	Viktor Lindelöf	M	M18-24	2	8:43:28	0:55:15	4:32:25	3:10:06
15	Klas Wirehn	M	M40-44	2	8:43:59	0:50:49	4:32:01	3:14:21
16	Chelsea Sodaro	F	FPRO	3	8:45:42	0:48:53	4:40:44	3:11:23
17	Marcus Lindblom	M	M35-39	3	8:46:49	1:04:42	4:22:42	3:14:21
18	Jens Müller	M	M40-44	3	8:47:44	0:56:41	4:36:04	3:08:19
19	Vadim Kovalenko	M	M35-39	4	8:47:46	0:56:15	4:42:50	3:01:59
20	Joakim Persson	M	M40-44	4	8:48:29	1:01:20	4:39:25	3:02:01
21	Nicolas Mehrer	M	M25-29	2	8:48:49	0:50:52	4:29:44	3:23:02
22	Arthur Bertholomé	M	M25-29	3	8:49:05	0:50:51	4:45:40	3:06:08
