Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
1	Daniel Winek	M	M25-29	1	8:36:16	1:02:46	4:41:00	2:42:51
2	Conrad Sanders	M	M30-34	1	8:44:47	0:58:18	4:43:38	2:53:17
3	Cody Williams	M	M30-34	2	8:46:22	1:00:21	4:37:28	2:59:39
4	Chad Bykerk	M	M30-34	3	8:50:34	0:52:33	4:48:04	3:01:10
5	John Butcher	M	M30-34	4	8:54:46	0:58:13	4:54:13	2:54:39
6	Per Filip Kron	M	M30-34	5	9:01:21	1:02:45	4:54:43	2:55:10
7	Kiel Bur	M	M40-44	1	9:05:33	0:53:04	5:00:31	3:03:34
8	Kevin Canavan	M	M30-34	6	9:10:52	1:02:43	4:58:36	3:01:14
9	Elliot Kawaoka	M	M40-44	2	9:11:27	0:57:39	5:06:25	2:57:21
10	Todd Teren	M	M35-39	1	9:17:18	0:52:50	5:01:34	3:12:37
11	Michael Bankes	M	M25-29	2	9:17:32	1:00:54	5:08:32	2:58:55
12	Brett Musco	M	M30-34	7	9:18:57	1:06:36	5:06:46	2:55:35
13	John Matson	M	M35-39	2	9:19:26	0:56:38	5:05:53	3:04:36
14	Kyle Martinelli	M	M30-34	8	9:20:31	1:00:22	4:59:47	3:11:56
15	Greg Davidheiser	M	M30-34	9	9:21:34	1:03:20	4:57:24	3:12:08
16	Bryan Rocha	M	M35-39	3	9:26:27	1:03:03	4:59:51	3:13:40
17	Tevin Neegaard	M	M25-29	3	9:30:52	1:00:45	5:10:19	3:10:38
18	Blaine Egan	M	M40-44	3	9:31:30	1:03:36	5:07:18	3:09:21
19	Matt Rollason	M	M35-39	4	9:32:00	1:02:48	4:58:20	3:21:20
20	Lishan Sharples	M	M35-39	5	9:34:04	1:08:49	5:12:52	3:01:09
21	Blake Peiffer	M	M18-24	1	9:34:20	1:00:27	4:56:43	3:27:32
22	Edmond Sterpin	M	M45-49	1	9:38:30	1:02:10	5:14:18	3:10:16
23	Gen Kaneko	M	M25-29	4	9:38:52	1:11:52	5:04:14	3:13:37
24	Aaron Acuna	M	M40-44	4	9:39:06	0:57:25	5:11:52	3:17:39
25	Mirco Fuhrmann	M	M30-34	10	9:41:38	0:52:57	5:16:39	3:23:46
26	Drew Fulk	M	M25-29	5	9:42:19	1:09:12	5:07:42	3:15:55
27	John Bardenheier	M	M35-39	6	9:42:37	1:02:25	4:58:04	3:30:34
28	Christopher Araujo	M	M18-24	2	9:42:42	1:06:48	5:10:29	3:15:46
