総合順位	No.	氏名	年齢	性別	総合記録	1ﾗﾝﾗｯﾌﾟ	1R順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	2ﾗﾝﾗｯﾌﾟ	2R順	男子順位	女子順位
1	517	西村 育人	40	男	1:23:08	0:16:48	1	0:49:09	3	1:05:57	1	0:17:11	1	1	
2	513	服部 一希	29	男	1:25:29	0:18:09	4	0:49:00	2	1:07:09	2	0:18:20	2	2	
3	514	新井 優樹	31	男	1:26:45	0:17:43	3	0:49:36	4	1:07:19	3	0:19:26	4	3	
4	518	金井 悠二	42	男	1:27:34	0:17:33	2	0:50:08	5	1:07:41	4	0:19:53	6	4	
5	519	杉浦 弘明	42	男	1:28:07	0:18:51	6	0:50:12	6	1:09:03	5	0:19:04	3	5	
6	520	山下 正樹	43	男	1:30:33	0:18:35	5	0:52:16	8	1:10:51	7	0:19:42	5	6	
7	516	寺元 麗人	36	男	1:34:14	0:21:29	10	0:48:49	1	1:10:18	6	0:23:56	10	7	
8	521	及川 浩次郎	50	男	1:34:41	0:19:07	7	0:54:58	9	1:14:05	9	0:20:36	7	8	
9	527	大津 菜々	53	女	1:35:01	0:21:15	8	0:51:25	7	1:12:40	8	0:22:21	8		1
10	510	手塚 悠道	18	男	1:41:13	0:21:44	11	0:55:15	10	1:16:59	10	0:24:14	11	9	
11	522	川島 俊嗣	50	男	1:42:35	0:22:15	13	0:57:05	11	1:19:20	11	0:23:15	9	10	
12	511	山口 翔平	19	男	1:46:19	0:21:22	9	0:59:19	12	1:20:41	12	0:25:38	14	11	
13	528	萩原 文子	60	女	1:49:45	0:24:34	17	0:59:49	13	1:24:23	13	0:25:22	13		2
14	525	池田 勝次	60	男	1:49:53	0:24:09	16	1:01:03	15	1:25:12	16	0:24:41	12	12	
15	526	内田 朋佳	29	女	1:50:26	0:24:07	15	1:00:19	14	1:24:26	14	0:26:00	15		3
16	523	福田 徹也	53	男	1:51:14	0:22:12	12	1:02:19	16	1:24:31	15	0:26:43	17	13	
17	512	片貝 光紀	29	男	1:55:08	0:23:24	14	1:05:26	17	1:28:50	17	0:26:18	16	14	
18	524	新堀 隆章	59	男	2:06:59	0:27:30	18	1:06:57	18	1:34:27	18	0:32:32	18	15	
DNS	515	石田 考	32	男											
