ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
2714c93d-1e5b-46f8-aaee-8249964b083e	1	Matej Jukic	M	M30-34	1	4:01:21	0:28:18	0:02:21	2:09:17	0:01:24	1:20:02	hrv	
305506aa-d4e6-4747-a9ed-a7f3936b221c	2	Maxim Kriat	M	M40-44	1	4:01:22	0:27:21	0:01:54	2:10:45	0:01:14	1:20:07	US	
744b8ad5-5315-4dc0-b366-2c427f05a739	3	Alexey Nikulin	M	M45-49	1	4:04:41	0:25:52	0:02:07	2:12:05	0:01:54	1:22:43	RUS	
67c7e4d1-f572-ef11-a670-000d3a308d97	4	Emmanuel Iodice	M	M40-44	2	4:11:05	0:28:14	0:02:21	2:09:38	0:02:03	1:28:49	arg	
f1065172-d9f9-447c-9f85-d4612250bf32	5	Roman Evgrafov	M	M45-49	2	4:15:50	0:25:29	0:02:20	2:14:30	0:01:47	1:31:44	rus	
752194ff-a674-ed11-81ab-000d3a314ae2	6	Ilker Kokce	M	M30-34	2	4:18:37	0:30:13	0:02:02	2:17:56	0:01:49	1:26:37	TUR	
27419832-2fcf-4aef-9869-2deebc1893c7	7	Ernesto Espinoza	M	M45-49	3	4:18:42	0:30:42	0:03:10	2:17:31	0:01:40	1:25:38	USA	
752d910d-c3ba-40aa-b540-c628360e2f7d	8	Oleksandr Mordasov	M	M40-44	3	4:23:18	0:31:13	0:02:41	2:11:24	0:01:25	1:36:36	aze	
6595a8e3-9543-401f-a0c7-8b1a4e087cff	9	Ivan Krestinin	M	M40-44	4	4:23:56	0:36:25	0:02:17	2:19:18	0:01:50	1:24:06	TUR	
aad40f37-3dc6-4c59-907f-4bf753c8d62a	10	Dmitry Drobinin	M	M40-44	5	4:24:33	0:33:08	0:03:07	2:14:29	0:01:40	1:32:09	RU	
b176a9dc-36e5-4bd2-98f7-54e7964fa453	11	Nikita Fedotovskikh	M	M30-34	3	4:25:14	0:37:25	0:03:12	2:13:38	0:02:24	1:28:35	KZ	
