ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
f8c92c29-b6d3-41bf-9acf-f0986c9d16df	1	Mateo Bustos Pecaut	M	M30-34	1	4:08:51	0:28:36	0:01:13	2:10:59	0:01:24	1:26:39	AR	
73650a7f-940c-4282-8852-166dd000739c	2	David Guete	M	MPRO	1	4:09:16	0:26:44	0:01:39	2:17:36	0:01:52	1:21:23	CO	
4d565323-7323-4858-8d8c-61eed37b7b56	3	Guillermo Garcia	M	M35-39	1	4:13:42	0:31:23	0:01:04	2:15:45	0:01:20	1:24:10	AR	
f89f68cc-ad52-4033-8f4a-038ec57874f8	4	Andrés Felipe Camelo Ocampo	M	M30-34	2	4:16:55	0:29:42	0:01:12	2:14:45	0:01:50	1:29:25	CO	
a6b04abe-d71f-43e8-8061-fc562f664071	5	David Sarmiento	M	M30-34	3	4:17:30	0:29:36	0:01:19	2:20:43	0:01:39	1:24:14	CO	
2428720c-0551-45ad-8be7-862e64fe8140	6	Cristian David Zapata	M	M35-39	2	4:18:19	0:29:22	0:00:52	2:20:10	0:01:44	1:26:11	CO	
9faa5537-484b-471e-8995-b0aaf004b9dd	7	Manuel Torrente	M	M30-34	4	4:21:02	0:29:50	0:01:33	2:16:30	0:01:42	1:31:27	CO	
7a0c894d-ebb7-4cb7-81eb-ff0ecc0594a9	8	Erick Garcia Rossi	M	M40-44	1	4:26:23	0:35:38	0:02:18	2:19:55	0:01:29	1:27:04	DO	
921f3c34-d599-488e-a5aa-63fa87064ad7	9	Juan Sebastian Ulloa	M	M35-39	3	4:26:56	0:28:44	0:01:54	2:20:03	0:02:08	1:34:07	col	
83835d8f-30e8-47d9-a985-967d2d5ba15c	10	Emiliano Mandarano	M	M35-39	4	4:27:40	0:30:42	0:01:22	2:24:28	0:01:50	1:29:19	AR	
4a14a4da-a08f-ee11-8179-000d3a314c24	11	Juan Sebastian Blanco Calixto	M	M25-29	1	4:29:50	0:33:55	0:01:25	2:26:27	0:02:08	1:25:54	CO	
ec65b078-3fe8-43d3-96e3-bde8b0c650f1	12	Felipe Echeverri A	M	M35-39	5	4:30:43	0:35:12	0:01:36	2:19:03	0:02:23	1:32:28	CO	
4738214a-18fe-ef11-bae2-6045bd05f634	13	Rafael Palomino	M	M25-29	2	4:31:28	0:35:24	0:02:04	2:37:37	0:01:47	1:14:36	CO	
5745f4e1-a86f-4836-9568-e32df2bb1978	14	Fernando Morales Rengifo	M	M35-39	6	4:32:15	0:29:32	0:01:01	2:28:35	0:01:53	1:31:14	CO	
ee945f8a-bf09-4c88-a0ac-c9c1b9ebf1d7	15	Martin Capriotti	M	M40-44	2	4:32:31	0:32:36	0:01:06	2:23:54	0:02:16	1:32:40	AR	
e4e31b4e-ce1f-4965-b2b1-54d23917fecd	16	Mateo Nuñez Oviedo	M	M25-29	3	4:33:26	0:36:00	0:01:57	2:21:56	0:01:28	1:32:04	CO	
dbfd9918-14c7-4078-8420-4f34683bd9ce	17	Julian Leal	M	M25-29	4	4:35:31	0:31:45	0:02:27	2:30:29	0:02:39	1:28:12	CO	
d16d73b5-a627-f111-8341-000d3a329efa	18	Luis alberto Lovera hernandez	M	M18-24	1	4:37:23	0:35:59	0:01:46	2:26:28	0:01:59	1:31:11	COL	
392559f1-da02-4a64-98f2-e78906687d89	19	Rafael Pulido	M	M35-39	7	4:38:05	0:35:27	0:02:01	2:27:22	0:01:56	1:31:20	CO	
7d072e16-62e9-46e7-9b9e-bb869ac38fa4	20	Andrés Cárdenas	M	M25-29	5	4:38:46	0:36:18	0:01:43	2:27:11	0:01:27	1:32:07	CO	
f078e28e-50c6-4e88-b485-0196fdd47eef	21	Camilo Ortiz	M	M45-49	1	4:39:57	0:32:24	0:01:22	2:29:22	0:02:11	1:34:38	CO	
4bf3950e-010c-4470-b187-e7b26bc44abd	22	Alvaro Sabbagh	M	M40-44	3	4:40:34	0:33:43	0:01:24	2:27:10	0:01:44	1:36:32	CO	
