ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
4e7a37cb-ab6f-f111-ab0d-0022480a5755	1	MAEDA RYOUSUKE	M	M30-34	1	3:56:27	0:14:33	0:02:30	2:16:45	0:02:33	1:20:06	JPN	
1f0adfb9-3099-4e72-9de6-1f87899560e4	2	Kazuhiro Oishi	M	M25-29	1	4:03:40	0:18:17	0:02:39	2:11:47	0:02:01	1:28:56	JP	
3afd3527-4a2b-4e82-ac39-04a5494c18d5	3	Henri Schoeman	M	MPRO	1	4:08:53	0:27:24	0:02:25	2:10:10	0:02:39	1:26:16	ZAF	
53af2dd5-c230-4e93-9113-f000c7c86b1b	4	Fabien Celeste	M	M25-29	2	4:10:08	0:19:04	0:03:29	2:12:29	0:02:47	1:32:19	RE	
d0d0c6ae-60d4-4b10-9f20-059c7dc2be9d	5	Ryosuke Ohata	M	M40-44	1	4:12:52	0:17:33	0:03:54	2:20:25	0:03:49	1:27:10	JP	
aa4d711c-d9ae-496a-af8b-1c8d33fbe5ff	6	Sebastian Fuchs	M	MPRO	2	4:12:52	0:35:34	0:02:27	2:09:37	0:02:54	1:22:20	aut	
5376c9bf-f269-4888-baed-cffb4e5df0e5	7	Ben Hamilton	M	MPRO	3	4:14:35	0:32:35	0:02:28	2:10:02	0:02:23	1:27:07	NZL	
9df039e8-54d4-f011-8544-000d3a5b7c3b	8	Sébastien ISSARAMBE REFANE	M	M25-29	3	4:19:13	0:17:28	0:03:33	2:17:36	0:03:44	1:36:52	REU	
c9bd9163-d884-4822-b78d-8bb7954840c9	9	Assad Attamimi	M	M50-54	1	4:19:16	0:19:43	0:02:57	2:27:16	0:02:27	1:26:52	SG	
b2c6e434-f303-416c-bc77-54f770571521	10	Nathan Dortmann	M	MPRO	4	4:22:05	0:35:36	0:03:06	2:15:06	0:02:55	1:25:23	aus	
c5a1d138-fd23-43c9-babe-58036b982e82	11	Irienold Reig Jr	M	M18-24	1	4:23:04	0:18:25	0:02:43	2:26:01	0:03:05	1:32:50	PH	
a7f4f6ff-6a3d-4320-888b-2d5ed10cc434	12	Thomas Inigo	M	MPRO	5	4:24:32	0:35:44	0:03:25	2:16:17	0:04:24	1:24:43	US	
