ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
535718	DNS	Mazen Akhdar	M	M45-49								Saudi Arabia	DNS
1186187	DNS	Johnny Karam	M	M50-54								Lebanon	DNS
1142198	DNS	Raffaella Turco	F	F50-54								Italy	DNS
916393	DNS	Patrick Fransen	M	M60-64								Belgium	DNS
897276	DNS	Aleksandr Mishin	M	M45-49								United Arab Emirates	DNS
1129131	DNS	Charlotte Pearce	F	F30-34								United Kingdom	DNS
1140529	DNF	Rebecca Dallimore	F	F40-44			0:36:20	0:02:45	2:51:51	0:03:10		United Kingdom	DNF
887642	DNS	Frank Ziewers	M	M45-49								Germany	DNS
61029	DNS	Alain Perroteau	M	M65-69								France	DNS
961169	DSQ	Abdullah Silsilah	M	M35-39								Saudi Arabia	DQ
1096514	DNS	Irek Dautov	M	M40-44								Spain	DNS
1290924	DNS	Fabian Silberer	M	M35-39								Germany	DNS
942411	DNS	Thomas Whitfield	M	M35-39								United Arab Emirates	DNS
1073065	DNS	Byron Penny	M	M30-34								United Kingdom	DNS
967753	DNF	Yurii Novikov	M	M50-54			0:38:54	0:04:33	3:23:41	0:11:12		Serbia	DNF
1065838	DNF	Dimitri Trofim	M	M40-44			0:34:02	0:03:23				Germany	DNF
1290925	DNS	steen puggaard	M	M60-64								Denmark	DNS
1073638	DNS	Dennis Soisch	M	M35-39								Germany	DNS
980593	DNS	Petr Matejcek	M	M40-44								Czechia	DNS
1184476	DNF	Harshit Agarwal	M	M35-39			1:04:27	0:06:50	4:11:58	0:08:05		India	DNF
1081445	DNS	Robbert-Jan Willems	M	M35-39								Belgium	DNS
1139009	DNS	Manuel Pardo	M	M40-44								Colombia	DNS
1246667	DNS	Neil Young	M	M40-44								United Kingdom	DNS
1244689	DNS	Thomas Scheer	M	M50-54								United Kingdom	DNS
856459	DNS	Tulepbergen Suyuntayev	M	M40-44								Kazakhstan	DNS
948588	DNS	Alwaleed Almaskari	M	M30-34								Oman	DNS
1099700	DNS	Mohammed Almeqbaali	M	M40-44								United Arab Emirates	DNS
972704	DNS	Khalid Jamal	M	M30-34								United Arab Emirates	DNS
1290926	DNS	Akzhan Talgar	M	M35-39								Kazakhstan	DNS
1290927	DNS	Sebastian J.M. Longrée	M	M50-54								Germany	DNS
1075155	DNS	David Zaharakis	M	M35-39								Australia	DNS
1290928	DNS	Calvin Scott	M	M40-44								United Kingdom	DNS
