ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
e5471fc7-1cb8-eb11-8236-000d3a5a5438	1	Tyler Tanko	M	M30-34	1	3:45:36	0:19:34	0:01:46	2:07:50	0:02:00	1:14:25	US	
d61ccfbe-f2e7-4c2a-9151-b18b5ae0a31e	2	Cody Williams	M	M30-34	2	3:48:01	0:21:36	0:02:21	2:03:50	0:01:37	1:18:37	US	
bb0f527d-96ca-40bc-af2b-0fd064acae8a	3	Eric Engel	M	M35-39	1	3:53:10	0:21:48	0:01:59	2:09:05	0:02:08	1:18:10	US	
8d035c21-29bf-ec11-983e-000d3a5d0354	4	Jacob Capin	M	M35-39	2	3:54:30	0:20:44	0:02:03	2:10:32	0:01:38	1:19:33	US	
267523e9-4cd8-4933-b9fd-79a7a0978ca1	5	Per Filip Kron	M	M30-34	3	3:55:36	0:22:31	0:02:00	2:08:45	0:02:32	1:19:49	US	
24736a6b-22c1-4924-bb6b-082645b7d7f4	6	Ryan Giuliano	M	M40-44	1	3:57:08	0:21:51	0:02:15	2:12:44	0:01:52	1:18:26	US	
50f0082b-f65f-4cb5-a2f3-7bd6772da62a	7	DIOGENES DE ABREU NETO	M	M35-39	3	3:58:59	0:22:09	0:03:16	2:11:56	0:02:29	1:19:09		
94f2ea4f-90e3-ed11-a7c7-000d3a314be4	8	Mattes Radusch	M	M25-29	1	3:59:52	0:21:22	0:02:15	2:11:56	0:02:29	1:21:50	DE	
7b686dbf-9a85-ef11-ac21-000d3a338a3c	9	Christopher Araujo	M	M18-24	1	4:02:09	0:21:19	0:03:35	2:11:03	0:02:09	1:24:03	US	
d684228f-f0e6-ee11-904d-000d3a314ae2	10	Job Boonstoppel	M	M18-24	2	4:04:06	0:22:00	0:02:29	2:06:22	0:02:27	1:30:49	nld	
6aad4d6e-b0cf-f011-bbd3-6045bd05fcc1	11	Samuel Janssen	M	M18-24	3	4:05:50	0:24:14	0:04:33	2:12:38	0:02:42	1:21:42	USA	
6260cca9-28e1-4541-b8c4-a5345e0f5eaa	12	Fabrizio Giovannini Filho	M	M30-34	4	4:08:01	0:22:19	0:02:41	2:15:25	0:02:35	1:25:01		
67bc4864-68dc-470b-8a28-0049dd112270	13	Dustin Leutenegger	M	M45-49	1	4:09:21	0:25:14	0:02:38	2:14:57	0:02:00	1:24:32	USA	
0b7f6fec-b144-f011-877a-0022480a7385	14	Will Karnick	M	M18-24	4	4:09:34	0:20:58	0:02:53	2:21:43	0:02:41	1:21:18		
f205f472-146d-427b-bbf2-f4ed3fff4f6c	15	Christopher Pritchett	M	M45-49	2	4:09:43	0:22:38	0:02:25	2:18:02	0:02:14	1:24:24		
dfc51ed0-a905-4540-b736-37cc428b43d4	16	William Martin	M	M45-49	3	4:10:22	0:24:21	0:02:23	2:15:54	0:02:15	1:25:28	US	
71332950-ae33-432c-8d80-27dd5aff9c28	17	Paul Neumann	M	M30-34	5	4:10:26	0:22:07	0:02:26	2:18:54	0:02:01	1:24:56	DE	
0cc0340f-294f-ee11-be6f-000d3a314c24	18	Brandon Thompson	M	M40-44	2	4:12:11	0:20:26	0:03:02	2:20:09	0:02:18	1:26:16		
8dea5001-6e33-f111-88b3-6045bd08d1c9	19	Anthony Zuber		M30-34	6	4:12:38	0:22:22	0:02:31	2:18:01	0:02:03	1:27:41		
03b57434-92b0-4c21-9936-77110fb8b8ba	20	Bryan Sosa	M	M30-34	7	4:13:45	0:21:22	0:03:03	2:21:29	0:02:11	1:25:39	usa	
72bb2566-c38b-4891-a415-32df687c889a	21	Nicholas Modrzejewski	M	M40-44	3	4:13:57	0:21:53	0:02:09	2:21:56	0:02:36	1:25:24	US	
e8f50a04-7925-45a1-be06-ba541e83e887	22	Nicholas Powell	M	M18-24	5	4:14:03	0:24:00	0:02:32	2:29:01	0:02:23	1:16:08	US	
b64d2482-d55c-4b33-834a-8c14d2f88d5d	23	Daniel Sinegra	M	M25-29	2	4:15:03	0:23:03	0:02:36	2:19:10	0:02:31	1:27:44	US	
a5158978-a8e6-4953-9085-7c3b057ef4db	24	Jon Rothe	M	M35-39	4	4:15:18	0:23:11	0:02:33	2:18:07	0:02:18	1:29:08	US	
36dc2358-4f4f-4790-9b34-40e21ca42554	25	Wyatt Kelly	M	M25-29	3	4:15:55	0:25:20	0:03:22	2:28:20	0:02:11	1:16:41	US	
e709ff18-f504-4b09-ab54-284a15f08832	26	Gerald Kasulis	M	M35-39	5	4:16:06	0:23:22	0:02:44	2:19:08	0:02:16	1:28:36	USA	
af026e09-add6-ea11-a813-000d3a5a1cf8	27	Levi Goebel	M	M25-29	4	4:16:16	0:25:08	0:03:32	2:17:58	0:02:27	1:27:11	US	
9a67ef71-63c2-4736-b88c-077f6e3d0410	28	Ben Griffith	M	M25-29	5	4:16:26	0:21:03	0:02:53	2:21:37	0:02:14	1:28:39	US	
bb3e1cb9-2656-ed11-bba3-000d3a313cdf	29	Patrick Ives	M	M35-39	6	4:17:10	0:22:59	0:02:35	2:23:49	0:02:04	1:25:43	US	
793dcf16-95e2-46c9-ada2-30930038f2e2	30	Andy Schrom	M	M25-29	6	4:17:11	0:22:47	0:03:10	2:24:16	0:02:39	1:24:18		
90d5f4b9-26b7-ec11-983f-00224804c205	31	Michael Sosa	M	M25-29	7	4:17:34	0:20:54	0:02:43	2:22:20	0:01:57	1:29:40	usa	
9e5ee9de-6c8c-4b6f-a472-649497e0d049	32	Tom Mcgovern	M	M35-39	7	4:17:35	0:23:10	0:02:35	2:20:51	0:02:33	1:28:26	USA	
a2c7c445-e5f7-45ab-ad4a-27e87aaf532a	33	Matthew Ostbloom	M	M30-34	8	4:17:44	0:21:33	0:02:37	2:21:31	0:02:46	1:29:17	US	
37b4e421-d96d-4548-95dd-0fd310cbeb8a	34	Patrick Johnson	M	M35-39	8	4:17:45	0:21:30	0:04:19	2:22:14	0:04:12	1:25:30	US	
f504bd2f-b4de-4c2d-9865-5026bf829308	35	Isaac Marlott	M	M25-29	8	4:18:51	0:20:53	0:02:33	2:27:39	0:02:39	1:25:06	US	
