ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
30b6ce2a-26a7-47e2-a30e-fbd8b93e1ffe	1	Mike Consolini	M	M35-39	1	3:30:14			2:06:58	0:02:10	1:21:07	US	
2cc5b60a-dbba-4ff3-8b89-cdd04fdcfad4	2	Ezra Swell	M	M25-29	1	3:35:19			2:12:56	0:02:04	1:20:18	US	
553771e3-4b38-ee11-bdf4-000d3a314be4	3	Connor Mccarthy	M	M30-34	1	3:36:33			2:12:39	0:03:02	1:20:52	US	
7563e9d9-acf9-f011-8406-0022480a5755	4	Emerson Kiefer	M	M25-29	2	3:36:41			2:09:42	0:02:41	1:24:18	USA	
abd75aa7-ac30-4f7b-9c5e-166aaf3650ba	5	Tyler Lingel	M	M30-34	2	3:37:36			2:12:18	0:02:12	1:23:06	US	
374475b5-a6e9-ef11-8eea-6045bd018d16	6	Adam Ward	M	M25-29	3	3:39:03			2:09:55	0:01:52	1:27:17	GB	
a8c5bf46-332f-4982-bb47-a659bca3bafb	7	Max Jaffe	M	M35-39	2	3:39:15			2:15:05	0:02:27	1:21:42		
616a6113-c151-4aa5-8061-eabce8aa1784	8	Mac Cahill	M	M35-39	3	3:39:57			2:15:15	0:02:35	1:22:07	US	
8531cabd-d1e5-4a19-90c8-1e10d8c485fd	9	Lucas Davis	M	M30-34	3	3:40:24			2:17:00	0:02:21	1:21:04	US	
40670434-f398-421a-981c-6cd6ba4e9769	10	Tristan Chênevert	M	M18-24	1	3:41:04			2:14:46	0:02:18	1:24:00	CA	
8bd02d0b-9482-45ea-a7ed-55f3dae7a087	11	cédéric cataphard	M	M25-29	4	3:43:08			2:17:40	0:02:03	1:23:26	CA	
a41c9b73-2555-4487-8cc5-603c8bd3ac27	12	Thomas Fellows	M	M40-44	1	3:43:53			2:17:30	0:01:56	1:24:26	US	
ed888b2f-77c7-49da-b4c8-70c7e2be1ef9	13	Maxime Brouillette	M	M40-44	2	3:44:49			2:16:44	0:02:34	1:25:30	CA	
b5622817-daf4-48ef-b04d-3c4b210265a9	14	Max Karp	M	M30-34	4	3:45:13			2:10:17	0:02:35	1:32:22	US	
29b47b80-983b-f011-b4cc-0022480c097c	15	Igor Aliczi	M	M25-29	5	3:45:17			2:22:07	0:02:40	1:20:31	US	
9fd4940d-f1bd-ec11-983f-00224806df9f	16	Van Fletcher	M	M50-54	1	3:45:23			2:14:17	0:02:51	1:28:16	US	
89281330-9406-4c7e-b1bf-f56f3f7b50b3	17	Anka Tezcan	M	M30-34	5	3:45:58			2:16:26	0:02:28	1:27:04	US	
09c88768-4c3a-45b7-95a1-bc3c6380373c	18	Kyle Reed	M	M18-24	2	3:47:01			2:17:34	0:03:28	1:26:00	US	
