ContactId	Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	T1	Bike	T2	Run	Country	Status
8a812353-67ee-436c-83a2-8696c847fd43	1	Remi Conte	M	M25-29	1	8:08:04	0:55:00	0:02:35	4:15:43	0:03:04	2:51:42	Unknown	
4fcb4da6-6547-ef11-a317-000d3a367177	2	Viktor Bertin	M	M18-24	1	8:14:47	0:57:20	0:03:30	4:22:25	0:02:13	2:49:18	dnk	
b2b7de57-1947-4aaa-9b5a-9ae32e35cdf5	3	LE LAY Aurelien	M	M30-34	1	8:23:03	1:05:07	0:03:56	4:17:11	0:02:23	2:54:26	fra	
edacd72d-3a71-46ce-9c5b-85ee7251f35e	4	Samu Hanhela	M	M30-34	2	8:24:49	0:56:57	0:03:23	4:24:25	0:03:17	2:56:47	FI	
75de57e7-92ec-ec11-bb3d-000d3a597068	5	Antti Peltokorpi	M	M30-34	3	8:27:01	1:01:30	0:03:06	4:18:30	0:03:17	3:00:40	fin	
d3072de2-f55f-4e62-b633-1cc00164c263	6	Ralf Petersen	M	M35-39	1	8:28:03	1:03:45	0:02:46	4:17:11	0:02:35	3:01:46	deu	
13b164e4-3c53-4322-9819-570e5cc724cc	7	Paul Shackleton	M	M40-44	1	8:30:08	0:59:25	0:04:57	4:22:29	0:05:50	2:57:26	zaf	
6fa4ce4d-e37b-49ad-95f1-c25afe265b1f	8	Luuk van de Ven	M	M25-29	2	8:30:33	0:55:25	0:03:02	4:33:11	0:04:14	2:54:41	nld	
8006a7c9-0790-412e-b88a-4731349ad7e9	9	Michael Mochart	M	M35-39	2	8:36:07	1:01:08	0:03:38	4:27:07	0:04:52	2:59:21	aut	
dcc45d4b-9983-f111-ab0f-0022480994c2	10	Kristofer Kamberg	M	M25-29	3	8:37:09	0:57:20	0:02:52	4:25:07	0:02:37	3:09:13	EST	
a4c3c730-d3db-4e98-bcd4-8bac35629cd1	11	Jonas Fredberg	M	M40-44	2	8:37:13	1:02:12	0:03:30	4:29:32	0:02:45	2:59:14	dnk	
afef79e6-9394-ef11-8a6a-000d3a59a9a1	12	Sam Sinkkonen	M	M30-34	4	8:37:52	1:08:23	0:03:34	4:21:10	0:04:18	3:00:27	fin	
d6a930e0-74a7-4cf3-afe8-ff080fc38788	13	Marco Kaufmann	M	M30-34	5	8:43:00	1:06:25	0:03:49	4:31:20	0:01:58	2:59:28	che	
f8a73cfd-0403-4cbd-ac4e-03df1d41ea90	14	Tom Western	M	M30-34	6	8:44:21	1:02:37	0:05:26	4:44:56	0:02:33	2:48:50	United Kingdom	
d17f0a97-6c07-4634-b868-fbd88fcf9ec0	15	Theodoros Kazis	M	M35-39	3	8:46:15	1:09:35	0:03:26	4:29:09	0:02:57	3:01:08	deu	
3fb257f3-529d-4de7-b946-e4e7823132c2	16	Kylian Herpin	M	M25-29	4	8:46:42	1:12:28	0:04:39	4:41:02	0:02:52	2:45:40	bel	
1a3a7eb1-14da-4f5b-9836-d85caacb6e64	17	Nicolaj Gregersen	M	M35-39	4	8:46:58	0:59:43	0:03:42	4:27:40	0:02:42	3:13:10	Denmark	
